😀	grand sourire, large sourire, visage, visage avec large sourire
👆️	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut
👆🏻	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau claire, peau claire
👆🏼	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau modérément claire, peau modérément claire
👆🏽	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau légèrement mate, peau légèrement mate
👆🏾	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau modérément foncée, peau modérément foncée
👆🏿	dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut, main avec index pointant vers le haut : peau foncée, peau foncée
🖕	doigt d’honneur, main, majeur
🖕🏻	doigt d’honneur, doigt d’honneur : peau claire, main, majeur, peau claire
🖕🏼	doigt d’honneur, doigt d’honneur : peau modérément claire, main, majeur, peau modérément claire
🖕🏽	doigt d’honneur, doigt d’honneur : peau légèrement mate, main, majeur, peau légèrement mate
🖕🏾	doigt d’honneur, doigt d’honneur : peau modérément foncée, main, majeur, peau modérément foncée
🖕🏿	doigt d’honneur, doigt d’honneur : peau foncée, main, majeur, peau foncée
👇️	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas
👇🏻	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau claire, peau claire
👇🏼	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau modérément claire, peau modérément claire
👇🏽	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau légèrement mate, peau légèrement mate
👇🏾	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau modérément foncée, peau modérément foncée
👇🏿	bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas, main avec index pointant vers le bas : peau foncée, peau foncée
☝️	index pointant vers le haut
☝🏻	index pointant vers le haut, index pointant vers le haut : peau claire, peau claire
☝🏼	index pointant vers le haut, index pointant vers le haut : peau modérément claire, peau modérément claire
☝🏽	index pointant vers le haut, index pointant vers le haut : peau légèrement mate, peau légèrement mate
☝🏾	index pointant vers le haut, index pointant vers le haut : peau modérément foncée, peau modérément foncée
☝🏿	index pointant vers le haut, index pointant vers le haut : peau foncée, peau foncée
👍️	OK, génial, oui, pouce vers le haut, super
👍🏻	OK, génial, oui, peau claire, pouce vers le haut, pouce vers le haut : peau claire, super
