😀	aodann, aodann le gàire, fiamh-ghàire, gàire
🤟🏾	agam, gaol, gluasad “Tha gaol agam ort”, gluasad “Tha gaol agam ort”: tòna meadhanach doilleir a’ chraicinn, làmh, ort, tòna meadhanach doilleir a’ chraicinn
🤟🏿	agam, gaol, gluasad “Tha gaol agam ort”, gluasad “Tha gaol agam ort”: tòna doilleir a’ chraicinn, làmh, ort, tòna doilleir a’ chraicinn
🤘	adharc, corrag, làmh, meur, rocamaid, samhla nan adharc
🤘🏻	adharc, corrag, làmh, meur, rocamaid, samhla nan adharc, samhla nan adharc: tòna soilleir a’ chraicinn, tòna soilleir a’ chraicinn
🤘🏼	adharc, corrag, làmh, meur, rocamaid, samhla nan adharc, samhla nan adharc: tòna meadhanach soilleir a’ chraicinn, tòna meadhanach soilleir a’ chraicinn
🤘🏽	adharc, corrag, làmh, meur, rocamaid, samhla nan adharc, samhla nan adharc: tòna meadhanach a’ chraicinn, tòna meadhanach a’ chraicinn
🤘🏾	adharc, corrag, làmh, meur, rocamaid, samhla nan adharc, samhla nan adharc: tòna meadhanach doilleir a’ chraicinn, tòna meadhanach doilleir a’ chraicinn
🤘🏿	adharc, corrag, làmh, meur, rocamaid, samhla nan adharc, samhla nan adharc: tòna doilleir a’ chraicinn, tòna doilleir a’ chraicinn
🤙	fòn, làmh, làmh a’ comharradh “Cuir fòn thugam”
🤙🏻	fòn, làmh, làmh a’ comharradh “Cuir fòn thugam”, làmh a’ comharradh “Cuir fòn thugam”: tòna soilleir a’ chraicinn, tòna soilleir a’ chraicinn
🤙🏼	fòn, làmh, làmh a’ comharradh “Cuir fòn thugam”, làmh a’ comharradh “Cuir fòn thugam”: tòna meadhanach soilleir a’ chraicinn, tòna meadhanach soilleir a’ chraicinn
🤙🏽	fòn, làmh, làmh a’ comharradh “Cuir fòn thugam”, làmh a’ comharradh “Cuir fòn thugam”: tòna meadhanach a’ chraicinn, tòna meadhanach a’ chraicinn
