😀	अनुहार, रमाएको अनुहार, हँसिलो
💂🏻‍♀	गार्ड, छालाको प्रकार-१-२, छोरीमान्छे, महिला, महिला गार्ड: छालाको प्रकार-१-२
💂🏼‍♀	गार्ड, छालाको प्रकार-३, छोरीमान्छे, महिला, महिला गार्ड: छालाको प्रकार-३
💂🏽‍♀	गार्ड, छालाको प्रकार-४, छोरीमान्छे, महिला, महिला गार्ड: छालाको प्रकार-४
💂🏾‍♀	गार्ड, छालाको प्रकार-५, छोरीमान्छे, महिला, महिला गार्ड: छालाको प्रकार-५
💂🏿‍♀	गार्ड, छालाको प्रकार-६, छोरीमान्छे, महिला, महिला गार्ड: छालाको प्रकार-६
👷	कर्मचारी, टोपी, निर्माण, निर्माण कर्मचारी
👷🏻	कर्मचारी, छालाको प्रकार-१-२, टोपी, निर्माण, निर्माण कर्मचारी: छालाको प्रकार-१-२
👷🏼	कर्मचारी, छालाको प्रकार-३, टोपी, निर्माण, निर्माण कर्मचारी: छालाको प्रकार-३
👷🏽	कर्मचारी, छालाको प्रकार-४, टोपी, निर्माण, निर्माण कर्मचारी: छालाको प्रकार-४
👷🏾	कर्मचारी, छालाको प्रकार-५, टोपी, निर्माण, निर्माण कर्मचारी: छालाको प्रकार-५
👷🏿	कर्मचारी, छालाको प्रकार-६, टोपी, निर्माण, निर्माण कर्मचारी: छालाको प्रकार-६
👷‍♂	छोरामान्छे, निर्माण, निर्माणसम्बन्धी पुरूष कामदार, पुरूष, मजदुर
👷🏻‍♂	छालाको प्रकार-१-२, छोरामान्छे, निर्माण, निर्माणसम्बन्धी पुरूष कामदार, निर्माणसम्बन्धी पुरूष कामदार: छालाको प्रकार-१-२, पुरूष, मजदुर
👷🏼‍♂	छालाको प्रकार-३, छोरामान्छे, निर्माण, निर्माणसम्बन्धी पुरूष कामदार, निर्माणसम्बन्धी पुरूष कामदार: छालाको प्रकार-३, पुरूष, मजदुर
👷🏽‍♂	छालाको प्रकार-४, छोरामान्छे, निर्माण, निर्माणसम्बन्धी पुरूष कामदार, निर्माणसम्बन्धी पुरूष कामदार: छालाको प्रकार-४, पुरूष, मजदुर
👷🏾‍♂	छालाको प्रकार-५, छोरामान्छे, निर्माण, निर्माणसम्बन्धी पुरूष कामदार, निर्माणसम्बन्धी पुरूष कामदार: छालाको प्रकार-५, पुरूष, मजदुर
👷🏿‍♂	छालाको प्रकार-६, छोरामान्छे, निर्माण, निर्माणसम्बन्धी पुरूष कामदार, निर्माणसम्बन्धी पुरूष कामदार: छालाको प्रकार-६, पुरूष, मजदुर
👷‍♀	छोरीमान्छे, निर्माण, निर्माणसम्बन्धी महिला कामदार, मजदुर, महिला
👷🏻‍♀	छालाको प्रकार-१-२, छोरीमान्छे, निर्माण, निर्माणसम्बन्धी महिला कामदार, निर्माणसम्बन्धी महिला कामदार: छालाको प्रकार-१-२, मजदुर, महिला
👷🏼‍♀	छालाको प्रकार-३, छोरीमान्छे, निर्माण, निर्माणसम्बन्धी महिला कामदार, निर्माणसम्बन्धी महिला कामदार: छालाको प्रकार-३, मजदुर, महिला
👷🏽‍♀	छालाको प्रकार-४, छोरीमान्छे, निर्माण, निर्माणसम्बन्धी महिला कामदार, निर्माणसम्बन्धी महिला कामदार: छालाको प्रकार-४, मजदुर, महिला
👷🏾‍♀	छालाको प्रकार-५, छोरीमान्छे, निर्माण, निर्माणसम्बन्धी महिला कामदार, निर्माणसम्बन्धी महिला कामदार: छालाको प्रकार-५, मजदुर, महिला
👷🏿‍♀	छालाको प्रकार-६, छोरीमान्छे, निर्माण, निर्माणसम्बन्धी महिला कामदार, निर्माणसम्बन्धी महिला कामदार: छालाको प्रकार-६, मजदुर, महिला
🤴	राजकुमार
🤴🏻	छालाको प्रकार-१-२, राजकुमार, राजकुमार: छालाको प्रकार-१-२
🤴🏼	छालाको प्रकार-३, राजकुमार, राजकुमार: छालाको प्रकार-३
🤴🏽	छालाको प्रकार-४, राजकुमार, राजकुमार: छालाको प्रकार-४
🤴🏾	छालाको प्रकार-५, राजकुमार, राजकुमार: छालाको प्रकार-५
🤴🏿	छालाको प्रकार-६, राजकुमार, राजकुमार: छालाको प्रकार-६
👸	खेस्रा कल्पना, परीको कथा, राजकुमारी
👸🏻	खेस्रा कल्पना, छालाको प्रकार-१-२, परीको कथा, राजकुमारी, राजकुमारी: छालाको प्रकार-१-२
👸🏼	खेस्रा कल्पना, छालाको प्रकार-३, परीको कथा, राजकुमारी, राजकुमारी: छालाको प्रकार-३
👸🏽	खेस्रा कल्पना, छालाको प्रकार-४, परीको कथा, राजकुमारी, राजकुमारी: छालाको प्रकार-४
👸🏾	खेस्रा कल्पना, छालाको प्रकार-५, परीको कथा, राजकुमारी, राजकुमारी: छालाको प्रकार-५
👸🏿	खेस्रा कल्पना, छालाको प्रकार-६, परीको कथा, राजकुमारी, राजकुमारी: छालाको प्रकार-६
👳	फेटा, फेटा लगाएको मान्छे, मान्छे
👳🏻	छालाको प्रकार-१-२, फेटा, फेटा लगाएको मान्छे, फेटा लगाएको मान्छे: छालाको प्रकार-१-२, मान्छे
👳🏼	छालाको प्रकार-३, फेटा, फेटा लगाएको मान्छे, फेटा लगाएको मान्छे: छालाको प्रकार-३, मान्छे
👳🏽	छालाको प्रकार-४, फेटा, फेटा लगाएको मान्छे, फेटा लगाएको मान्छे: छालाको प्रकार-४, मान्छे
👳🏾	छालाको प्रकार-५, फेटा, फेटा लगाएको मान्छे, फेटा लगाएको मान्छे: छालाको प्रकार-५, मान्छे
👳🏿	छालाको प्रकार-६, फेटा, फेटा लगाएको मान्छे, फेटा लगाएको मान्छे: छालाको प्रकार-६, मान्छे
👳‍♂	छोरीमान्छे, फेटा, फेटा लगाएको छोरामान्छे, महिला
👳🏻‍♂	छालाको प्रकार-१-२, छोरीमान्छे, फेटा, फेटा लगाएको छोरामान्छे, फेटा लगाएको छोरामान्छे: छालाको प्रकार-१-२, महिला
👳🏼‍♂	छालाको प्रकार-३, छोरीमान्छे, फेटा, फेटा लगाएको छोरामान्छे, फेटा लगाएको छोरामान्छे: छालाको प्रकार-३, महिला
👳🏽‍♂	छालाको प्रकार-४, छोरीमान्छे, फेटा, फेटा लगाएको छोरामान्छे, फेटा लगाएको छोरामान्छे: छालाको प्रकार-४, महिला
👳🏾‍♂	छालाको प्रकार-५, छोरीमान्छे, फेटा, फेटा लगाएको छोरामान्छे, फेटा लगाएको छोरामान्छे: छालाको प्रकार-५, महिला
👳🏿‍♂	छालाको प्रकार-६, छोरीमान्छे, फेटा, फेटा लगाएको छोरामान्छे, फेटा लगाएको छोरामान्छे: छालाको प्रकार-६, महिला
👳‍♀	छोरामान्छे, पुरूष, फेटा, फेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे
👳🏻‍♀	छालाको प्रकार-१-२, छोरामान्छे, पुरूष, फेटा, फेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे: छालाको प्रकार-१-२
👳🏼‍♀	छालाको प्रकार-३, छोरामान्छे, पुरूष, फेटा, फेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे: छालाको प्रकार-३
👳🏽‍♀	छालाको प्रकार-४, छोरामान्छे, पुरूष, फेटा, फेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे: छालाको प्रकार-४
👳🏾‍♀	छालाको प्रकार-५, छोरामान्छे, पुरूष, फेटा, फेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे: छालाको प्रकार-५
👳🏿‍♀	छालाको प्रकार-६, छोरामान्छे, पुरूष, फेटा, फेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे, फेेटा लगाएकी छोरीमान्छे: छालाको प्रकार-६
👲	चिनियाँ, चिनियाँ टोपी लगाएको मान्छे, टोपी, मान्छे
👲🏻	चिनियाँ, चिनियाँ टोपी लगाएको मान्छे, चिनियाँ टोपी लगाएको मान्छे: छालाको प्रकार-१-२, छालाको प्रकार-१-२, टोपी, मान्छे
👲🏼	चिनियाँ, चिनियाँ टोपी लगाएको मान्छे, चिनियाँ टोपी लगाएको मान्छे: छालाको प्रकार-३, छालाको प्रकार-३, टोपी, मान्छे
👲🏽	चिनियाँ, चिनियाँ टोपी लगाएको मान्छे, चिनियाँ टोपी लगाएको मान्छे: छालाको प्रकार-४, छालाको प्रकार-४, टोपी, मान्छे
👲🏾	चिनियाँ, चिनियाँ टोपी लगाएको मान्छे, चिनियाँ टोपी लगाएको मान्छे: छालाको प्रकार-५, छालाको प्रकार-५, टोपी, मान्छे
👲🏿	चिनियाँ, चिनियाँ टोपी लगाएको मान्छे, चिनियाँ टोपी लगाएको मान्छे: छालाको प्रकार-६, छालाको प्रकार-६, टोपी, मान्छे
🧕	टाउकोमा गलबन्दी लगाएकी छोरीमान्छे, टाउकोमा लगाइने गलबन्दी, टिचेल, मान्टिला, हिजाब
🧕🏻	छालाको प्रकार-१-२, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे: छालाको प्रकार-१-२, टाउकोमा लगाइने गलबन्दी, टिचेल, मान्टिला, हिजाब
🧕🏼	छालाको प्रकार-३, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे: छालाको प्रकार-३, टाउकोमा लगाइने गलबन्दी, टिचेल, मान्टिला, हिजाब
🧕🏽	छालाको प्रकार-४, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे: छालाको प्रकार-४, टाउकोमा लगाइने गलबन्दी, टिचेल, मान्टिला, हिजाब
🧕🏾	छालाको प्रकार-५, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे: छालाको प्रकार-५, टाउकोमा लगाइने गलबन्दी, टिचेल, मान्टिला, हिजाब
🧕🏿	छालाको प्रकार-६, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे, टाउकोमा गलबन्दी लगाएकी छोरीमान्छे: छालाको प्रकार-६, टाउकोमा लगाइने गलबन्दी, टिचेल, मान्टिला, हिजाब
🤵	मान्छे, सुट, सुट पहिरनमा ठाँटिएको मान्छे, ेहुलो
🤵🏻	छालाको प्रकार-१-२, मान्छे, सुट, सुट पहिरनमा ठाँटिएको मान्छे, सुट पहिरनमा ठाँटिएको मान्छे: छालाको प्रकार-१-२, ेहुलो
🤵🏼	छालाको प्रकार-३, मान्छे, सुट, सुट पहिरनमा ठाँटिएको मान्छे, सुट पहिरनमा ठाँटिएको मान्छे: छालाको प्रकार-३, ेहुलो
🤵🏽	छालाको प्रकार-४, मान्छे, सुट, सुट पहिरनमा ठाँटिएको मान्छे, सुट पहिरनमा ठाँटिएको मान्छे: छालाको प्रकार-४, ेहुलो
🤵🏾	छालाको प्रकार-५, मान्छे, सुट, सुट पहिरनमा ठाँटिएको मान्छे, सुट पहिरनमा ठाँटिएको मान्छे: छालाको प्रकार-५, ेहुलो
🤵🏿	छालाको प्रकार-६, मान्छे, सुट, सुट पहिरनमा ठाँटिएको मान्छे, सुट पहिरनमा ठाँटिएको मान्छे: छालाको प्रकार-६, ेहुलो
👰	घुम्टोसहितकी बेहुली, बिवाह, बेहुली, ुम्टो
👰🏻	घुम्टोसहितकी बेहुली, घुम्टोसहितकी बेहुली: छालाको प्रकार-१-२, छालाको प्रकार-१-२, बिवाह, बेहुली, ुम्टो
👰🏼	घुम्टोसहितकी बेहुली, घुम्टोसहितकी बेहुली: छालाको प्रकार-३, छालाको प्रकार-३, बिवाह, बेहुली, ुम्टो
👰🏽	घुम्टोसहितकी बेहुली, घुम्टोसहितकी बेहुली: छालाको प्रकार-४, छालाको प्रकार-४, बिवाह, बेहुली, ुम्टो
👰🏾	घुम्टोसहितकी बेहुली, घुम्टोसहितकी बेहुली: छालाको प्रकार-५, छालाको प्रकार-५, बिवाह, बेहुली, ुम्टो
👰🏿	घुम्टोसहितकी बेहुली, घुम्टोसहितकी बेहुली: छालाको प्रकार-६, छालाको प्रकार-६, बिवाह, बेहुली, ुम्टो
🤰	आइमाई, गर्भवती, गर्भवती आइमाई
🤰🏻	आइमाई, गर्भवती, गर्भवती आइमाई: छालाको प्रकार-१-२, छालाको प्रकार-१-२
🤰🏼	आइमाई, गर्भवती, गर्भवती आइमाई: छालाको प्रकार-३, छालाको प्रकार-३
🤰🏽	आइमाई, गर्भवती, गर्भवती आइमाई: छालाको प्रकार-४, छालाको प्रकार-४
🤰🏾	आइमाई, गर्भवती, गर्भवती आइमाई: छालाको प्रकार-५, छालाको प्रकार-५
🤰🏿	आइमाई, गर्भवती, गर्भवती आइमाई: छालाको प्रकार-६, छालाको प्रकार-६
🤱	शिशु, स्तन, स्तनपान, स्याहारसुसार
🤱🏻	छालाको प्रकार-१-२, शिशु, स्तन, स्तनपान, स्तनपान: छालाको प्रकार-१-२, स्याहारसुसार
🤱🏼	छालाको प्रकार-३, शिशु, स्तन, स्तनपान, स्तनपान: छालाको प्रकार-३, स्याहारसुसार
🤱🏽	छालाको प्रकार-४, शिशु, स्तन, स्तनपान, स्तनपान: छालाको प्रकार-४, स्याहारसुसार
🤱🏾	छालाको प्रकार-५, शिशु, स्तन, स्तनपान, स्तनपान: छालाको प्रकार-५, स्याहारसुसार
🤱🏿	छालाको प्रकार-६, शिशु, स्तन, स्तनपान, स्तनपान: छालाको प्रकार-६, स्याहारसुसार
👼	अनुहार, खेस्रा कल्पना, परी, परीको कथा, बच्चा, बच्चा परी
👼🏻	अनुहार, खेस्रा कल्पना, छालाको प्रकार-१-२, परी, परीको कथा, बच्चा, बच्चा परी: छालाको प्रकार-१-२
👼🏼	अनुहार, खेस्रा कल्पना, छालाको प्रकार-३, परी, परीको कथा, बच्चा, बच्चा परी: छालाको प्रकार-३
👼🏽	अनुहार, खेस्रा कल्पना, छालाको प्रकार-४, परी, परीको कथा, बच्चा, बच्चा परी: छालाको प्रकार-४
👼🏾	अनुहार, खेस्रा कल्पना, छालाको प्रकार-५, परी, परीको कथा, बच्चा, बच्चा परी: छालाको प्रकार-५
👼🏿	अनुहार, खेस्रा कल्पना, छालाको प्रकार-६, परी, परीको कथा, बच्चा, बच्चा परी: छालाको प्रकार-६
🎅	खेस्रा कल्पना, परीको कथा, बुबा, समारोह, सान्ता, सान्ता क्लज
🎅🏻	खेस्रा कल्पना, छालाको प्रकार-१-२, परीको कथा, बुबा, समारोह, सान्ता, सान्ता क्लज, सान्ता क्लज: छालाको प्रकार-१-२
🎅🏼	खेस्रा कल्पना, छालाको प्रकार-३, परीको कथा, बुबा, समारोह, सान्ता, सान्ता क्लज, सान्ता क्लज: छालाको प्रकार-३
🎅🏽	खेस्रा कल्पना, छालाको प्रकार-४, परीको कथा, बुबा, समारोह, सान्ता, सान्ता क्लज, सान्ता क्लज: छालाको प्रकार-४
🎅🏾	खेस्रा कल्पना, छालाको प्रकार-५, परीको कथा, बुबा, समारोह, सान्ता, सान्ता क्लज, सान्ता क्लज: छालाको प्रकार-५
🎅🏿	खेस्रा कल्पना, छालाको प्रकार-६, परीको कथा, बुबा, समारोह, सान्ता, सान्ता क्लज, सान्ता क्लज: छालाको प्रकार-६
🤶	आमा, उत्सव, क्रिस्मस, क्लज, श्रीमती, श्रीमती क्लज, श्रीमान्
🤶🏻	आमा, उत्सव, क्रिस्मस, क्लज, छालाको प्रकार-१-२, श्रीमती, श्रीमती क्लज: छालाको प्रकार-१-२, श्रीमान्
🤶🏼	आमा, उत्सव, क्रिस्मस, क्लज, छालाको प्रकार-३, श्रीमती, श्रीमती क्लज: छालाको प्रकार-३, श्रीमान्
🤶🏽	आमा, उत्सव, क्रिस्मस, क्लज, छालाको प्रकार-४, श्रीमती, श्रीमती क्लज: छालाको प्रकार-४, श्रीमान्
🤶🏾	आमा, उत्सव, क्रिस्मस, क्लज, छालाको प्रकार-५, श्रीमती, श्रीमती क्लज: छालाको प्रकार-५, श्रीमान्
🤶🏿	आमा, उत्सव, क्रिस्मस, क्लज, छालाको प्रकार-६, श्रीमती, श्रीमती क्लज: छालाको प्रकार-६, श्रीमान्
🦸	राम्रो, सुपरपावर, सुपरहिरो, हिरो, हिरोइन
🦸🏻	छालाको प्रकार-१-२, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-१-२, हिरो, हिरोइन
🦸🏼	छालाको प्रकार-३, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-३, हिरो, हिरोइन
🦸🏽	छालाको प्रकार-४, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-४, हिरो, हिरोइन
🦸🏾	छालाको प्रकार-५, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-५, हिरो, हिरोइन
🦸🏿	छालाको प्रकार-६, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-६, हिरो, हिरोइन
🦸‍♂	छोरामान्छे, छोरामान्छे सुपरहिरो, राम्रो, सुपरपावर, हिरो
🦸🏻‍♂	छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-१-२, राम्रो, सुपरपावर, हिरो
🦸🏼‍♂	छालाको प्रकार-३, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-३, राम्रो, सुपरपावर, हिरो
🦸🏽‍♂	छालाको प्रकार-४, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-४, राम्रो, सुपरपावर, हिरो
🦸🏾‍♂	छालाको प्रकार-५, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-५, राम्रो, सुपरपावर, हिरो
🦸🏿‍♂	छालाको प्रकार-६, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-६, राम्रो, सुपरपावर, हिरो
🦸‍♀	छोरीमान्छे, छोरीमान्छे सुपरहिरो, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏻‍♀	छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-१-२, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏼‍♀	छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-३, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏽‍♀	छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-४, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏾‍♀	छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-५, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏿‍♀	छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-६, राम्रो, सुपरपावर, हिरो, हिरोइन
🦹	अपराधी, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन
🦹🏻	अपराधी, छालाको प्रकार-१-२, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-१-२
🦹🏼	अपराधी, छालाको प्रकार-३, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-३
🦹🏽	अपराधी, छालाको प्रकार-४, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-४
🦹🏾	अपराधी, छालाको प्रकार-५, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-५
🦹🏿	अपराधी, छालाको प्रकार-६, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-६
🦹‍♂	अपराधी, छोरामान्छे, छोरामान्छे सुपरभिलेन, दुष्ट, भिलेन, सुपरपावर
🦹🏻‍♂	अपराधी, छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-१-२, दुष्ट, भिलेन, सुपरपावर
🦹🏼‍♂	अपराधी, छालाको प्रकार-३, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-३, दुष्ट, भिलेन, सुपरपावर
🦹🏽‍♂	अपराधी, छालाको प्रकार-४, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-४, दुष्ट, भिलेन, सुपरपावर
🦹🏾‍♂	अपराधी, छालाको प्रकार-५, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-५, दुष्ट, भिलेन, सुपरपावर
🦹🏿‍♂	अपराधी, छालाको प्रकार-६, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-६, दुष्ट, भिलेन, सुपरपावर
🦹‍♀	अपराधी, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, दुष्ट, भिलेन, सुपरपावर
🦹🏻‍♀	अपराधी, छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-१-२, दुष्ट, भिलेन, सुपरपावर
🦹🏼‍♀	अपराधी, छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-३, दुष्ट, भिलेन, सुपरपावर
🦹🏽‍♀	अपराधी, छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-४, दुष्ट, भिलेन, सुपरपावर
🦹🏾‍♀	अपराधी, छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-५, दुष्ट, भिलेन, सुपरपावर
🦹🏿‍♀	अपराधी, छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-६, दुष्ट, भिलेन, सुपरपावर
🧙	जादुगर, टुनामुना जान्ने छोरामान्छे, टुनामुना जान्ने छोरीमान्छे, बोक्सा, बोक्सी
🧙🏻	छालाको प्रकार-१-२, जादुगर, जादुगर: छालाको प्रकार-१-२, टुनामुना जान्ने छोरामान्छे, टुनामुना जान्ने छोरीमान्छे, बोक्सा, बोक्सी
🧙🏼	छालाको प्रकार-३, जादुगर, जादुगर: छालाको प्रकार-३, टुनामुना जान्ने छोरामान्छे, टुनामुना जान्ने छोरीमान्छे, बोक्सा, बोक्सी
🧙🏽	छालाको प्रकार-४, जादुगर, जादुगर: छालाको प्रकार-४, टुनामुना जान्ने छोरामान्छे, टुनामुना जान्ने छोरीमान्छे, बोक्सा, बोक्सी
🧙🏾	छालाको प्रकार-५, जादुगर, जादुगर: छालाको प्रकार-५, टुनामुना जान्ने छोरामान्छे, टुनामुना जान्ने छोरीमान्छे, बोक्सा, बोक्सी
🧙🏿	छालाको प्रकार-६, जादुगर, जादुगर: छालाको प्रकार-६, टुनामुना जान्ने छोरामान्छे, टुनामुना जान्ने छोरीमान्छे, बोक्सा, बोक्सी
🧙‍♂	छोरामान्छे जादुगर, टुनामुना जान्ने छोरामान्छे, बोक्सा
🧙🏻‍♂	छालाको प्रकार-१-२, छोरामान्छे जादुगर, छोरामान्छे जादुगर: छालाको प्रकार-१-२, टुनामुना जान्ने छोरामान्छे, बोक्सा
🧙🏼‍♂	छालाको प्रकार-३, छोरामान्छे जादुगर, छोरामान्छे जादुगर: छालाको प्रकार-३, टुनामुना जान्ने छोरामान्छे, बोक्सा
🧙🏽‍♂	छालाको प्रकार-४, छोरामान्छे जादुगर, छोरामान्छे जादुगर: छालाको प्रकार-४, टुनामुना जान्ने छोरामान्छे, बोक्सा
🧙🏾‍♂	छालाको प्रकार-५, छोरामान्छे जादुगर, छोरामान्छे जादुगर: छालाको प्रकार-५, टुनामुना जान्ने छोरामान्छे, बोक्सा
🧙🏿‍♂	छालाको प्रकार-६, छोरामान्छे जादुगर, छोरामान्छे जादुगर: छालाको प्रकार-६, टुनामुना जान्ने छोरामान्छे, बोक्सा
🧙‍♀	छोरीमान्छे जादुगर, टुनामुना जान्ने छोरीमान्छे, बोक्सी
🧙🏻‍♀	छालाको प्रकार-१-२, छोरीमान्छे जादुगर, छोरीमान्छे जादुगर: छालाको प्रकार-१-२, टुनामुना जान्ने छोरीमान्छे, बोक्सी
🧙🏼‍♀	छालाको प्रकार-३, छोरीमान्छे जादुगर, छोरीमान्छे जादुगर: छालाको प्रकार-३, टुनामुना जान्ने छोरीमान्छे, बोक्सी
🧙🏽‍♀	छालाको प्रकार-४, छोरीमान्छे जादुगर, छोरीमान्छे जादुगर: छालाको प्रकार-४, टुनामुना जान्ने छोरीमान्छे, बोक्सी
🧙🏾‍♀	छालाको प्रकार-५, छोरीमान्छे जादुगर, छोरीमान्छे जादुगर: छालाको प्रकार-५, टुनामुना जान्ने छोरीमान्छे, बोक्सी
🧙🏿‍♀	छालाको प्रकार-६, छोरीमान्छे जादुगर, छोरीमान्छे जादुगर: छालाको प्रकार-६, टुनामुना जान्ने छोरीमान्छे, बोक्सी
🧚	ओबेरन, टिटानिया, पक, परी
🧚🏻	ओबेरन, छालाको प्रकार-१-२, टिटानिया, पक, परी, परी: छालाको प्रकार-१-२
🧚🏼	ओबेरन, छालाको प्रकार-३, टिटानिया, पक, परी, परी: छालाको प्रकार-३
🧚🏽	ओबेरन, छालाको प्रकार-४, टिटानिया, पक, परी, परी: छालाको प्रकार-४
🧚🏾	ओबेरन, छालाको प्रकार-५, टिटानिया, पक, परी, परी: छालाको प्रकार-५
🧚🏿	ओबेरन, छालाको प्रकार-६, टिटानिया, पक, परी, परी: छालाको प्रकार-६
🧚‍♂	ओबेरन, देवदूत, पक
🧚🏻‍♂	ओबेरन, छालाको प्रकार-१-२, देवदूत, देवदूत: छालाको प्रकार-१-२, पक
🧚🏼‍♂	ओबेरन, छालाको प्रकार-३, देवदूत, देवदूत: छालाको प्रकार-३, पक
🧚🏽‍♂	ओबेरन, छालाको प्रकार-४, देवदूत, देवदूत: छालाको प्रकार-४, पक
🧚🏾‍♂	ओबेरन, छालाको प्रकार-५, देवदूत, देवदूत: छालाको प्रकार-५, पक
🧚🏿‍♂	ओबेरन, छालाको प्रकार-६, देवदूत, देवदूत: छालाको प्रकार-६, पक
🧚‍♀	छोरीमान्छे परी, टिटानिया
🧚🏻‍♀	छालाको प्रकार-१-२, छोरीमान्छे परी, छोरीमान्छे परी: छालाको प्रकार-१-२, टिटानिया
🧚🏼‍♀	छालाको प्रकार-३, छोरीमान्छे परी, छोरीमान्छे परी: छालाको प्रकार-३, टिटानिया
🧚🏽‍♀	छालाको प्रकार-४, छोरीमान्छे परी, छोरीमान्छे परी: छालाको प्रकार-४, टिटानिया
🧚🏾‍♀	छालाको प्रकार-५, छोरीमान्छे परी, छोरीमान्छे परी: छालाको प्रकार-५, टिटानिया
