😀	guyu, rai, rai ngguyu
🤞🏼	driji, driji loro tetalenan, driji loro tetalenan: kulit putih langsep, kabegjan, kulit putih langsep, tangan, tetalen
🤞🏽	driji, driji loro tetalenan, driji loro tetalenan: kulit kuning, kabegjan, kulit kuning, tangan, tetalen
🤞🏾	driji, driji loro tetalenan, driji loro tetalenan: kulit sawo mateng, kabegjan, kulit sawo mateng, tangan, tetalen
🤞🏿	driji, driji loro tetalenan, driji loro tetalenan: kulit ireng, kabegjan, kulit ireng, tangan, tetalen
🤟	ILY, tangan, tangan nuduhake tandha tresna sliramu
🤟🏻	ILY, kulit putih, tangan, tangan nuduhake tandha tresna sliramu, tangan nuduhake tandha tresna sliramu: kulit putih
🤟🏼	ILY, kulit putih langsep, tangan, tangan nuduhake tandha tresna sliramu, tangan nuduhake tandha tresna sliramu: kulit putih langsep
🤟🏽	ILY, kulit kuning, tangan, tangan nuduhake tandha tresna sliramu, tangan nuduhake tandha tresna sliramu: kulit kuning
🤟🏾	ILY, kulit sawo mateng, tangan, tangan nuduhake tandha tresna sliramu, tangan nuduhake tandha tresna sliramu: kulit sawo mateng
🤟🏿	ILY, kulit ireng, tangan, tangan nuduhake tandha tresna sliramu, tangan nuduhake tandha tresna sliramu: kulit ireng
🤘	driji, isarat gandem apike, sungu, tandha sungu, tangan
🤘🏻	driji, isarat gandem apike, kulit putih, sungu, tandha sungu, tandha sungu: kulit putih, tangan
🤘🏼	driji, isarat gandem apike, kulit putih langsep, sungu, tandha sungu, tandha sungu: kulit putih langsep, tangan
🤘🏽	driji, isarat gandem apike, kulit kuning, sungu, tandha sungu, tandha sungu: kulit kuning, tangan
🤘🏾	driji, isarat gandem apike, kulit sawo mateng, sungu, tandha sungu, tandha sungu: kulit sawo mateng, tangan
🤘🏿	driji, isarat gandem apike, kulit ireng, sungu, tandha sungu, tandha sungu: kulit ireng, tangan
🤙	tangan, tangan nuduhake tandha telpuna aku, telpun
🤙🏻	kulit putih, tangan, tangan nuduhake tandha telpuna aku, tangan nuduhake tandha telpuna aku: kulit putih, telpun
🤙🏼	kulit putih langsep, tangan, tangan nuduhake tandha telpuna aku, tangan nuduhake tandha telpuna aku: kulit putih langsep, telpun
🤙🏽	kulit kuning, tangan, tangan nuduhake tandha telpuna aku, tangan nuduhake tandha telpuna aku: kulit kuning, telpun
🤙🏾	kulit sawo mateng, tangan, tangan nuduhake tandha telpuna aku, tangan nuduhake tandha telpuna aku: kulit sawo mateng, telpun
🤙🏿	kulit ireng, tangan, tangan nuduhake tandha telpuna aku, tangan nuduhake tandha telpuna aku: kulit ireng, telpun
👈️	driji, driji panuduh, geger tangan, geger tangan nuding ngiwa, nuding, tangan
👈🏻	driji, driji panuduh, geger tangan, geger tangan nuding ngiwa, geger tangan nuding ngiwa: kulit putih, kulit putih, nuding, tangan
👈🏼	driji, driji panuduh, geger tangan, geger tangan nuding ngiwa, geger tangan nuding ngiwa: kulit putih langsep, kulit putih langsep, nuding, tangan
👈🏽	driji, driji panuduh, geger tangan, geger tangan nuding ngiwa, geger tangan nuding ngiwa: kulit kuning, kulit kuning, nuding, tangan
👈🏾	driji, driji panuduh, geger tangan, geger tangan nuding ngiwa, geger tangan nuding ngiwa: kulit sawo mateng, kulit sawo mateng, nuding, tangan
👈🏿	driji, driji panuduh, geger tangan, geger tangan nuding ngiwa, geger tangan nuding ngiwa: kulit ireng, kulit ireng, nuding, tangan
👉️	driji, driji panuduh, geger tangan, geger tangan nuding nengen, nuding, tangan
👉🏻	driji, driji panuduh, geger tangan, geger tangan nuding nengen, geger tangan nuding nengen: kulit putih, kulit putih, nuding, tangan
👉🏼	driji, driji panuduh, geger tangan, geger tangan nuding nengen, geger tangan nuding nengen: kulit putih langsep, kulit putih langsep, nuding, tangan
👉🏽	driji, driji panuduh, geger tangan, geger tangan nuding nengen, geger tangan nuding nengen: kulit kuning, kulit kuning, nuding, tangan
