😀	cara, cara sonriendo, divertido, feliz, sonrisa
🤙🏼	llamar, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel claro medio, meñique, pulgar, tono de piel claro medio
🤙🏽	llamar, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel medio, meñique, pulgar, tono de piel medio
🤙🏾	llamar, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel oscuro medio, meñique, pulgar, tono de piel oscuro medio
🤙🏿	llamar, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel oscuro, meñique, pulgar, tono de piel oscuro
👈️	dedo, dorso de mano con índice a la izquierda, izquierda, mano, índice
👈🏻	dedo, dorso de mano con índice a la izquierda, dorso de mano con índice a la izquierda: tono de piel claro, izquierda, mano, tono de piel claro, índice
👈🏼	dedo, dorso de mano con índice a la izquierda, dorso de mano con índice a la izquierda: tono de piel claro medio, izquierda, mano, tono de piel claro medio, índice
👈🏽	dedo, dorso de mano con índice a la izquierda, dorso de mano con índice a la izquierda: tono de piel medio, izquierda, mano, tono de piel medio, índice
👈🏾	dedo, dorso de mano con índice a la izquierda, dorso de mano con índice a la izquierda: tono de piel oscuro medio, izquierda, mano, tono de piel oscuro medio, índice
👈🏿	dedo, dorso de mano con índice a la izquierda, dorso de mano con índice a la izquierda: tono de piel oscuro, izquierda, mano, tono de piel oscuro, índice
👉️	dedo, derecha, dorso de mano con índice a la derecha, mano, índice
👉🏻	dedo, derecha, dorso de mano con índice a la derecha, dorso de mano con índice a la derecha: tono de piel claro, mano, tono de piel claro, índice
👉🏼	dedo, derecha, dorso de mano con índice a la derecha, dorso de mano con índice a la derecha: tono de piel claro medio, mano, tono de piel claro medio, índice
👉🏽	dedo, derecha, dorso de mano con índice a la derecha, dorso de mano con índice a la derecha: tono de piel medio, mano, tono de piel medio, índice
👉🏾	dedo, derecha, dorso de mano con índice a la derecha, dorso de mano con índice a la derecha: tono de piel oscuro medio, mano, tono de piel oscuro medio, índice
👉🏿	dedo, derecha, dorso de mano con índice a la derecha, dorso de mano con índice a la derecha: tono de piel oscuro, mano, tono de piel oscuro, índice
👆️	apuntar, arriba, dedo, dorso de mano con índice hacia arriba, mano
👆🏻	apuntar, arriba, dedo, dorso de mano con índice hacia arriba, dorso de mano con índice hacia arriba: tono de piel claro, mano, tono de piel claro
👆🏼	apuntar, arriba, dedo, dorso de mano con índice hacia arriba, dorso de mano con índice hacia arriba: tono de piel claro medio, mano, tono de piel claro medio
👆🏽	apuntar, arriba, dedo, dorso de mano con índice hacia arriba, dorso de mano con índice hacia arriba: tono de piel medio, mano, tono de piel medio
👆🏾	apuntar, arriba, dedo, dorso de mano con índice hacia arriba, dorso de mano con índice hacia arriba: tono de piel oscuro medio, mano, tono de piel oscuro medio
👆🏿	apuntar, arriba, dedo, dorso de mano con índice hacia arriba, dorso de mano con índice hacia arriba: tono de piel oscuro, mano, tono de piel oscuro
🖕	corazón, dedo, dedo corazón hacia arriba, mano, peineta
🖕🏻	corazón, dedo, dedo corazón hacia arriba, dedo corazón hacia arriba: tono de piel claro, mano, peineta, tono de piel claro
🖕🏼	corazón, dedo, dedo corazón hacia arriba, dedo corazón hacia arriba: tono de piel claro medio, mano, peineta, tono de piel claro medio
🖕🏽	corazón, dedo, dedo corazón hacia arriba, dedo corazón hacia arriba: tono de piel medio, mano, peineta, tono de piel medio
🖕🏾	corazón, dedo, dedo corazón hacia arriba, dedo corazón hacia arriba: tono de piel oscuro medio, mano, peineta, tono de piel oscuro medio
🖕🏿	corazón, dedo, dedo corazón hacia arriba, dedo corazón hacia arriba: tono de piel oscuro, mano, peineta, tono de piel oscuro
👇️	abajo, apuntar, dedo, dorso de mano con índice hacia abajo, mano
👇🏻	abajo, apuntar, dedo, dorso de mano con índice hacia abajo, dorso de mano con índice hacia abajo: tono de piel claro, mano, tono de piel claro
👇🏼	abajo, apuntar, dedo, dorso de mano con índice hacia abajo, dorso de mano con índice hacia abajo: tono de piel claro medio, mano, tono de piel claro medio
👇🏽	abajo, apuntar, dedo, dorso de mano con índice hacia abajo, dorso de mano con índice hacia abajo: tono de piel medio, mano, tono de piel medio
👇🏾	abajo, apuntar, dedo, dorso de mano con índice hacia abajo, dorso de mano con índice hacia abajo: tono de piel oscuro medio, mano, tono de piel oscuro medio
👇🏿	abajo, apuntar, dedo, dorso de mano con índice hacia abajo, dorso de mano con índice hacia abajo: tono de piel oscuro, mano, tono de piel oscuro
☝️	apuntar, arriba, dedo, dedo índice hacia arriba, mano
