😀	cara, cara sonriendo, contento, divertido, sonrisa
🤏🏾	mano pellizcando, mano pellizcando: tono de piel oscuro medio, pellizco, poco, poquito, tono de piel oscuro medio
🤏🏿	mano pellizcando, mano pellizcando: tono de piel oscuro, pellizco, poco, poquito, tono de piel oscuro
✌️	amor y paz, mano con señal de victoria, tijera, victoria
✌🏻	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel claro, tijera, tono de piel claro, victoria
✌🏼	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel claro medio, tijera, tono de piel claro medio, victoria
✌🏽	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel medio, tijera, tono de piel medio, victoria
✌🏾	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel oscuro medio, tijera, tono de piel oscuro medio, victoria
✌🏿	amor y paz, mano con señal de victoria, mano con señal de victoria: tono de piel oscuro, tijera, tono de piel oscuro, victoria
🤞	dedos cruzados, mano, suerte
🤞🏻	dedos cruzados, dedos cruzados: tono de piel claro, mano, suerte, tono de piel claro
🤞🏼	dedos cruzados, dedos cruzados: tono de piel claro medio, mano, suerte, tono de piel claro medio
🤞🏽	dedos cruzados, dedos cruzados: tono de piel medio, mano, suerte, tono de piel medio
🤞🏾	dedos cruzados, dedos cruzados: tono de piel oscuro medio, mano, suerte, tono de piel oscuro medio
🤞🏿	dedos cruzados, dedos cruzados: tono de piel oscuro, mano, suerte, tono de piel oscuro
🤟🏻	gesto de te quiero, gesto de te quiero: tono de piel claro, mano, quiero, tono de piel claro
🤟🏼	gesto de te quiero, gesto de te quiero: tono de piel claro medio, mano, quiero, tono de piel claro medio
🤟🏽	gesto de te quiero, gesto de te quiero: tono de piel medio, mano, quiero, tono de piel medio
🤟🏾	gesto de te quiero, gesto de te quiero: tono de piel oscuro medio, mano, quiero, tono de piel oscuro medio
🤟🏿	gesto de te quiero, gesto de te quiero: tono de piel oscuro, mano, quiero, tono de piel oscuro
🤘	cuernos, dedos, mano haciendo los cuernos, rock, roll
🤘🏻	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel claro, rock, roll, tono de piel claro
🤘🏼	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel claro medio, rock, roll, tono de piel claro medio
🤘🏽	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel medio, rock, roll, tono de piel medio
🤘🏾	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel oscuro medio, rock, roll, tono de piel oscuro medio
🤘🏿	cuernos, dedos, mano haciendo los cuernos, mano haciendo los cuernos: tono de piel oscuro, rock, roll, tono de piel oscuro
🤙	gesto, llamada, mano, mano haciendo el gesto de llamar
🤙🏻	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel claro, tono de piel claro
🤙🏼	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel claro medio, tono de piel claro medio
🤙🏽	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel medio, tono de piel medio
🤙🏾	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel oscuro medio, tono de piel oscuro medio
🤙🏿	gesto, llamada, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel oscuro, tono de piel oscuro
👈️	apuntar, dedo, dorso, mano con dedo índice hacia la izquierda, índice, índice hacia la izquierda
👈🏻	apuntar, dedo, dorso, mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel claro, tono de piel claro, índice, índice hacia la izquierda
👈🏼	apuntar, dedo, dorso, mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel claro medio, tono de piel claro medio, índice, índice hacia la izquierda
👈🏽	apuntar, dedo, dorso, mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel medio, tono de piel medio, índice, índice hacia la izquierda
👈🏾	apuntar, dedo, dorso, mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel oscuro medio, tono de piel oscuro medio, índice, índice hacia la izquierda
