😀	sourire, visage rieur
✊🏼	main, peau moyennement claire, pierre, poing, poing levé, poing levé : peau moyennement claire
✊🏽	main, peau légèrement mate, pierre, poing, poing levé, poing levé : peau légèrement mate
✊🏾	main, peau mate, pierre, poing, poing levé, poing levé : peau mate
✊🏿	main, peau foncée, pierre, poing, poing levé, poing levé : peau foncée
👊	coup de poing, main, poing, poing de face
👊🏻	coup de poing, main, peau claire, poing, poing de face, poing de face : peau claire
👊🏼	coup de poing, main, peau moyennement claire, poing, poing de face, poing de face : peau moyennement claire
👊🏽	coup de poing, main, peau légèrement mate, poing, poing de face, poing de face : peau légèrement mate
👊🏾	coup de poing, main, peau mate, poing, poing de face, poing de face : peau mate
👊🏿	coup de poing, main, peau foncée, poing, poing de face, poing de face : peau foncée
🤛	gauche, main, poing, poing à gauche
🤛🏻	gauche, main, peau claire, poing, poing à gauche, poing à gauche : peau claire
🤛🏼	gauche, main, peau moyennement claire, poing, poing à gauche, poing à gauche : peau moyennement claire
🤛🏽	gauche, main, peau légèrement mate, poing, poing à gauche, poing à gauche : peau légèrement mate
🤛🏾	gauche, main, peau mate, poing, poing à gauche, poing à gauche : peau mate
🤛🏿	gauche, main, peau foncée, poing, poing à gauche, poing à gauche : peau foncée
🤜	droite, main, poing, poing à droite
🤜🏻	droite, main, peau claire, poing, poing à droite, poing à droite : peau claire
🤜🏼	droite, main, peau moyennement claire, poing, poing à droite, poing à droite : peau moyennement claire
🤜🏽	droite, main, peau légèrement mate, poing, poing à droite, poing à droite : peau légèrement mate
🤜🏾	droite, main, peau mate, poing, poing à droite, poing à droite : peau mate
🤜🏿	droite, main, peau foncée, poing, poing à droite, poing à droite : peau foncée
👏	applaudissements, bravo, mains
👏🏻	applaudissements, applaudissements : peau claire, bravo, mains, peau claire
👏🏼	applaudissements, applaudissements : peau moyennement claire, bravo, mains, peau moyennement claire
👏🏽	applaudissements, applaudissements : peau légèrement mate, bravo, mains, peau légèrement mate
👏🏾	applaudissements, applaudissements : peau mate, bravo, mains, peau mate
👏🏿	applaudissements, applaudissements : peau foncée, bravo, mains, peau foncée
🙌	air, mains, mains levées
🙌🏻	air, mains, mains levées, mains levées : peau claire, peau claire
🙌🏼	air, mains, mains levées, mains levées : peau moyennement claire, peau moyennement claire
🙌🏽	air, mains, mains levées, mains levées : peau légèrement mate, peau légèrement mate
🙌🏾	air, mains, mains levées, mains levées : peau mate, peau mate
🙌🏿	air, mains, mains levées, mains levées : peau foncée, peau foncée
👐	main, mains ouvertes, ouvert
👐🏻	main, mains ouvertes, mains ouvertes : peau claire, ouvert, peau claire
👐🏼	main, mains ouvertes, mains ouvertes : peau moyennement claire, ouvert, peau moyennement claire
👐🏽	main, mains ouvertes, mains ouvertes : peau légèrement mate, ouvert, peau légèrement mate
👐🏾	main, mains ouvertes, mains ouvertes : peau mate, ouvert, peau mate
👐🏿	main, mains ouvertes, mains ouvertes : peau foncée, ouvert, peau foncée
🤲	mains, paume contre paume doigts vers le haut, prière
🤲🏻	mains, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau claire, peau claire, prière
🤲🏼	mains, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau moyennement claire, peau moyennement claire, prière
🤲🏽	mains, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau légèrement mate, peau légèrement mate, prière
🤲🏾	mains, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau mate, peau mate, prière
🤲🏿	mains, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau foncée, peau foncée, prière
🤝	mains, poignée, poignée de main, présentation, rencontre
🙏	mains, mains en prière, prière
🙏🏻	mains, mains en prière, mains en prière : peau claire, peau claire, prière
🙏🏼	mains, mains en prière, mains en prière : peau moyennement claire, peau moyennement claire, prière
🙏🏽	mains, mains en prière, mains en prière : peau légèrement mate, peau légèrement mate, prière
🙏🏾	mains, mains en prière, mains en prière : peau mate, peau mate, prière
🙏🏿	mains, mains en prière, mains en prière : peau foncée, peau foncée, prière
✍️	main, main qui écrit, écrire
✍🏻	main, main qui écrit, main qui écrit : peau claire, peau claire, écrire
✍🏼	main, main qui écrit, main qui écrit : peau moyennement claire, peau moyennement claire, écrire
✍🏽	main, main qui écrit, main qui écrit : peau légèrement mate, peau légèrement mate, écrire
✍🏾	main, main qui écrit, main qui écrit : peau mate, peau mate, écrire
✍🏿	main, main qui écrit, main qui écrit : peau foncée, peau foncée, écrire
💅	maquillage, vernis à ongles
💅🏻	maquillage, peau claire, vernis à ongles, vernis à ongles : peau claire
💅🏼	maquillage, peau moyennement claire, vernis à ongles, vernis à ongles : peau moyennement claire
💅🏽	maquillage, peau légèrement mate, vernis à ongles, vernis à ongles : peau légèrement mate
💅🏾	maquillage, peau mate, vernis à ongles, vernis à ongles : peau mate
💅🏿	maquillage, peau foncée, vernis à ongles, vernis à ongles : peau foncée
🤳	appareil photo, selfie, téléphone
🤳🏻	appareil photo, peau claire, selfie, selfie : peau claire, téléphone
🤳🏼	appareil photo, peau moyennement claire, selfie, selfie : peau moyennement claire, téléphone
🤳🏽	appareil photo, peau légèrement mate, selfie, selfie : peau légèrement mate, téléphone
🤳🏾	appareil photo, peau mate, selfie, selfie : peau mate, téléphone
🤳🏿	appareil photo, peau foncée, selfie, selfie : peau foncée, téléphone
💪	biceps, biceps contracté, contracté, corps, muscle
💪🏻	biceps, biceps contracté : peau claire, contracté, corps, muscle, peau claire
💪🏼	biceps, biceps contracté : peau moyennement claire, contracté, corps, muscle, peau moyennement claire
💪🏽	biceps, biceps contracté : peau légèrement mate, contracté, corps, muscle, peau légèrement mate
💪🏾	biceps, biceps contracté : peau mate, contracté, corps, muscle, peau mate
💪🏿	biceps, biceps contracté : peau foncée, contracté, corps, muscle, peau foncée
🦾	accessibilité, bras mécanique, bras robot, prothèse
🦿	accessibilité, jambe mécanique, jambe robot, prothèse
🦵	coup de pied, jambe, membre
🦵🏻	coup de pied, jambe, jambe : peau claire, membre, peau claire
🦵🏼	coup de pied, jambe, jambe : peau moyennement claire, membre, peau moyennement claire
🦵🏽	coup de pied, jambe, jambe : peau légèrement mate, membre, peau légèrement mate
🦵🏾	coup de pied, jambe, jambe : peau mate, membre, peau mate
🦵🏿	coup de pied, jambe, jambe : peau foncée, membre, peau foncée
🦶	coup de pied, pas lourd, pied
🦶🏻	coup de pied, pas lourd, peau claire, pied, pied : peau claire
🦶🏼	coup de pied, pas lourd, peau moyennement claire, pied, pied : peau moyennement claire
🦶🏽	coup de pied, pas lourd, peau légèrement mate, pied, pied : peau légèrement mate
🦶🏾	coup de pied, pas lourd, peau mate, pied, pied : peau mate
🦶🏿	coup de pied, pas lourd, peau foncée, pied, pied : peau foncée
👂️	corps, oreille
👂🏻	corps, oreille, oreille : peau claire, peau claire
👂🏼	corps, oreille, oreille : peau moyennement claire, peau moyennement claire
👂🏽	corps, oreille, oreille : peau légèrement mate, peau légèrement mate
👂🏾	corps, oreille, oreille : peau mate, peau mate
👂🏿	corps, oreille, oreille : peau foncée, peau foncée
🦻	accessibilité, malentendant, oreille appareillée, prothèse auditive
🦻🏻	accessibilité, malentendant, oreille appareillée, oreille appareillée : peau claire, peau claire, prothèse auditive
🦻🏼	accessibilité, malentendant, oreille appareillée, oreille appareillée : peau moyennement claire, peau moyennement claire, prothèse auditive
🦻🏽	accessibilité, malentendant, oreille appareillée, oreille appareillée : peau légèrement mate, peau légèrement mate, prothèse auditive
🦻🏾	accessibilité, malentendant, oreille appareillée, oreille appareillée : peau mate, peau mate, prothèse auditive
🦻🏿	accessibilité, malentendant, oreille appareillée, oreille appareillée : peau foncée, peau foncée, prothèse auditive
👃	corps, nez
👃🏻	corps, nez, nez : peau claire, peau claire
👃🏼	corps, nez, nez : peau moyennement claire, peau moyennement claire
👃🏽	corps, nez, nez : peau légèrement mate, peau légèrement mate
👃🏾	corps, nez, nez : peau mate, peau mate
👃🏿	corps, nez, nez : peau foncée, peau foncée
🧠	cerveau, intelligent
🦷	dent, dentiste
🦴	os, squelette
👀	corps, visage, yeux, œil
👁️	corps, œil
👅	corps, langue
👄	bouche, corps, lèvres
👶	bébé
👶🏻	bébé, bébé : peau claire, peau claire
