😀	face, grin, grinning face
✌🏼	hand, medium-light skin tone, v, victory, victory hand: medium-light skin tone
✌🏽	hand, medium skin tone, v, victory, victory hand: medium skin tone
✌🏾	hand, medium-dark skin tone, v, victory, victory hand: medium-dark skin tone
✌🏿	dark skin tone, hand, v, victory, victory hand: dark skin tone
🤞	cross, crossed fingers, finger, hand, luck
🤞🏻	cross, crossed fingers, crossed fingers: light skin tone, finger, hand, light skin tone, luck
🤞🏼	cross, crossed fingers, crossed fingers: medium-light skin tone, finger, hand, luck, medium-light skin tone
🤞🏽	cross, crossed fingers, crossed fingers: medium skin tone, finger, hand, luck, medium skin tone
🤞🏾	cross, crossed fingers, crossed fingers: medium-dark skin tone, finger, hand, luck, medium-dark skin tone
🤞🏿	cross, crossed fingers, crossed fingers: dark skin tone, dark skin tone, finger, hand, luck
🤟	ILY, hand, love-you gesture
🤟🏻	ILY, hand, light skin tone, love-you gesture, love-you gesture: light skin tone
🤟🏼	ILY, hand, love-you gesture, love-you gesture: medium-light skin tone, medium-light skin tone
🤟🏽	ILY, hand, love-you gesture, love-you gesture: medium skin tone, medium skin tone
🤟🏾	ILY, hand, love-you gesture, love-you gesture: medium-dark skin tone, medium-dark skin tone
🤟🏿	ILY, dark skin tone, hand, love-you gesture, love-you gesture: dark skin tone
🤘	finger, hand, horns, rock-on, sign of the horns
🤘🏻	finger, hand, horns, light skin tone, rock-on, sign of the horns, sign of the horns: light skin tone
🤘🏼	finger, hand, horns, medium-light skin tone, rock-on, sign of the horns, sign of the horns: medium-light skin tone
🤘🏽	finger, hand, horns, medium skin tone, rock-on, sign of the horns, sign of the horns: medium skin tone
🤘🏾	finger, hand, horns, medium-dark skin tone, rock-on, sign of the horns, sign of the horns: medium-dark skin tone
🤘🏿	dark skin tone, finger, hand, horns, rock-on, sign of the horns, sign of the horns: dark skin tone
🤙	call, call me hand, hand
🤙🏻	call, call me hand, call me hand: light skin tone, hand, light skin tone
🤙🏼	call, call me hand, call me hand: medium-light skin tone, hand, medium-light skin tone
🤙🏽	call, call me hand, call me hand: medium skin tone, hand, medium skin tone
🤙🏾	call, call me hand, call me hand: medium-dark skin tone, hand, medium-dark skin tone
🤙🏿	call, call me hand, call me hand: dark skin tone, dark skin tone, hand
👈️	backhand, backhand index pointing left, finger, hand, index, point
👈🏻	backhand, backhand index pointing left, backhand index pointing left: light skin tone, finger, hand, index, light skin tone, point
👈🏼	backhand, backhand index pointing left, backhand index pointing left: medium-light skin tone, finger, hand, index, medium-light skin tone, point
👈🏽	backhand, backhand index pointing left, backhand index pointing left: medium skin tone, finger, hand, index, medium skin tone, point
👈🏾	backhand, backhand index pointing left, backhand index pointing left: medium-dark skin tone, finger, hand, index, medium-dark skin tone, point
👈🏿	backhand, backhand index pointing left, backhand index pointing left: dark skin tone, dark skin tone, finger, hand, index, point
👉️	backhand, backhand index pointing right, finger, hand, index, point
👉🏻	backhand, backhand index pointing right, backhand index pointing right: light skin tone, finger, hand, index, light skin tone, point
👉🏼	backhand, backhand index pointing right, backhand index pointing right: medium-light skin tone, finger, hand, index, medium-light skin tone, point
👉🏽	backhand, backhand index pointing right, backhand index pointing right: medium skin tone, finger, hand, index, medium skin tone, point
👉🏾	backhand, backhand index pointing right, backhand index pointing right: medium-dark skin tone, finger, hand, index, medium-dark skin tone, point
👉🏿	backhand, backhand index pointing right, backhand index pointing right: dark skin tone, dark skin tone, finger, hand, index, point
👆️	backhand, backhand index pointing up, finger, hand, point, up
👆🏻	backhand, backhand index pointing up, backhand index pointing up: light skin tone, finger, hand, light skin tone, point, up
👆🏼	backhand, backhand index pointing up, backhand index pointing up: medium-light skin tone, finger, hand, medium-light skin tone, point, up
👆🏽	backhand, backhand index pointing up, backhand index pointing up: medium skin tone, finger, hand, medium skin tone, point, up
👆🏾	backhand, backhand index pointing up, backhand index pointing up: medium-dark skin tone, finger, hand, medium-dark skin tone, point, up
👆🏿	backhand, backhand index pointing up, backhand index pointing up: dark skin tone, dark skin tone, finger, hand, point, up
🖕	finger, hand, middle finger
🖕🏻	finger, hand, light skin tone, middle finger, middle finger: light skin tone
🖕🏼	finger, hand, medium-light skin tone, middle finger, middle finger: medium-light skin tone
🖕🏽	finger, hand, medium skin tone, middle finger, middle finger: medium skin tone
🖕🏾	finger, hand, medium-dark skin tone, middle finger, middle finger: medium-dark skin tone
🖕🏿	dark skin tone, finger, hand, middle finger, middle finger: dark skin tone
👇️	backhand, backhand index pointing down, down, finger, hand, point
👇🏻	backhand, backhand index pointing down, backhand index pointing down: light skin tone, down, finger, hand, light skin tone, point
👇🏼	backhand, backhand index pointing down, backhand index pointing down: medium-light skin tone, down, finger, hand, medium-light skin tone, point
👇🏽	backhand, backhand index pointing down, backhand index pointing down: medium skin tone, down, finger, hand, medium skin tone, point
👇🏾	backhand, backhand index pointing down, backhand index pointing down: medium-dark skin tone, down, finger, hand, medium-dark skin tone, point
👇🏿	backhand, backhand index pointing down, backhand index pointing down: dark skin tone, dark skin tone, down, finger, hand, point
☝️	finger, hand, index, index pointing up, point, up
☝🏻	finger, hand, index, index pointing up, index pointing up: light skin tone, light skin tone, point, up
☝🏼	finger, hand, index, index pointing up, index pointing up: medium-light skin tone, medium-light skin tone, point, up
☝🏽	finger, hand, index, index pointing up, index pointing up: medium skin tone, medium skin tone, point, up
☝🏾	finger, hand, index, index pointing up, index pointing up: medium-dark skin tone, medium-dark skin tone, point, up
☝🏿	dark skin tone, finger, hand, index, index pointing up, index pointing up: dark skin tone, point, up
👍️	+1, hand, thumb, thumbs up, up
👍🏻	+1, hand, light skin tone, thumb, thumbs up, thumbs up: light skin tone, up
👍🏼	+1, hand, medium-light skin tone, thumb, thumbs up, thumbs up: medium-light skin tone, up
👍🏽	+1, hand, medium skin tone, thumb, thumbs up, thumbs up: medium skin tone, up
👍🏾	+1, hand, medium-dark skin tone, thumb, thumbs up, thumbs up: medium-dark skin tone, up
👍🏿	+1, dark skin tone, hand, thumb, thumbs up, thumbs up: dark skin tone, up
👎️	-1, down, hand, thumb, thumbs down
👎🏻	-1, down, hand, light skin tone, thumb, thumbs down, thumbs down: light skin tone
👎🏼	-1, down, hand, medium-light skin tone, thumb, thumbs down, thumbs down: medium-light skin tone
👎🏽	-1, down, hand, medium skin tone, thumb, thumbs down, thumbs down: medium skin tone
👎🏾	-1, down, hand, medium-dark skin tone, thumb, thumbs down, thumbs down: medium-dark skin tone
👎🏿	-1, dark skin tone, down, hand, thumb, thumbs down, thumbs down: dark skin tone
✊	clenched, fist, hand, punch, raised fist
✊🏻	clenched, fist, hand, light skin tone, punch, raised fist, raised fist: light skin tone
✊🏼	clenched, fist, hand, medium-light skin tone, punch, raised fist, raised fist: medium-light skin tone
✊🏽	clenched, fist, hand, medium skin tone, punch, raised fist, raised fist: medium skin tone
✊🏾	clenched, fist, hand, medium-dark skin tone, punch, raised fist, raised fist: medium-dark skin tone
✊🏿	clenched, dark skin tone, fist, hand, punch, raised fist, raised fist: dark skin tone
👊	clenched, fist, hand, oncoming fist, punch
👊🏻	clenched, fist, hand, light skin tone, oncoming fist, oncoming fist: light skin tone, punch
👊🏼	clenched, fist, hand, medium-light skin tone, oncoming fist, oncoming fist: medium-light skin tone, punch
👊🏽	clenched, fist, hand, medium skin tone, oncoming fist, oncoming fist: medium skin tone, punch
👊🏾	clenched, fist, hand, medium-dark skin tone, oncoming fist, oncoming fist: medium-dark skin tone, punch
👊🏿	clenched, dark skin tone, fist, hand, oncoming fist, oncoming fist: dark skin tone, punch
🤛	fist, left-facing fist, leftwards
🤛🏻	fist, left-facing fist, left-facing fist: light skin tone, leftwards, light skin tone
🤛🏼	fist, left-facing fist, left-facing fist: medium-light skin tone, leftwards, medium-light skin tone
🤛🏽	fist, left-facing fist, left-facing fist: medium skin tone, leftwards, medium skin tone
🤛🏾	fist, left-facing fist, left-facing fist: medium-dark skin tone, leftwards, medium-dark skin tone
🤛🏿	dark skin tone, fist, left-facing fist, left-facing fist: dark skin tone, leftwards
🤜	fist, right-facing fist, rightwards
🤜🏻	fist, light skin tone, right-facing fist, right-facing fist: light skin tone, rightwards
🤜🏼	fist, medium-light skin tone, right-facing fist, right-facing fist: medium-light skin tone, rightwards
🤜🏽	fist, medium skin tone, right-facing fist, right-facing fist: medium skin tone, rightwards
🤜🏾	fist, medium-dark skin tone, right-facing fist, right-facing fist: medium-dark skin tone, rightwards
🤜🏿	dark skin tone, fist, right-facing fist, right-facing fist: dark skin tone, rightwards
👏	clap, clapping hands, hand
👏🏻	clap, clapping hands, clapping hands: light skin tone, hand, light skin tone
👏🏼	clap, clapping hands, clapping hands: medium-light skin tone, hand, medium-light skin tone
👏🏽	clap, clapping hands, clapping hands: medium skin tone, hand, medium skin tone
👏🏾	clap, clapping hands, clapping hands: medium-dark skin tone, hand, medium-dark skin tone
👏🏿	clap, clapping hands, clapping hands: dark skin tone, dark skin tone, hand
🙌	celebration, gesture, hand, hooray, raised, raising hands
🙌🏻	celebration, gesture, hand, hooray, light skin tone, raised, raising hands, raising hands: light skin tone
🙌🏼	celebration, gesture, hand, hooray, medium-light skin tone, raised, raising hands, raising hands: medium-light skin tone
🙌🏽	celebration, gesture, hand, hooray, medium skin tone, raised, raising hands, raising hands: medium skin tone
🙌🏾	celebration, gesture, hand, hooray, medium-dark skin tone, raised, raising hands, raising hands: medium-dark skin tone
🙌🏿	celebration, dark skin tone, gesture, hand, hooray, raised, raising hands, raising hands: dark skin tone
👐	hand, open, open hands
👐🏻	hand, light skin tone, open, open hands, open hands: light skin tone
👐🏼	hand, medium-light skin tone, open, open hands, open hands: medium-light skin tone
👐🏽	hand, medium skin tone, open, open hands, open hands: medium skin tone
👐🏾	hand, medium-dark skin tone, open, open hands, open hands: medium-dark skin tone
👐🏿	dark skin tone, hand, open, open hands, open hands: dark skin tone
🤲	palms up together, prayer
🤲🏻	light skin tone, palms up together, palms up together: light skin tone, prayer
🤲🏼	medium-light skin tone, palms up together, palms up together: medium-light skin tone, prayer
🤲🏽	medium skin tone, palms up together, palms up together: medium skin tone, prayer
🤲🏾	medium-dark skin tone, palms up together, palms up together: medium-dark skin tone, prayer
🤲🏿	dark skin tone, palms up together, palms up together: dark skin tone, prayer
🤝	agreement, hand, handshake, meeting, shake
🙏	ask, folded hands, hand, please, pray, thanks
🙏🏻	ask, folded hands, folded hands: light skin tone, hand, light skin tone, please, pray, thanks
🙏🏼	ask, folded hands, folded hands: medium-light skin tone, hand, medium-light skin tone, please, pray, thanks
🙏🏽	ask, folded hands, folded hands: medium skin tone, hand, medium skin tone, please, pray, thanks
🙏🏾	ask, folded hands, folded hands: medium-dark skin tone, hand, medium-dark skin tone, please, pray, thanks
🙏🏿	ask, dark skin tone, folded hands, folded hands: dark skin tone, hand, please, pray, thanks
✍️	hand, write, writing hand
✍🏻	hand, light skin tone, write, writing hand, writing hand: light skin tone
✍🏼	hand, medium-light skin tone, write, writing hand, writing hand: medium-light skin tone
✍🏽	hand, medium skin tone, write, writing hand, writing hand: medium skin tone
✍🏾	hand, medium-dark skin tone, write, writing hand, writing hand: medium-dark skin tone
✍🏿	dark skin tone, hand, write, writing hand, writing hand: dark skin tone
💅	care, cosmetics, manicure, nail, nail polish, polish
💅🏻	care, cosmetics, light skin tone, manicure, nail, nail polish: light skin tone, polish
💅🏼	care, cosmetics, manicure, medium-light skin tone, nail, nail polish: medium-light skin tone, polish
💅🏽	care, cosmetics, manicure, medium skin tone, nail, nail polish: medium skin tone, polish
💅🏾	care, cosmetics, manicure, medium-dark skin tone, nail, nail polish: medium-dark skin tone, polish
💅🏿	care, cosmetics, dark skin tone, manicure, nail, nail polish: dark skin tone, polish
🤳	camera, phone, selfie
🤳🏻	camera, light skin tone, phone, selfie, selfie: light skin tone
🤳🏼	camera, medium-light skin tone, phone, selfie, selfie: medium-light skin tone
🤳🏽	camera, medium skin tone, phone, selfie, selfie: medium skin tone
🤳🏾	camera, medium-dark skin tone, phone, selfie, selfie: medium-dark skin tone
🤳🏿	camera, dark skin tone, phone, selfie, selfie: dark skin tone
💪	biceps, comic, flex, flexed biceps, muscle
💪🏻	biceps, comic, flex, flexed biceps, flexed biceps: light skin tone, light skin tone, muscle
💪🏼	biceps, comic, flex, flexed biceps, flexed biceps: medium-light skin tone, medium-light skin tone, muscle
💪🏽	biceps, comic, flex, flexed biceps, flexed biceps: medium skin tone, medium skin tone, muscle
💪🏾	biceps, comic, flex, flexed biceps, flexed biceps: medium-dark skin tone, medium-dark skin tone, muscle
💪🏿	biceps, comic, dark skin tone, flex, flexed biceps, flexed biceps: dark skin tone, muscle
🦾	accessibility, mechanical arm, prosthetic
🦿	accessibility, mechanical leg, prosthetic
🦵	kick, leg, limb
🦵🏻	kick, leg, leg: light skin tone, light skin tone, limb
🦵🏼	kick, leg, leg: medium-light skin tone, limb, medium-light skin tone
🦵🏽	kick, leg, leg: medium skin tone, limb, medium skin tone
🦵🏾	kick, leg, leg: medium-dark skin tone, limb, medium-dark skin tone
🦵🏿	dark skin tone, kick, leg, leg: dark skin tone, limb
🦶	foot, kick, stomp
🦶🏻	foot, foot: light skin tone, kick, light skin tone, stomp
🦶🏼	foot, foot: medium-light skin tone, kick, medium-light skin tone, stomp
🦶🏽	foot, foot: medium skin tone, kick, medium skin tone, stomp
🦶🏾	foot, foot: medium-dark skin tone, kick, medium-dark skin tone, stomp
🦶🏿	dark skin tone, foot, foot: dark skin tone, kick, stomp
👂️	body, ear
👂🏻	body, ear, ear: light skin tone, light skin tone
👂🏼	body, ear, ear: medium-light skin tone, medium-light skin tone
👂🏽	body, ear, ear: medium skin tone, medium skin tone
👂🏾	body, ear, ear: medium-dark skin tone, medium-dark skin tone
👂🏿	body, dark skin tone, ear, ear: dark skin tone
🦻	accessibility, ear with hearing aid, hard of hearing
🦻🏻	accessibility, ear with hearing aid, ear with hearing aid: light skin tone, hard of hearing, light skin tone
🦻🏼	accessibility, ear with hearing aid, ear with hearing aid: medium-light skin tone, hard of hearing, medium-light skin tone
🦻🏽	accessibility, ear with hearing aid, ear with hearing aid: medium skin tone, hard of hearing, medium skin tone
🦻🏾	accessibility, ear with hearing aid, ear with hearing aid: medium-dark skin tone, hard of hearing, medium-dark skin tone
🦻🏿	accessibility, dark skin tone, ear with hearing aid, ear with hearing aid: dark skin tone, hard of hearing
👃	body, nose
👃🏻	body, light skin tone, nose, nose: light skin tone
👃🏼	body, medium-light skin tone, nose, nose: medium-light skin tone
👃🏽	body, medium skin tone, nose, nose: medium skin tone
👃🏾	body, medium-dark skin tone, nose, nose: medium-dark skin tone
👃🏿	body, dark skin tone, nose, nose: dark skin tone
🧠	brain, intelligent
🦷	dentist, tooth
🦴	bone, skeleton
👀	eye, eyes, face
👁️	body, eye
👅	body, tongue
👄	lips, mouth
👶	baby, young
👶🏻	baby, baby: light skin tone, light skin tone, young
👶🏼	baby, baby: medium-light skin tone, medium-light skin tone, young
👶🏽	baby, baby: medium skin tone, medium skin tone, young
👶🏾	baby, baby: medium-dark skin tone, medium-dark skin tone, young
👶🏿	baby, baby: dark skin tone, dark skin tone, young
🧒	child, gender-neutral, unspecified gender, young
🧒🏻	child, child: light skin tone, gender-neutral, light skin tone, unspecified gender, young
🧒🏼	child, child: medium-light skin tone, gender-neutral, medium-light skin tone, unspecified gender, young
🧒🏽	child, child: medium skin tone, gender-neutral, medium skin tone, unspecified gender, young
🧒🏾	child, child: medium-dark skin tone, gender-neutral, medium-dark skin tone, unspecified gender, young
🧒🏿	child, child: dark skin tone, dark skin tone, gender-neutral, unspecified gender, young
👦	boy, young
👦🏻	boy, boy: light skin tone, light skin tone, young
👦🏼	boy, boy: medium-light skin tone, medium-light skin tone, young
👦🏽	boy, boy: medium skin tone, medium skin tone, young
👦🏾	boy, boy: medium-dark skin tone, medium-dark skin tone, young
👦🏿	boy, boy: dark skin tone, dark skin tone, young
👧	Virgo, girl, young, zodiac
👧🏻	Virgo, girl, girl: light skin tone, light skin tone, young, zodiac
👧🏼	Virgo, girl, girl: medium-light skin tone, medium-light skin tone, young, zodiac
👧🏽	Virgo, girl, girl: medium skin tone, medium skin tone, young, zodiac
👧🏾	Virgo, girl, girl: medium-dark skin tone, medium-dark skin tone, young, zodiac
👧🏿	Virgo, dark skin tone, girl, girl: dark skin tone, young, zodiac
