😀	aurpegi, barre egiten ari den aurpegia, irribarre
🙉	aurpegi, debekatu, entzun, ez, gauza txarrik entzun nahi ez duen tximua, keinu, txar, tximu
🙊	aurpegi, debekatu, esan, ez, gauza txarrik esan nahi ez duen tximua, keinu, txar, tximu
💋	ezpainak, musu, musu-aztarna
💌	bihotz, gutun, maitasun, maitasun-gutuna, posta
💘	bihotz, bihotza geziarekin, gezi, kupido
💝	begizta, bihotz, bihotza begiztarekin, valentin
💖	bihotz, bihotz distiratsua, distira, urduri
💗	bihotz, handitu, handitzen ari den bihotza, taupada, urduri, urduritasun
💓	bihotz, bihotz-taupada, taupada
💞	bihotz, biraka, biraka ari diren bihotzak
💕	bi bihotz, bihotz, maitasun
💟	bihotz, bihotz apaindua
❣️	bihotz, bihotz-itxurako harridura-marka, harridura, marka, puntuazioa
💔	bihotz, bihotz hautsia, hautsi, hautsita
❤️	bihotz, bihotz gorria
🧡	bihotz laranja, laranja
💛	bihotz, bihotz horia, hori
💚	berde, bihotz, bihotz berdea
💙	bihotz, bihotz urdina, urdin
💜	bihotz, bihotz morea, more
🤎	bihotz, bihotz marroia, marroi
🖤	beltz, bihotz, bihotz beltza, zital, zorigaitz
🤍	bihotz, bihotz zuria, zuri
💯	100, ehun, ehun puntu, oso, puntuazio
💢	amorruaren ikurra, haserre, komiki, sutan
💥	bum, eztanda, komiki
💫	izar, komiki, zorabiatuta
💦	izerdi, izerdi-tantatxoak, komiki, zipriztin
💨	bizi, komiki, korrika, lasterka, ziztu bizian
🕳️	zulo, zuloa
💣️	komiki, lehergailua
💬	bunbuilo, bunbuiloa, elkarrizketa, hizketa, komiki
👁‍🗨	begi, begi bat duen bunbuiloa, bunbuilo, lekuko
🗨️	elkarrizketa, ezkerrera doan bunbuiloa, hizketa
🗯️	bunbuilo, eskuinera doan sumindura-bunbuiloa, haserre, sumindu
💭	bunbuilo, burutazio, burutazio-bunbuiloa, komiki, pentsamendu
💤	komiki, lo, zzz
👋	esku, gorputz, mugitu, mugitzen ari den eskua
👋🏻	1–2. mota, esku, gorputz, mugitu, mugitzen ari den eskua, mugitzen ari den eskua: 1–2. mota
👋🏼	3. mota, esku, gorputz, mugitu, mugitzen ari den eskua, mugitzen ari den eskua: 3. mota
👋🏽	bitarteko azal-tonua, esku, gorputz, mugitu, mugitzen ari den eskua, mugitzen ari den eskua: bitarteko azal-tonua
👋🏾	5. mota, esku, gorputz, mugitu, mugitzen ari den eskua, mugitzen ari den eskua: 5. mota
👋🏿	6. mota, esku, gorputz, mugitu, mugitzen ari den eskua, mugitzen ari den eskua: 6. mota
🤚	altxatuta, esku-azpi, esku-azpia altxatuta
🤚🏻	1–2. mota, altxatuta, esku-azpi, esku-azpia altxatuta, esku-azpia altxatuta: 1–2. mota
🤚🏼	3. mota, altxatuta, esku-azpi, esku-azpia altxatuta, esku-azpia altxatuta: 3. mota
🤚🏽	altxatuta, bitarteko azal-tonua, esku-azpi, esku-azpia altxatuta, esku-azpia altxatuta: bitarteko azal-tonua
🤚🏾	5. mota, altxatuta, esku-azpi, esku-azpia altxatuta, esku-azpia altxatuta: 5. mota
🤚🏿	6. mota, altxatuta, esku-azpi, esku-azpia altxatuta, esku-azpia altxatuta: 6. mota
🖐️	esku, esku altxatua eta hatz hedatuak, gorputz, hatz, hedatu
🖐🏻	1–2. mota, esku, esku altxatua eta hatz hedatuak, esku altxatua eta hatz hedatuak: 1–2. mota, gorputz, hatz, hedatu
🖐🏼	3. mota, esku, esku altxatua eta hatz hedatuak, esku altxatua eta hatz hedatuak: 3. mota, gorputz, hatz, hedatu
🖐🏽	bitarteko azal-tonua, esku, esku altxatua eta hatz hedatuak, esku altxatua eta hatz hedatuak: bitarteko azal-tonua, gorputz, hatz, hedatu
🖐🏾	5. mota, esku, esku altxatua eta hatz hedatuak, esku altxatua eta hatz hedatuak: 5. mota, gorputz, hatz, hedatu
🖐🏿	6. mota, esku, esku altxatua eta hatz hedatuak, esku altxatua eta hatz hedatuak: 6. mota, gorputz, hatz, hedatu
✋	esku, esku altxatua, gorputz
✋🏻	1–2. mota, esku, esku altxatua, esku altxatua: 1–2. mota, gorputz
✋🏼	3. mota, esku, esku altxatua, esku altxatua: 3. mota, gorputz
✋🏽	bitarteko azal-tonua, esku, esku altxatua, esku altxatua: bitarteko azal-tonua, gorputz
✋🏾	5. mota, esku, esku altxatua, esku altxatua: 5. mota, gorputz
✋🏿	6. mota, esku, esku altxatua, esku altxatua: 6. mota, gorputz
🖖	agur vulkaniar, esku, hatz, spock, vulkaniar, vulkaniar agurra
🖖🏻	1–2. mota, agur vulkaniar, esku, hatz, spock, vulkaniar, vulkaniar agurra, vulkaniar agurra: 1–2. mota
🖖🏼	3. mota, agur vulkaniar, esku, hatz, spock, vulkaniar, vulkaniar agurra, vulkaniar agurra: 3. mota
🖖🏽	agur vulkaniar, bitarteko azal-tonua, esku, hatz, spock, vulkaniar, vulkaniar agurra, vulkaniar agurra: bitarteko azal-tonua
🖖🏾	5. mota, agur vulkaniar, esku, hatz, spock, vulkaniar, vulkaniar agurra, vulkaniar agurra: 5. mota
🖖🏿	6. mota, agur vulkaniar, esku, hatz, spock, vulkaniar, vulkaniar agurra, vulkaniar agurra: 6. mota
👌	ados, adostasuna adierazten duen eskua, esku, gorputz, ok
👌🏻	1–2. mota, ados, adostasuna adierazten duen eskua, adostasuna adierazten duen eskua: 1–2. mota, esku, gorputz, ok
👌🏼	3. mota, ados, adostasuna adierazten duen eskua, adostasuna adierazten duen eskua: 3. mota, esku, gorputz, ok
👌🏽	ados, adostasuna adierazten duen eskua, adostasuna adierazten duen eskua: bitarteko azal-tonua, bitarteko azal-tonua, esku, gorputz, ok
👌🏾	5. mota, ados, adostasuna adierazten duen eskua, adostasuna adierazten duen eskua: 5. mota, esku, gorputz, ok
👌🏿	6. mota, ados, adostasuna adierazten duen eskua, adostasuna adierazten duen eskua: 6. mota, esku, gorputz, ok
🤏	atximurka egiten ari den eskua, pixkat bat
🤏🏻	1–2. mota, atximurka egiten ari den eskua, atximurka egiten ari den eskua: 1–2. mota, pixkat bat
🤏🏼	3. mota, atximurka egiten ari den eskua, atximurka egiten ari den eskua: 3. mota, pixkat bat
🤏🏽	atximurka egiten ari den eskua, atximurka egiten ari den eskua: bitarteko azal-tonua, bitarteko azal-tonua, pixkat bat
🤏🏾	5. mota, atximurka egiten ari den eskua, atximurka egiten ari den eskua: 5. mota, pixkat bat
🤏🏿	6. mota, atximurka egiten ari den eskua, atximurka egiten ari den eskua: 6. mota, pixkat bat
✌️	esku, garaipen, garaipena adierazten duen eskua, gorputz, v
✌🏻	1–2. mota, esku, garaipen, garaipena adierazten duen eskua, garaipena adierazten duen eskua: 1–2. mota, gorputz, v
✌🏼	3. mota, esku, garaipen, garaipena adierazten duen eskua, garaipena adierazten duen eskua: 3. mota, gorputz, v
✌🏽	bitarteko azal-tonua, esku, garaipen, garaipena adierazten duen eskua, garaipena adierazten duen eskua: bitarteko azal-tonua, gorputz, v
✌🏾	5. mota, esku, garaipen, garaipena adierazten duen eskua, garaipena adierazten duen eskua: 5. mota, gorputz, v
✌🏿	6. mota, esku, garaipen, garaipena adierazten duen eskua, garaipena adierazten duen eskua: 6. mota, gorputz, v
🤞	esku, gurutzatu, hatz, hatz gurutzatuak, zorte
🤞🏻	1–2. mota, esku, gurutzatu, hatz, hatz gurutzatuak, hatz gurutzatuak: 1–2. mota, zorte
🤞🏼	3. mota, esku, gurutzatu, hatz, hatz gurutzatuak, hatz gurutzatuak: 3. mota, zorte
🤞🏽	bitarteko azal-tonua, esku, gurutzatu, hatz, hatz gurutzatuak, hatz gurutzatuak: bitarteko azal-tonua, zorte
🤞🏾	5. mota, esku, gurutzatu, hatz, hatz gurutzatuak, hatz gurutzatuak: 5. mota, zorte
🤞🏿	6. mota, esku, gurutzatu, hatz, hatz gurutzatuak, hatz gurutzatuak: 6. mota, zorte
🤟	adarren keinu, adarren keinua, esku
🤟🏻	1–2. mota, adarren keinu, adarren keinua, adarren keinua: 1–2. mota, esku
🤟🏼	3. mota, adarren keinu, adarren keinua, adarren keinua: 3. mota, esku
🤟🏽	adarren keinu, adarren keinua, adarren keinua: bitarteko azal-tonua, bitarteko azal-tonua, esku
🤟🏾	5. mota, adarren keinu, adarren keinua, adarren keinua: 5. mota, esku
🤟🏿	6. mota, adarren keinu, adarren keinua, adarren keinua: 6. mota, esku
🤘	adar, adarrak adierazten dituen eskua, esku, gorputz, hatz
