😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
🙇🏽‍♂	ᎠᏍᎦᏯ ᎤᏘᏌᏘ, ᎠᏍᎦᏯ ᎤᏘᏌᏘ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇🏾‍♂	ᎠᏍᎦᏯ ᎤᏘᏌᏘ, ᎠᏍᎦᏯ ᎤᏘᏌᏘ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇🏿‍♂	ᎠᏍᎦᏯ ᎤᏘᏌᏘ, ᎠᏍᎦᏯ ᎤᏘᏌᏘ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᏘᏌᏘ, ᎠᏙᏍᏈᏗᎠ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇🏻‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᏘᏌᏘ, ᎠᎨᏯ ᎤᏘᏌᏘ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇🏼‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᏘᏌᏘ, ᎠᎨᏯ ᎤᏘᏌᏘ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇🏽‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᏘᏌᏘ, ᎠᎨᏯ ᎤᏘᏌᏘ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇🏾‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᏘᏌᏘ, ᎠᎨᏯ ᎤᏘᏌᏘ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🙇🏿‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᏘᏌᏘ, ᎠᎨᏯ ᎤᏘᏌᏘ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᏍᏈᏗᎠ, ᎡᏍᎦ ᎠᏰᎸᏍᎦ, ᎡᏍᎦ ᎠᏰᎸᏍᎬ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏓᏐᏰᏍᎬ, ᏱᏗᏓᏛᏁᏗ
🤦	ᎤᎧᏛ, ᎤᏬᎭᏁᎦᎸ, ᏄᏬᎯᏳᏒᎾ, ᏩᎵᏍᏆᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ
🤦🏻	ᎤᎧᏛ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᎭᏁᎦᎸ, ᏄᏬᎯᏳᏒᎾ, ᏩᎵᏍᏆᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🤦🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎧᏛ, ᎤᏬᎭᏁᎦᎸ, ᏄᏬᎯᏳᏒᎾ, ᏩᎵᏍᏆᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🤦🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛ, ᎤᏬᎭᏁᎦᎸ, ᏄᏬᎯᏳᏒᎾ, ᏩᎵᏍᏆᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤦🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛ, ᎤᏬᎭᏁᎦᎸ, ᏄᏬᎯᏳᏒᎾ, ᏩᎵᏍᏆᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤦🏿	ᎤᎧᏛ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏬᎭᏁᎦᎸ, ᏄᏬᎯᏳᏒᎾ, ᏩᎵᏍᏆᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᏴᏫ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤦‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏻‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏄᏬᎯᏳᏒᎾ
🤦🏼‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏽‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏾‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏿‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᏍᎦᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏻‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏄᏬᎯᏳᏒᎾ
🤦🏼‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏽‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏾‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤦🏿‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎠᎨᏯ ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎧᏛᎢ ᎠᏓᏏᏔᏗᏍᎬᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎿᎸᎯ, ᏄᏬᎯᏳᏒᎾ
🤷	ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ
🤷🏻	ᎣᏜᏏᏛᎡ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🤷🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🤷🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤷🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤷🏿	ᎣᏜᏏᏛᎡ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᏴᏫ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🤷‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ
🤷🏻‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ
🤷🏼‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ
🤷🏽‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ
🤷🏾‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ
🤷🏿‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᏍᎦᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ ᏚᏌᎳᏛ
🤷‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ
🤷🏻‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ
🤷🏼‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ
🤷🏽‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ
🤷🏾‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ
🤷🏿‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ, ᎠᎨᏯ ᏗᎦᏅᏬ ᏚᏌᎳᏛ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᏜᏏᏛᎡ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎱᏍᏗ ᏄᏰᏟᏛᎾ, ᏃᏂᏛᎾ, ᏗᎦᏅᏬ
👨‍⚕	ᎠᎦᎾᎦᏘ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👨🏻‍⚕	ᎠᎦᎾᎦᏘ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👨🏼‍⚕	ᎠᎦᎾᎦᏘ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👨🏽‍⚕	ᎠᎦᎾᎦᏘ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
