😀	andlit, glott, glottandi andlit
🤏🏻	klípandi hönd, klípandi hönd: ljós húðlitur, ljós húðlitur, lítið magn
🤏🏼	klípandi hönd, klípandi hönd: meðalljós húðlitur, lítið magn, meðalljós húðlitur
🤏🏽	klípandi hönd, klípandi hönd: millihúðlitur, lítið magn, millihúðlitur
🤏🏾	klípandi hönd, klípandi hönd: meðaldökkur húðlitur, lítið magn, meðaldökkur húðlitur
🤏🏿	dökkur húðlitur, klípandi hönd, klípandi hönd: dökkur húðlitur, lítið magn
✌️	friðarmerki, friður, sigur, sigurmerki
✌🏻	friðarmerki, friðarmerki: ljós húðlitur, friður, ljós húðlitur, sigur, sigurmerki
✌🏼	friðarmerki, friðarmerki: meðalljós húðlitur, friður, meðalljós húðlitur, sigur, sigurmerki
✌🏽	friðarmerki, friðarmerki: millihúðlitur, friður, millihúðlitur, sigur, sigurmerki
✌🏾	friðarmerki, friðarmerki: meðaldökkur húðlitur, friður, meðaldökkur húðlitur, sigur, sigurmerki
✌🏿	dökkur húðlitur, friðarmerki, friðarmerki: dökkur húðlitur, friður, sigur, sigurmerki
🤞	fingur, hendi, kross, krosslagðir fingur, lukka
🤞🏻	fingur, hendi, kross, krosslagðir fingur, krosslagðir fingur: ljós húðlitur, ljós húðlitur, lukka
🤞🏼	fingur, hendi, kross, krosslagðir fingur, krosslagðir fingur: meðalljós húðlitur, lukka, meðalljós húðlitur
🤞🏽	fingur, hendi, kross, krosslagðir fingur, krosslagðir fingur: millihúðlitur, lukka, millihúðlitur
🤞🏾	fingur, hendi, kross, krosslagðir fingur, krosslagðir fingur: meðaldökkur húðlitur, lukka, meðaldökkur húðlitur
🤞🏿	dökkur húðlitur, fingur, hendi, kross, krosslagðir fingur, krosslagðir fingur: dökkur húðlitur, lukka
🤟	ILY, elska-þig merki, hendi
🤟🏻	ILY, elska-þig merki, elska-þig merki: ljós húðlitur, hendi, ljós húðlitur
🤟🏼	ILY, elska-þig merki, elska-þig merki: meðalljós húðlitur, hendi, meðalljós húðlitur
🤟🏽	ILY, elska-þig merki, elska-þig merki: millihúðlitur, hendi, millihúðlitur
🤟🏾	ILY, elska-þig merki, elska-þig merki: meðaldökkur húðlitur, hendi, meðaldökkur húðlitur
🤟🏿	ILY, dökkur húðlitur, elska-þig merki, elska-þig merki: dökkur húðlitur, hendi
🤘	fingur, glennt, hönd, líkami, rokkmerki
🤘🏻	fingur, glennt, hönd, ljós húðlitur, líkami, rokkmerki, rokkmerki: ljós húðlitur
🤘🏼	fingur, glennt, hönd, líkami, meðalljós húðlitur, rokkmerki, rokkmerki: meðalljós húðlitur
🤘🏽	fingur, glennt, hönd, líkami, millihúðlitur, rokkmerki, rokkmerki: millihúðlitur
🤘🏾	fingur, glennt, hönd, líkami, meðaldökkur húðlitur, rokkmerki, rokkmerki: meðaldökkur húðlitur
🤘🏿	dökkur húðlitur, fingur, glennt, hönd, líkami, rokkmerki, rokkmerki: dökkur húðlitur
🤙	hringdu, hringitákn, hringja, hönd
🤙🏻	hringdu, hringdu: ljós húðlitur, hringitákn, hringja, hönd, ljós húðlitur
🤙🏼	hringdu, hringdu: meðalljós húðlitur, hringitákn, hringja, hönd, meðalljós húðlitur
🤙🏽	hringdu, hringdu: millihúðlitur, hringitákn, hringja, hönd, millihúðlitur
🤙🏾	hringdu, hringdu: meðaldökkur húðlitur, hringitákn, hringja, hönd, meðaldökkur húðlitur
🤙🏿	dökkur húðlitur, hringdu, hringdu: dökkur húðlitur, hringitákn, hringja, hönd
👈️	benda, benda til vinstri, fingur, fingur bendir til vinstri, hönd, vísifingur
👈🏻	benda, benda til vinstri, fingur, fingur bendir til vinstri, fingur bendir til vinstri: ljós húðlitur, hönd, ljós húðlitur, vísifingur
👈🏼	benda, benda til vinstri, fingur, fingur bendir til vinstri, fingur bendir til vinstri: meðalljós húðlitur, hönd, meðalljós húðlitur, vísifingur
👈🏽	benda, benda til vinstri, fingur, fingur bendir til vinstri, fingur bendir til vinstri: millihúðlitur, hönd, millihúðlitur, vísifingur
👈🏾	benda, benda til vinstri, fingur, fingur bendir til vinstri, fingur bendir til vinstri: meðaldökkur húðlitur, hönd, meðaldökkur húðlitur, vísifingur
👈🏿	benda, benda til vinstri, dökkur húðlitur, fingur, fingur bendir til vinstri, fingur bendir til vinstri: dökkur húðlitur, hönd, vísifingur
👉️	benda, benda til hægri, fingur, fingur bendir til hægri, hönd, vísifingur
👉🏻	benda, benda til hægri, fingur, fingur bendir til hægri, fingur bendir til hægri: ljós húðlitur, hönd, ljós húðlitur, vísifingur
👉🏼	benda, benda til hægri, fingur, fingur bendir til hægri, fingur bendir til hægri: meðalljós húðlitur, hönd, meðalljós húðlitur, vísifingur
👉🏽	benda, benda til hægri, fingur, fingur bendir til hægri, fingur bendir til hægri: millihúðlitur, hönd, millihúðlitur, vísifingur
👉🏾	benda, benda til hægri, fingur, fingur bendir til hægri, fingur bendir til hægri: meðaldökkur húðlitur, hönd, meðaldökkur húðlitur, vísifingur
👉🏿	benda, benda til hægri, dökkur húðlitur, fingur, fingur bendir til hægri, fingur bendir til hægri: dökkur húðlitur, hönd, vísifingur
👆️	bakhönd bendir upp, benda, fingur, fingur bendir upp, hönd, upp
👆🏻	bakhönd bendir upp, benda, fingur, fingur bendir upp, fingur bendir upp: ljós húðlitur, hönd, ljós húðlitur, upp
👆🏼	bakhönd bendir upp, benda, fingur, fingur bendir upp, fingur bendir upp: meðalljós húðlitur, hönd, meðalljós húðlitur, upp
👆🏽	bakhönd bendir upp, benda, fingur, fingur bendir upp, fingur bendir upp: millihúðlitur, hönd, millihúðlitur, upp
👆🏾	bakhönd bendir upp, benda, fingur, fingur bendir upp, fingur bendir upp: meðaldökkur húðlitur, hönd, meðaldökkur húðlitur, upp
👆🏿	bakhönd bendir upp, benda, dökkur húðlitur, fingur, fingur bendir upp, fingur bendir upp: dökkur húðlitur, hönd, upp
🖕	fingur, hönd, langatöng, líkami
🖕🏻	fingur, hönd, langatöng, langatöng: ljós húðlitur, ljós húðlitur, líkami
🖕🏼	fingur, hönd, langatöng, langatöng: meðalljós húðlitur, líkami, meðalljós húðlitur
🖕🏽	fingur, hönd, langatöng, langatöng: millihúðlitur, líkami, millihúðlitur
🖕🏾	fingur, hönd, langatöng, langatöng: meðaldökkur húðlitur, líkami, meðaldökkur húðlitur
🖕🏿	dökkur húðlitur, fingur, hönd, langatöng, langatöng: dökkur húðlitur, líkami
👇️	bakhönd bendir niður, benda, fingur, fingur bendir niður, hönd, niður
👇🏻	bakhönd bendir niður, benda, fingur, fingur bendir niður, fingur bendir niður: ljós húðlitur, hönd, ljós húðlitur, niður
👇🏼	bakhönd bendir niður, benda, fingur, fingur bendir niður, fingur bendir niður: meðalljós húðlitur, hönd, meðalljós húðlitur, niður
👇🏽	bakhönd bendir niður, benda, fingur, fingur bendir niður, fingur bendir niður: millihúðlitur, hönd, millihúðlitur, niður
👇🏾	bakhönd bendir niður, benda, fingur, fingur bendir niður, fingur bendir niður: meðaldökkur húðlitur, hönd, meðaldökkur húðlitur, niður
👇🏿	bakhönd bendir niður, benda, dökkur húðlitur, fingur, fingur bendir niður, fingur bendir niður: dökkur húðlitur, hönd, niður
☝️	benda, benda upp, fingur, hönd, vísifingur, vísifingur bendir upp
☝🏻	benda, benda upp, fingur, hönd, ljós húðlitur, vísifingur, vísifingur bendir upp, vísifingur bendir upp: ljós húðlitur
☝🏼	benda, benda upp, fingur, hönd, meðalljós húðlitur, vísifingur, vísifingur bendir upp, vísifingur bendir upp: meðalljós húðlitur
☝🏽	benda, benda upp, fingur, hönd, millihúðlitur, vísifingur, vísifingur bendir upp, vísifingur bendir upp: millihúðlitur
☝🏾	benda, benda upp, fingur, hönd, meðaldökkur húðlitur, vísifingur, vísifingur bendir upp, vísifingur bendir upp: meðaldökkur húðlitur
☝🏿	benda, benda upp, dökkur húðlitur, fingur, hönd, vísifingur, vísifingur bendir upp, vísifingur bendir upp: dökkur húðlitur
👍️	bending, hönd, þumall upp
👍🏻	bending, hönd, ljós húðlitur, þumall upp, þumall upp: ljós húðlitur
👍🏼	bending, hönd, meðalljós húðlitur, þumall upp, þumall upp: meðalljós húðlitur
👍🏽	bending, hönd, millihúðlitur, þumall upp, þumall upp: millihúðlitur
👍🏾	bending, hönd, meðaldökkur húðlitur, þumall upp, þumall upp: meðaldökkur húðlitur
👍🏿	bending, dökkur húðlitur, hönd, þumall upp, þumall upp: dökkur húðlitur
👎️	bending, hönd, þumall niður
👎🏻	bending, hönd, ljós húðlitur, þumall niður, þumall niður: ljós húðlitur
👎🏼	bending, hönd, meðalljós húðlitur, þumall niður, þumall niður: meðalljós húðlitur
👎🏽	bending, hönd, millihúðlitur, þumall niður, þumall niður: millihúðlitur
👎🏾	bending, hönd, meðaldökkur húðlitur, þumall niður, þumall niður: meðaldökkur húðlitur
👎🏿	bending, dökkur húðlitur, hönd, þumall niður, þumall niður: dökkur húðlitur
✊	hnefi, uppréttur hnefi
✊🏻	hnefi, hnefi: ljós húðlitur, ljós húðlitur, uppréttur hnefi
✊🏼	hnefi, hnefi: meðalljós húðlitur, meðalljós húðlitur, uppréttur hnefi
✊🏽	hnefi, hnefi: millihúðlitur, millihúðlitur, uppréttur hnefi
✊🏾	hnefi, hnefi: meðaldökkur húðlitur, meðaldökkur húðlitur, uppréttur hnefi
✊🏿	dökkur húðlitur, hnefi, hnefi: dökkur húðlitur, uppréttur hnefi
👊	hnefi, hönd, krepptur hnefi, kýla, samankrepptur hnefi
👊🏻	hnefi, hönd, krepptur hnefi, krepptur hnefi: ljós húðlitur, kýla, ljós húðlitur, samankrepptur hnefi
