😀	andlit, glott, glottandi andlit
🧛🏿‍♀	dökkur húðlitur, hinir ódauðlegu, kvenkyns vampíra, kvenkyns vampíra: dökkur húðlitur
🧜	hafmeyja, hafmær, marbendill, sæbúi
🧜🏻	hafmeyja, hafmær, ljós húðlitur, marbendill, sæbúi, sæbúi: ljós húðlitur
🧜🏼	hafmeyja, hafmær, marbendill, meðalljós húðlitur, sæbúi, sæbúi: meðalljós húðlitur
🧜🏽	hafmeyja, hafmær, marbendill, millihúðlitur, sæbúi, sæbúi: millihúðlitur
🧜🏾	hafmeyja, hafmær, marbendill, meðaldökkur húðlitur, sæbúi, sæbúi: meðaldökkur húðlitur
🧜🏿	dökkur húðlitur, hafmeyja, hafmær, marbendill, sæbúi, sæbúi: dökkur húðlitur
🧜‍♂	Tríton, marbendill
🧜🏻‍♂	Tríton, ljós húðlitur, marbendill, marbendill: ljós húðlitur
🧜🏼‍♂	Tríton, marbendill, marbendill: meðalljós húðlitur, meðalljós húðlitur
🧜🏽‍♂	Tríton, marbendill, marbendill: millihúðlitur, millihúðlitur
🧜🏾‍♂	Tríton, marbendill, marbendill: meðaldökkur húðlitur, meðaldökkur húðlitur
🧜🏿‍♂	Tríton, dökkur húðlitur, marbendill, marbendill: dökkur húðlitur
🧜‍♀	hafmeyja, hafmær
🧜🏻‍♀	hafmeyja, hafmeyja: ljós húðlitur, hafmær, ljós húðlitur
🧜🏼‍♀	hafmeyja, hafmeyja: meðalljós húðlitur, hafmær, meðalljós húðlitur
🧜🏽‍♀	hafmeyja, hafmeyja: millihúðlitur, hafmær, millihúðlitur
🧜🏾‍♀	hafmeyja, hafmeyja: meðaldökkur húðlitur, hafmær, meðaldökkur húðlitur
🧜🏿‍♀	dökkur húðlitur, hafmeyja, hafmeyja: dökkur húðlitur, hafmær
🧝	galdrar, huldumaður, töfrandi, töfrar, yfirnáttúrleiki
🧝🏻	galdrar, huldumaður, huldumaður: ljós húðlitur, ljós húðlitur, töfrandi, töfrar, yfirnáttúrleiki
🧝🏼	galdrar, huldumaður, huldumaður: meðalljós húðlitur, meðalljós húðlitur, töfrandi, töfrar, yfirnáttúrleiki
🧝🏽	galdrar, huldumaður, huldumaður: millihúðlitur, millihúðlitur, töfrandi, töfrar, yfirnáttúrleiki
🧝🏾	galdrar, huldumaður, huldumaður: meðaldökkur húðlitur, meðaldökkur húðlitur, töfrandi, töfrar, yfirnáttúrleiki
🧝🏿	dökkur húðlitur, galdrar, huldumaður, huldumaður: dökkur húðlitur, töfrandi, töfrar, yfirnáttúrleiki
🧝‍♂	huldukarl
🧝🏻‍♂	huldukarl, huldukarl: ljós húðlitur, ljós húðlitur
🧝🏼‍♂	huldukarl, huldukarl: meðalljós húðlitur, meðalljós húðlitur
🧝🏽‍♂	huldukarl, huldukarl: millihúðlitur, millihúðlitur
🧝🏾‍♂	huldukarl, huldukarl: meðaldökkur húðlitur, meðaldökkur húðlitur
🧝🏿‍♂	dökkur húðlitur, huldukarl, huldukarl: dökkur húðlitur
🧝‍♀	huldukona
🧝🏻‍♀	huldukona, huldukona: ljós húðlitur, ljós húðlitur
🧝🏼‍♀	huldukona, huldukona: meðalljós húðlitur, meðalljós húðlitur
🧝🏽‍♀	huldukona, huldukona: millihúðlitur, millihúðlitur
🧝🏾‍♀	huldukona, huldukona: meðaldökkur húðlitur, meðaldökkur húðlitur
🧝🏿‍♀	dökkur húðlitur, huldukona, huldukona: dökkur húðlitur
🧞	andi, djinn
🧞‍♂	djinn, karlkyns andi
🧞‍♀	djinn, kvenkyns andi
🧟	hinir gangandi dauðu, hinir ódauðlegu, uppvakningur
🧟‍♂	hinir gangandi dauðu, hinir ódauðlegu, karlkyns uppvakningur
🧟‍♀	hinir gangandi dauðu, hinir ódauðlegu, kvenkyns uppvakningur
💆	andlitsnudd, nudd, snyrtistofa
💆🏻	andlitsnudd, andlitsnudd: ljós húðlitur, ljós húðlitur, nudd, snyrtistofa
💆🏼	andlitsnudd, andlitsnudd: meðalljós húðlitur, meðalljós húðlitur, nudd, snyrtistofa
💆🏽	andlitsnudd, andlitsnudd: millihúðlitur, millihúðlitur, nudd, snyrtistofa
💆🏾	andlitsnudd, andlitsnudd: meðaldökkur húðlitur, meðaldökkur húðlitur, nudd, snyrtistofa
💆🏿	andlitsnudd, andlitsnudd: dökkur húðlitur, dökkur húðlitur, nudd, snyrtistofa
💆‍♂	andlitsnudd, karl, maður fær andlitsnudd, nudd
💆🏻‍♂	andlitsnudd, karl, ljós húðlitur, maður fær andlitsnudd, maður fær andlitsnudd: ljós húðlitur, nudd
💆🏼‍♂	andlitsnudd, karl, maður fær andlitsnudd, maður fær andlitsnudd: meðalljós húðlitur, meðalljós húðlitur, nudd
💆🏽‍♂	andlitsnudd, karl, maður fær andlitsnudd, maður fær andlitsnudd: millihúðlitur, millihúðlitur, nudd
💆🏾‍♂	andlitsnudd, karl, maður fær andlitsnudd, maður fær andlitsnudd: meðaldökkur húðlitur, meðaldökkur húðlitur, nudd
💆🏿‍♂	andlitsnudd, dökkur húðlitur, karl, maður fær andlitsnudd, maður fær andlitsnudd: dökkur húðlitur, nudd
💆‍♀	andlitsnudd, kona, kona fær andlitsnudd, nudd
💆🏻‍♀	andlitsnudd, kona, kona fær andlitsnudd, kona fær andlitsnudd: ljós húðlitur, ljós húðlitur, nudd
💆🏼‍♀	andlitsnudd, kona, kona fær andlitsnudd, kona fær andlitsnudd: meðalljós húðlitur, meðalljós húðlitur, nudd
💆🏽‍♀	andlitsnudd, kona, kona fær andlitsnudd, kona fær andlitsnudd: millihúðlitur, millihúðlitur, nudd
💆🏾‍♀	andlitsnudd, kona, kona fær andlitsnudd, kona fær andlitsnudd: meðaldökkur húðlitur, meðaldökkur húðlitur, nudd
💆🏿‍♀	andlitsnudd, dökkur húðlitur, kona, kona fær andlitsnudd, kona fær andlitsnudd: dökkur húðlitur, nudd
💇	fegurð, hárgreiðslustofa, klipping, snyrtistofa
💇🏻	fegurð, hárgreiðslustofa, klipping, klipping: ljós húðlitur, ljós húðlitur, snyrtistofa
💇🏼	fegurð, hárgreiðslustofa, klipping, klipping: meðalljós húðlitur, meðalljós húðlitur, snyrtistofa
💇🏽	fegurð, hárgreiðslustofa, klipping, klipping: millihúðlitur, millihúðlitur, snyrtistofa
💇🏾	fegurð, hárgreiðslustofa, klipping, klipping: meðaldökkur húðlitur, meðaldökkur húðlitur, snyrtistofa
💇🏿	dökkur húðlitur, fegurð, hárgreiðslustofa, klipping, klipping: dökkur húðlitur, snyrtistofa
💇‍♂	hár, hárgreiðsla, karl, klipping, maður í klippingu
💇🏻‍♂	hár, hárgreiðsla, karl, klipping, ljós húðlitur, maður í klippingu, maður í klippingu: ljós húðlitur
💇🏼‍♂	hár, hárgreiðsla, karl, klipping, maður í klippingu, maður í klippingu: meðalljós húðlitur, meðalljós húðlitur
💇🏽‍♂	hár, hárgreiðsla, karl, klipping, maður í klippingu, maður í klippingu: millihúðlitur, millihúðlitur
💇🏾‍♂	hár, hárgreiðsla, karl, klipping, maður í klippingu, maður í klippingu: meðaldökkur húðlitur, meðaldökkur húðlitur
💇🏿‍♂	dökkur húðlitur, hár, hárgreiðsla, karl, klipping, maður í klippingu, maður í klippingu: dökkur húðlitur
💇‍♀	hár, hárgreiðsla, klipping, kona, kona í klippingu
💇🏻‍♀	hár, hárgreiðsla, klipping, kona, kona í klippingu, kona í klippingu: ljós húðlitur, ljós húðlitur
💇🏼‍♀	hár, hárgreiðsla, klipping, kona, kona í klippingu, kona í klippingu: meðalljós húðlitur, meðalljós húðlitur
💇🏽‍♀	hár, hárgreiðsla, klipping, kona, kona í klippingu, kona í klippingu: millihúðlitur, millihúðlitur
💇🏾‍♀	hár, hárgreiðsla, klipping, kona, kona í klippingu, kona í klippingu: meðaldökkur húðlitur, meðaldökkur húðlitur
💇🏿‍♀	dökkur húðlitur, hár, hárgreiðsla, klipping, kona, kona í klippingu, kona í klippingu: dökkur húðlitur
🚶	ganga, gönguferð, labba, vegfarandi
🚶🏻	ganga, gönguferð, labba, ljós húðlitur, vegfarandi, vegfarandi: ljós húðlitur
🚶🏼	ganga, gönguferð, labba, meðalljós húðlitur, vegfarandi, vegfarandi: meðalljós húðlitur
🚶🏽	ganga, gönguferð, labba, millihúðlitur, vegfarandi, vegfarandi: millihúðlitur
🚶🏾	ganga, gönguferð, labba, meðaldökkur húðlitur, vegfarandi, vegfarandi: meðaldökkur húðlitur
🚶🏿	dökkur húðlitur, ganga, gönguferð, labba, vegfarandi, vegfarandi: dökkur húðlitur
🚶‍♂	ganga, gangandi maður, gönguferð, karl, labba
🚶🏻‍♂	ganga, gangandi maður, gangandi maður: ljós húðlitur, gönguferð, karl, labba, ljós húðlitur
🚶🏼‍♂	ganga, gangandi maður, gangandi maður: meðalljós húðlitur, gönguferð, karl, labba, meðalljós húðlitur
🚶🏽‍♂	ganga, gangandi maður, gangandi maður: millihúðlitur, gönguferð, karl, labba, millihúðlitur
🚶🏾‍♂	ganga, gangandi maður, gangandi maður: meðaldökkur húðlitur, gönguferð, karl, labba, meðaldökkur húðlitur
🚶🏿‍♂	dökkur húðlitur, ganga, gangandi maður, gangandi maður: dökkur húðlitur, gönguferð, karl, labba
🚶‍♀	ganga, gangandi kona, gönguferð, kona, labba
🚶🏻‍♀	ganga, gangandi kona, gangandi kona: ljós húðlitur, gönguferð, kona, labba, ljós húðlitur
🚶🏼‍♀	ganga, gangandi kona, gangandi kona: meðalljós húðlitur, gönguferð, kona, labba, meðalljós húðlitur
🚶🏽‍♀	ganga, gangandi kona, gangandi kona: millihúðlitur, gönguferð, kona, labba, millihúðlitur
🚶🏾‍♀	ganga, gangandi kona, gangandi kona: meðaldökkur húðlitur, gönguferð, kona, labba, meðaldökkur húðlitur
🚶🏿‍♀	dökkur húðlitur, ganga, gangandi kona, gangandi kona: dökkur húðlitur, gönguferð, kona, labba
🧍	standa, standandi manneskja, stendur
🧍🏻	ljós húðlitur, standa, standandi manneskja, standandi manneskja: ljós húðlitur, stendur
🧍🏼	meðalljós húðlitur, standa, standandi manneskja, standandi manneskja: meðalljós húðlitur, stendur
🧍🏽	millihúðlitur, standa, standandi manneskja, standandi manneskja: millihúðlitur, stendur
🧍🏾	meðaldökkur húðlitur, standa, standandi manneskja, standandi manneskja: meðaldökkur húðlitur, stendur
🧍🏿	dökkur húðlitur, standa, standandi manneskja, standandi manneskja: dökkur húðlitur, stendur
🧍‍♂	maður, standa, standandi maður
🧍🏻‍♂	ljós húðlitur, maður, standa, standandi maður, standandi maður: ljós húðlitur
🧍🏼‍♂	maður, meðalljós húðlitur, standa, standandi maður, standandi maður: meðalljós húðlitur
🧍🏽‍♂	maður, millihúðlitur, standa, standandi maður, standandi maður: millihúðlitur
🧍🏾‍♂	maður, meðaldökkur húðlitur, standa, standandi maður, standandi maður: meðaldökkur húðlitur
🧍🏿‍♂	dökkur húðlitur, maður, standa, standandi maður, standandi maður: dökkur húðlitur
🧍‍♀	kona, standandi, standandi kona
🧍🏻‍♀	kona, ljós húðlitur, standandi, standandi kona: ljós húðlitur
🧍🏼‍♀	kona, meðalljós húðlitur, standandi, standandi kona: meðalljós húðlitur
🧍🏽‍♀	kona, millihúðlitur, standandi, standandi kona: millihúðlitur
🧍🏾‍♀	kona, meðaldökkur húðlitur, standandi, standandi kona: meðaldökkur húðlitur
🧍🏿‍♀	dökkur húðlitur, kona, standandi, standandi kona: dökkur húðlitur
🧎	krjúpa, krjúpandi, krjúpandi manneskja
🧎🏻	krjúpa, krjúpandi, krjúpandi manneskja, krjúpandi manneskja: ljós húðlitur, ljós húðlitur
🧎🏼	krjúpa, krjúpandi, krjúpandi manneskja, krjúpandi manneskja: meðalljós húðlitur, meðalljós húðlitur
🧎🏽	krjúpa, krjúpandi, krjúpandi manneskja, krjúpandi manneskja: millihúðlitur, millihúðlitur
🧎🏾	krjúpa, krjúpandi, krjúpandi manneskja, krjúpandi manneskja: meðaldökkur húðlitur, meðaldökkur húðlitur
🧎🏿	dökkur húðlitur, krjúpa, krjúpandi, krjúpandi manneskja, krjúpandi manneskja: dökkur húðlitur
🧎‍♂	krjúpandi, krjúpandi maður, maður
🧎🏻‍♂	krjúpandi, krjúpandi maður: ljós húðlitur, ljós húðlitur, maður
🧎🏼‍♂	krjúpandi, krjúpandi maður: meðalljós húðlitur, maður, meðalljós húðlitur
🧎🏽‍♂	krjúpandi, krjúpandi maður: millihúðlitur, maður, millihúðlitur
🧎🏾‍♂	krjúpandi, krjúpandi maður: meðaldökkur húðlitur, maður, meðaldökkur húðlitur
🧎🏿‍♂	dökkur húðlitur, krjúpandi, krjúpandi maður: dökkur húðlitur, maður
🧎‍♀	kona, krjúpandi, krjúpandi kona
🧎🏻‍♀	kona, krjúpandi, krjúpandi kona: ljós húðlitur, ljós húðlitur
🧎🏼‍♀	kona, krjúpandi, krjúpandi kona: meðalljós húðlitur, meðalljós húðlitur
🧎🏽‍♀	kona, krjúpandi, krjúpandi kona: millihúðlitur, millihúðlitur
🧎🏾‍♀	kona, krjúpandi, krjúpandi kona: meðaldökkur húðlitur, meðaldökkur húðlitur
🧎🏿‍♀	dökkur húðlitur, kona, krjúpandi, krjúpandi kona: dökkur húðlitur
👨‍🦯	aðgengi, blindur, maður, maður með blindrastaf
👨🏻‍🦯	aðgengi, blindur, ljós húðlitur, maður, maður með blindrastaf, maður með blindrastaf: ljós húðlitur
👨🏼‍🦯	aðgengi, blindur, maður, maður með blindrastaf, maður með blindrastaf: meðalljós húðlitur, meðalljós húðlitur
👨🏽‍🦯	aðgengi, blindur, maður, maður með blindrastaf, maður með blindrastaf: millihúðlitur, millihúðlitur
👨🏾‍🦯	aðgengi, blindur, maður, maður með blindrastaf, maður með blindrastaf: meðaldökkur húðlitur, meðaldökkur húðlitur
👨🏿‍🦯	aðgengi, blindur, dökkur húðlitur, maður, maður með blindrastaf, maður með blindrastaf: dökkur húðlitur
👩‍🦯	aðgengi, blind, kona, kona með blindrastaf
👩🏻‍🦯	aðgengi, blind, kona, kona með blindrastaf, kona með blindrastaf: ljós húðlitur, ljós húðlitur
👩🏼‍🦯	aðgengi, blind, kona, kona með blindrastaf, kona með blindrastaf: meðalljós húðlitur, meðalljós húðlitur
👩🏽‍🦯	aðgengi, blind, kona, kona með blindrastaf, kona með blindrastaf: millihúðlitur, millihúðlitur
👩🏾‍🦯	aðgengi, blind, kona, kona með blindrastaf, kona með blindrastaf: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿‍🦯	aðgengi, blind, dökkur húðlitur, kona, kona með blindrastaf, kona með blindrastaf: dökkur húðlitur
👨‍🦼	aðgengi, hjólastóll, maður, maður í vélknúnum hjólastól
👨🏻‍🦼	aðgengi, hjólastóll, ljós húðlitur, maður, maður í vélknúnum hjólastól, maður í vélknúnum hjólastól: ljós húðlitur
👨🏼‍🦼	aðgengi, hjólastóll, maður, maður í vélknúnum hjólastól, maður í vélknúnum hjólastól: meðalljós húðlitur, meðalljós húðlitur
👨🏽‍🦼	aðgengi, hjólastóll, maður, maður í vélknúnum hjólastól, maður í vélknúnum hjólastól: millihúðlitur, millihúðlitur
👨🏾‍🦼	aðgengi, hjólastóll, maður, maður í vélknúnum hjólastól, maður í vélknúnum hjólastól: meðaldökkur húðlitur, meðaldökkur húðlitur
👨🏿‍🦼	aðgengi, dökkur húðlitur, hjólastóll, maður, maður í vélknúnum hjólastól, maður í vélknúnum hjólastól: dökkur húðlitur
👩‍🦼	aðgengi, hjólastóll, kona, kona í vélknúnum hjólastól
👩🏻‍🦼	aðgengi, hjólastóll, kona, kona í vélknúnum hjólastól, kona í vélknúnum hjólastól: ljós húðlitur, ljós húðlitur
👩🏼‍🦼	aðgengi, hjólastóll, kona, kona í vélknúnum hjólastól, kona í vélknúnum hjólastól: meðalljós húðlitur, meðalljós húðlitur
👩🏽‍🦼	aðgengi, hjólastóll, kona, kona í vélknúnum hjólastól, kona í vélknúnum hjólastól: millihúðlitur, millihúðlitur
👩🏾‍🦼	aðgengi, hjólastóll, kona, kona í vélknúnum hjólastól, kona í vélknúnum hjólastól: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿‍🦼	aðgengi, dökkur húðlitur, hjólastóll, kona, kona í vélknúnum hjólastól, kona í vélknúnum hjólastól: dökkur húðlitur
👨‍🦽	aðgengi, hjólastóll, maður, maður í hjólastól
👨🏻‍🦽	aðgengi, hjólastóll, ljós húðlitur, maður, maður í hjólastól, maður í hjólastól: ljós húðlitur
👨🏼‍🦽	aðgengi, hjólastóll, maður, maður í hjólastól, maður í hjólastól: meðalljós húðlitur, meðalljós húðlitur
👨🏽‍🦽	aðgengi, hjólastóll, maður, maður í hjólastól, maður í hjólastól: millihúðlitur, millihúðlitur
👨🏾‍🦽	aðgengi, hjólastóll, maður, maður í hjólastól, maður í hjólastól: meðaldökkur húðlitur, meðaldökkur húðlitur
👨🏿‍🦽	aðgengi, dökkur húðlitur, hjólastóll, maður, maður í hjólastól, maður í hjólastól: dökkur húðlitur
👩‍🦽	aðgengi, hjólastóll, kona, kona í hjólastól
👩🏻‍🦽	aðgengi, hjólastóll, kona, kona í hjólastól, kona í hjólastól: ljós húðlitur, ljós húðlitur
👩🏼‍🦽	aðgengi, hjólastóll, kona, kona í hjólastól, kona í hjólastól: meðalljós húðlitur, meðalljós húðlitur
👩🏽‍🦽	aðgengi, hjólastóll, kona, kona í hjólastól, kona í hjólastól: millihúðlitur, millihúðlitur
👩🏾‍🦽	aðgengi, hjólastóll, kona, kona í hjólastól, kona í hjólastól: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿‍🦽	aðgengi, dökkur húðlitur, hjólastóll, kona, kona í hjólastól, kona í hjólastól: dökkur húðlitur
🏃	hlaup, hlaupari, maraþon
🏃🏻	hlaup, hlaupari, hlaupari: ljós húðlitur, ljós húðlitur, maraþon
🏃🏼	hlaup, hlaupari, hlaupari: meðalljós húðlitur, maraþon, meðalljós húðlitur
🏃🏽	hlaup, hlaupari, hlaupari: millihúðlitur, maraþon, millihúðlitur
🏃🏾	hlaup, hlaupari, hlaupari: meðaldökkur húðlitur, maraþon, meðaldökkur húðlitur
🏃🏿	dökkur húðlitur, hlaup, hlaupari, hlaupari: dökkur húðlitur, maraþon
🏃‍♂	hlaup, hlaupandi maður, maraþon
🏃🏻‍♂	hlaup, hlaupandi maður, hlaupandi maður: ljós húðlitur, ljós húðlitur, maraþon
🏃🏼‍♂	hlaup, hlaupandi maður, hlaupandi maður: meðalljós húðlitur, maraþon, meðalljós húðlitur
🏃🏽‍♂	hlaup, hlaupandi maður, hlaupandi maður: millihúðlitur, maraþon, millihúðlitur
🏃🏾‍♂	hlaup, hlaupandi maður, hlaupandi maður: meðaldökkur húðlitur, maraþon, meðaldökkur húðlitur
🏃🏿‍♂	dökkur húðlitur, hlaup, hlaupandi maður, hlaupandi maður: dökkur húðlitur, maraþon
🏃‍♀	hlaup, hlaupandi kona, maraþon
🏃🏻‍♀	hlaup, hlaupandi kona, hlaupandi kona: ljós húðlitur, ljós húðlitur, maraþon
🏃🏼‍♀	hlaup, hlaupandi kona, hlaupandi kona: meðalljós húðlitur, maraþon, meðalljós húðlitur
🏃🏽‍♀	hlaup, hlaupandi kona, hlaupandi kona: millihúðlitur, maraþon, millihúðlitur
🏃🏾‍♀	hlaup, hlaupandi kona, hlaupandi kona: meðaldökkur húðlitur, maraþon, meðaldökkur húðlitur
🏃🏿‍♀	dökkur húðlitur, hlaup, hlaupandi kona, hlaupandi kona: dökkur húðlitur, maraþon
💃	dans, dansandi kona, fólk
💃🏻	dans, dansandi kona, dansandi kona: ljós húðlitur, fólk, ljós húðlitur
💃🏼	dans, dansandi kona, dansandi kona: meðalljós húðlitur, fólk, meðalljós húðlitur
💃🏽	dans, dansandi kona, dansandi kona: millihúðlitur, fólk, millihúðlitur
💃🏾	dans, dansandi kona, dansandi kona: meðaldökkur húðlitur, fólk, meðaldökkur húðlitur
💃🏿	dans, dansandi kona, dansandi kona: dökkur húðlitur, dökkur húðlitur, fólk
🕺	dansa, dansandi karl, dansari, diskó
🕺🏻	dansa, dansandi karl, dansandi karl: ljós húðlitur, dansari, diskó, ljós húðlitur
🕺🏼	dansa, dansandi karl, dansandi karl: meðalljós húðlitur, dansari, diskó, meðalljós húðlitur
🕺🏽	dansa, dansandi karl, dansandi karl: millihúðlitur, dansari, diskó, millihúðlitur
🕺🏾	dansa, dansandi karl, dansandi karl: meðaldökkur húðlitur, dansari, diskó, meðaldökkur húðlitur
🕺🏿	dansa, dansandi karl, dansandi karl: dökkur húðlitur, dansari, diskó, dökkur húðlitur
🕴️	jakkaföt, maður, svífandi bisnessmaður í jakkafötum, viðskipti
🕴🏻	jakkaföt, ljós húðlitur, maður, svífandi bisnessmaður í jakkafötum, svífandi bisnessmaður í jakkafötum: ljós húðlitur, viðskipti
🕴🏼	jakkaföt, maður, meðalljós húðlitur, svífandi bisnessmaður í jakkafötum, svífandi bisnessmaður í jakkafötum: meðalljós húðlitur, viðskipti
🕴🏽	jakkaföt, maður, millihúðlitur, svífandi bisnessmaður í jakkafötum, svífandi bisnessmaður í jakkafötum: millihúðlitur, viðskipti
🕴🏾	jakkaföt, maður, meðaldökkur húðlitur, svífandi bisnessmaður í jakkafötum, svífandi bisnessmaður í jakkafötum: meðaldökkur húðlitur, viðskipti
🕴🏿	dökkur húðlitur, jakkaföt, maður, svífandi bisnessmaður í jakkafötum, svífandi bisnessmaður í jakkafötum: dökkur húðlitur, viðskipti
👯	fólk, kanínueyru, kona, stelpa
👯‍♂	dans, karlar, menn með kanínueyru, partí, skemmtun
👯‍♀	dans, konur, konur með kanínueyru, partí, skemmtun
🧖	eimbað, einstaklingur í gufubaði, gufubað
🧖🏻	eimbað, einstaklingur í gufubaði, einstaklingur í gufubaði: ljós húðlitur, gufubað, ljós húðlitur
🧖🏼	eimbað, einstaklingur í gufubaði, einstaklingur í gufubaði: meðalljós húðlitur, gufubað, meðalljós húðlitur
🧖🏽	eimbað, einstaklingur í gufubaði, einstaklingur í gufubaði: millihúðlitur, gufubað, millihúðlitur
🧖🏾	eimbað, einstaklingur í gufubaði, einstaklingur í gufubaði: meðaldökkur húðlitur, gufubað, meðaldökkur húðlitur
🧖🏿	dökkur húðlitur, eimbað, einstaklingur í gufubaði, einstaklingur í gufubaði: dökkur húðlitur, gufubað
🧖‍♂	eimbað, gufubað, maður í gufubaði
🧖🏻‍♂	eimbað, gufubað, ljós húðlitur, maður í gufubaði, maður í gufubaði: ljós húðlitur
🧖🏼‍♂	eimbað, gufubað, maður í gufubaði, maður í gufubaði: meðalljós húðlitur, meðalljós húðlitur
🧖🏽‍♂	eimbað, gufubað, maður í gufubaði, maður í gufubaði: millihúðlitur, millihúðlitur
🧖🏾‍♂	eimbað, gufubað, maður í gufubaði, maður í gufubaði: meðaldökkur húðlitur, meðaldökkur húðlitur
🧖🏿‍♂	dökkur húðlitur, eimbað, gufubað, maður í gufubaði, maður í gufubaði: dökkur húðlitur
🧖‍♀	eimbað, gufubað, kona í gufubaði
🧖🏻‍♀	eimbað, gufubað, kona í gufubaði, kona í gufubaði: ljós húðlitur, ljós húðlitur
🧖🏼‍♀	eimbað, gufubað, kona í gufubaði, kona í gufubaði: meðalljós húðlitur, meðalljós húðlitur
🧖🏽‍♀	eimbað, gufubað, kona í gufubaði, kona í gufubaði: millihúðlitur, millihúðlitur
🧖🏾‍♀	eimbað, gufubað, kona í gufubaði, kona í gufubaði: meðaldökkur húðlitur, meðaldökkur húðlitur
🧖🏿‍♀	dökkur húðlitur, eimbað, gufubað, kona í gufubaði, kona í gufubaði: dökkur húðlitur
🧗	maður í klettaklifri
🧗🏻	ljós húðlitur, maður í klettaklifri, maður í klettaklifri: ljós húðlitur
🧗🏼	maður í klettaklifri, maður í klettaklifri: meðalljós húðlitur, meðalljós húðlitur
🧗🏽	maður í klettaklifri, maður í klettaklifri: millihúðlitur, millihúðlitur
🧗🏾	maður í klettaklifri, maður í klettaklifri: meðaldökkur húðlitur, meðaldökkur húðlitur
🧗🏿	dökkur húðlitur, maður í klettaklifri, maður í klettaklifri: dökkur húðlitur
🧗‍♂	karl í klettaklifri, klettaklifur
🧗🏻‍♂	karl í klettaklifri, karl í klettaklifri: ljós húðlitur, klettaklifur, ljós húðlitur
🧗🏼‍♂	karl í klettaklifri, karl í klettaklifri: meðalljós húðlitur, klettaklifur, meðalljós húðlitur
🧗🏽‍♂	karl í klettaklifri, karl í klettaklifri: millihúðlitur, klettaklifur, millihúðlitur
🧗🏾‍♂	karl í klettaklifri, karl í klettaklifri: meðaldökkur húðlitur, klettaklifur, meðaldökkur húðlitur
🧗🏿‍♂	dökkur húðlitur, karl í klettaklifri, karl í klettaklifri: dökkur húðlitur, klettaklifur
🧗‍♀	klettaklifur, kona í klettaklifri
🧗🏻‍♀	klettaklifur, kona í klettaklifri, kona í klettaklifri: ljós húðlitur, ljós húðlitur
🧗🏼‍♀	klettaklifur, kona í klettaklifri, kona í klettaklifri: meðalljós húðlitur, meðalljós húðlitur
🧗🏽‍♀	klettaklifur, kona í klettaklifri, kona í klettaklifri: millihúðlitur, millihúðlitur
🧗🏾‍♀	klettaklifur, kona í klettaklifri, kona í klettaklifri: meðaldökkur húðlitur, meðaldökkur húðlitur
🧗🏿‍♀	dökkur húðlitur, klettaklifur, kona í klettaklifri, kona í klettaklifri: dökkur húðlitur
🤺	bardagaíþrótt, skylmast, skylmingar, íþrótt
🏇	hestur, knapi, veðreiðahestur, veðreiðar, íþrótt
🏇🏻	hestur, knapi, ljós húðlitur, veðreiðahestur, veðreiðar, veðreiðar: ljós húðlitur, íþrótt
🏇🏼	hestur, knapi, meðalljós húðlitur, veðreiðahestur, veðreiðar, veðreiðar: meðalljós húðlitur, íþrótt
🏇🏽	hestur, knapi, millihúðlitur, veðreiðahestur, veðreiðar, veðreiðar: millihúðlitur, íþrótt
🏇🏾	hestur, knapi, meðaldökkur húðlitur, veðreiðahestur, veðreiðar, veðreiðar: meðaldökkur húðlitur, íþrótt
🏇🏿	dökkur húðlitur, hestur, knapi, veðreiðahestur, veðreiðar, veðreiðar: dökkur húðlitur, íþrótt
⛷️	skíðamaður, skíði, snjór
🏂️	snjóbrettamaður, snjóbretti, íþróttir
🏂🏻	ljós húðlitur, snjóbrettamaður, snjóbrettamaður: ljós húðlitur, snjóbretti, íþróttir
🏂🏼	meðalljós húðlitur, snjóbrettamaður, snjóbrettamaður: meðalljós húðlitur, snjóbretti, íþróttir
🏂🏽	millihúðlitur, snjóbrettamaður, snjóbrettamaður: millihúðlitur, snjóbretti, íþróttir
🏂🏾	meðaldökkur húðlitur, snjóbrettamaður, snjóbrettamaður: meðaldökkur húðlitur, snjóbretti, íþróttir
🏂🏿	dökkur húðlitur, snjóbrettamaður, snjóbrettamaður: dökkur húðlitur, snjóbretti, íþróttir
🏌️	golf, kylfingur
🏌🏻	golf, kylfingur, kylfingur: ljós húðlitur, ljós húðlitur
🏌🏼	golf, kylfingur, kylfingur: meðalljós húðlitur, meðalljós húðlitur
🏌🏽	golf, kylfingur, kylfingur: millihúðlitur, millihúðlitur
🏌🏾	golf, kylfingur, kylfingur: meðaldökkur húðlitur, meðaldökkur húðlitur
🏌🏿	dökkur húðlitur, golf, kylfingur, kylfingur: dökkur húðlitur
🏌‍♂	golf, karl, kylfingur, maður í golfi
🏌🏻‍♂	golf, karl, kylfingur, ljós húðlitur, maður í golfi, maður í golfi: ljós húðlitur
🏌🏼‍♂	golf, karl, kylfingur, maður í golfi, maður í golfi: meðalljós húðlitur, meðalljós húðlitur
🏌🏽‍♂	golf, karl, kylfingur, maður í golfi, maður í golfi: millihúðlitur, millihúðlitur
