😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
🕴🏼	επιχειρηματίας, κοστουμαρισμένος άντρας που αιωρείται, κοστουμαρισμένος άντρας που αιωρείται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κουστούμι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🕴🏽	επιχειρηματίας, κοστουμαρισμένος άντρας που αιωρείται, κοστουμαρισμένος άντρας που αιωρείται: μεσαίος τόνος δέρματος, κουστούμι, μεσαίος τόνος δέρματος
🕴🏾	επιχειρηματίας, κοστουμαρισμένος άντρας που αιωρείται, κοστουμαρισμένος άντρας που αιωρείται: μεσαίος-σκούρος τόνος δέρματος, κουστούμι, μεσαίος-σκούρος τόνος δέρματος
🕴🏿	επιχειρηματίας, κοστουμαρισμένος άντρας που αιωρείται, κοστουμαρισμένος άντρας που αιωρείται: σκούρος τόνος δέρματος, κουστούμι, σκούρος τόνος δέρματος
👯	άτομα με λαγουδένια αυτιά, αυτί, γυναίκα, κορίτσι, κουνελάκι, χορεύτρια
👯‍♂	άντρες, άντρες με λαγουδένια αυτιά, πάρτυ, χορός
👯‍♀	γυναίκες, γυναίκες με λαγουδένια αυτιά, πάρτυ, χορός
🧖	άτομο σε σάουνα, σάουνα
🧖🏻	άτομο σε σάουνα, άτομο σε σάουνα: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏼	άτομο σε σάουνα, άτομο σε σάουνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏽	άτομο σε σάουνα, άτομο σε σάουνα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σάουνα
🧖🏾	άτομο σε σάουνα, άτομο σε σάουνα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σάουνα
🧖🏿	άτομο σε σάουνα, άτομο σε σάουνα: σκούρος τόνος δέρματος, σάουνα, σκούρος τόνος δέρματος
🧖‍♂	άντρας σε σάουνα, σάουνα
🧖🏻‍♂	άντρας σε σάουνα, άντρας σε σάουνα: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏼‍♂	άντρας σε σάουνα, άντρας σε σάουνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏽‍♂	άντρας σε σάουνα, άντρας σε σάουνα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σάουνα
🧖🏾‍♂	άντρας σε σάουνα, άντρας σε σάουνα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σάουνα
🧖🏿‍♂	άντρας σε σάουνα, άντρας σε σάουνα: σκούρος τόνος δέρματος, σάουνα, σκούρος τόνος δέρματος
🧖‍♀	γυναίκα σε σάουνα, σάουνα
🧖🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα σε σάουνα, γυναίκα σε σάουνα: ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏼‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏽‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σάουνα
🧖🏾‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σάουνα
🧖🏿‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: σκούρος τόνος δέρματος, σάουνα, σκούρος τόνος δέρματος
🧗	άτομο που αναρριχείται, ορειβάτης
🧗🏻	άτομο που αναρριχείται, άτομο που αναρριχείται: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏼	άτομο που αναρριχείται, άτομο που αναρριχείται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏽	άτομο που αναρριχείται, άτομο που αναρριχείται: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ορειβάτης
🧗🏾	άτομο που αναρριχείται, άτομο που αναρριχείται: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ορειβάτης
🧗🏿	άτομο που αναρριχείται, άτομο που αναρριχείται: σκούρος τόνος δέρματος, ορειβάτης, σκούρος τόνος δέρματος
🧗‍♂	άντρας ορειβάτης, ορειβάτης
🧗🏻‍♂	άντρας ορειβάτης, άντρας ορειβάτης: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏼‍♂	άντρας ορειβάτης, άντρας ορειβάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏽‍♂	άντρας ορειβάτης, άντρας ορειβάτης: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ορειβάτης
🧗🏾‍♂	άντρας ορειβάτης, άντρας ορειβάτης: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ορειβάτης
🧗🏿‍♂	άντρας ορειβάτης, άντρας ορειβάτης: σκούρος τόνος δέρματος, ορειβάτης, σκούρος τόνος δέρματος
🧗‍♀	γυναίκα ορειβάτης, ορειβάτισσα
🧗🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα ορειβάτης, γυναίκα ορειβάτης: ανοιχτόχρωμος τόνος δέρματος, ορειβάτισσα
🧗🏼‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορειβάτισσα
🧗🏽‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ορειβάτισσα
🧗🏾‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ορειβάτισσα
🧗🏿‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: σκούρος τόνος δέρματος, ορειβάτισσα, σκούρος τόνος δέρματος
🤺	άτομο, ξίφος, ξιφομάχος, ξιφομαχία, σπορ
🏇	άλογο, άλογο αγώνων, αγώνες, ιππόδρομος, καπέλο τζόκεϊ
🏇🏻	άλογο, άλογο αγώνων, αγώνες, ανοιχτόχρωμος τόνος δέρματος, ιππόδρομος, ιππόδρομος: ανοιχτόχρωμος τόνος δέρματος, καπέλο τζόκεϊ
🏇🏼	άλογο, άλογο αγώνων, αγώνες, ιππόδρομος, ιππόδρομος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καπέλο τζόκεϊ, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏇🏽	άλογο, άλογο αγώνων, αγώνες, ιππόδρομος, ιππόδρομος: μεσαίος τόνος δέρματος, καπέλο τζόκεϊ, μεσαίος τόνος δέρματος
🏇🏾	άλογο, άλογο αγώνων, αγώνες, ιππόδρομος, ιππόδρομος: μεσαίος-σκούρος τόνος δέρματος, καπέλο τζόκεϊ, μεσαίος-σκούρος τόνος δέρματος
🏇🏿	άλογο, άλογο αγώνων, αγώνες, ιππόδρομος, ιππόδρομος: σκούρος τόνος δέρματος, καπέλο τζόκεϊ, σκούρος τόνος δέρματος
⛷️	σκι, σκιέρ, χιόνι
🏂️	σκι, σνόουμπορντ, χιόνι
🏂🏻	ανοιχτόχρωμος τόνος δέρματος, σκι, σνόουμπορντ, σνόουμπορντ: ανοιχτόχρωμος τόνος δέρματος, χιόνι
🏂🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκι, σνόουμπορντ, σνόουμπορντ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χιόνι
🏂🏽	μεσαίος τόνος δέρματος, σκι, σνόουμπορντ, σνόουμπορντ: μεσαίος τόνος δέρματος, χιόνι
🏂🏾	μεσαίος-σκούρος τόνος δέρματος, σκι, σνόουμπορντ, σνόουμπορντ: μεσαίος-σκούρος τόνος δέρματος, χιόνι
🏂🏿	σκι, σκούρος τόνος δέρματος, σνόουμπορντ, σνόουμπορντ: σκούρος τόνος δέρματος, χιόνι
🏌️	γκολφ, γκόλφερ, μπάλα
🏌🏻	ανοιχτόχρωμος τόνος δέρματος, γκολφ, γκόλφερ, γκόλφερ: ανοιχτόχρωμος τόνος δέρματος, μπάλα
🏌🏼	γκολφ, γκόλφερ, γκόλφερ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπάλα
🏌🏽	γκολφ, γκόλφερ, γκόλφερ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μπάλα
🏌🏾	γκολφ, γκόλφερ, γκόλφερ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μπάλα
🏌🏿	γκολφ, γκόλφερ, γκόλφερ: σκούρος τόνος δέρματος, μπάλα, σκούρος τόνος δέρματος
🏌‍♂	άντρας, άντρας παίζει γκολφ, γκολφ
🏌🏻‍♂	άντρας, άντρας παίζει γκολφ, άντρας παίζει γκολφ: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γκολφ
🏌🏼‍♂	άντρας, άντρας παίζει γκολφ, άντρας παίζει γκολφ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γκολφ, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏌🏽‍♂	άντρας, άντρας παίζει γκολφ, άντρας παίζει γκολφ: μεσαίος τόνος δέρματος, γκολφ, μεσαίος τόνος δέρματος
🏌🏾‍♂	άντρας, άντρας παίζει γκολφ, άντρας παίζει γκολφ: μεσαίος-σκούρος τόνος δέρματος, γκολφ, μεσαίος-σκούρος τόνος δέρματος
🏌🏿‍♂	άντρας, άντρας παίζει γκολφ, άντρας παίζει γκολφ: σκούρος τόνος δέρματος, γκολφ, σκούρος τόνος δέρματος
🏌‍♀	γκολφ, γυναίκα, γυναίκα παίζει γκολφ
🏌🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γκολφ, γυναίκα, γυναίκα παίζει γκολφ, γυναίκα παίζει γκολφ: ανοιχτόχρωμος τόνος δέρματος
🏌🏼‍♀	γκολφ, γυναίκα, γυναίκα παίζει γκολφ, γυναίκα παίζει γκολφ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏌🏽‍♀	γκολφ, γυναίκα, γυναίκα παίζει γκολφ, γυναίκα παίζει γκολφ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
🏌🏾‍♀	γκολφ, γυναίκα, γυναίκα παίζει γκολφ, γυναίκα παίζει γκολφ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
🏌🏿‍♀	γκολφ, γυναίκα, γυναίκα παίζει γκολφ, γυναίκα παίζει γκολφ: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🏄️	σέρφερ, σέρφινγκ
🏄🏻	ανοιχτόχρωμος τόνος δέρματος, σέρφερ, σέρφερ: ανοιχτόχρωμος τόνος δέρματος, σέρφινγκ
🏄🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σέρφερ, σέρφερ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σέρφινγκ
🏄🏽	μεσαίος τόνος δέρματος, σέρφερ, σέρφερ: μεσαίος τόνος δέρματος, σέρφινγκ
🏄🏾	μεσαίος-σκούρος τόνος δέρματος, σέρφερ, σέρφερ: μεσαίος-σκούρος τόνος δέρματος, σέρφινγκ
🏄🏿	σέρφερ, σέρφερ: σκούρος τόνος δέρματος, σέρφινγκ, σκούρος τόνος δέρματος
🏄‍♂	άντρας, άντρας σε σανίδα σερφ, σερφ
🏄🏻‍♂	άντρας, άντρας σε σανίδα σερφ, άντρας σε σανίδα σερφ: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, σερφ
🏄🏼‍♂	άντρας, άντρας σε σανίδα σερφ, άντρας σε σανίδα σερφ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σερφ
🏄🏽‍♂	άντρας, άντρας σε σανίδα σερφ, άντρας σε σανίδα σερφ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σερφ
🏄🏾‍♂	άντρας, άντρας σε σανίδα σερφ, άντρας σε σανίδα σερφ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σερφ
🏄🏿‍♂	άντρας, άντρας σε σανίδα σερφ, άντρας σε σανίδα σερφ: σκούρος τόνος δέρματος, σερφ, σκούρος τόνος δέρματος
🏄‍♀	γυναίκα, γυναίκα σε σανίδα σερφ, σερφ
🏄🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα σε σανίδα σερφ, γυναίκα σε σανίδα σερφ: ανοιχτόχρωμος τόνος δέρματος, σερφ
🏄🏼‍♀	γυναίκα, γυναίκα σε σανίδα σερφ, γυναίκα σε σανίδα σερφ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σερφ
🏄🏽‍♀	γυναίκα, γυναίκα σε σανίδα σερφ, γυναίκα σε σανίδα σερφ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σερφ
🏄🏾‍♀	γυναίκα, γυναίκα σε σανίδα σερφ, γυναίκα σε σανίδα σερφ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σερφ
🏄🏿‍♀	γυναίκα, γυναίκα σε σανίδα σερφ, γυναίκα σε σανίδα σερφ: σκούρος τόνος δέρματος, σερφ, σκούρος τόνος δέρματος
🚣	βάρκα, κωπηλάτης, λέμβος
🚣🏻	ανοιχτόχρωμος τόνος δέρματος, βάρκα, κωπηλάτης, κωπηλάτης: ανοιχτόχρωμος τόνος δέρματος, λέμβος
🚣🏼	βάρκα, κωπηλάτης, κωπηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, λέμβος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🚣🏽	βάρκα, κωπηλάτης, κωπηλάτης: μεσαίος τόνος δέρματος, λέμβος, μεσαίος τόνος δέρματος
🚣🏾	βάρκα, κωπηλάτης, κωπηλάτης: μεσαίος-σκούρος τόνος δέρματος, λέμβος, μεσαίος-σκούρος τόνος δέρματος
🚣🏿	βάρκα, κωπηλάτης, κωπηλάτης: σκούρος τόνος δέρματος, λέμβος, σκούρος τόνος δέρματος
🚣‍♂	άντρας, άντρας κωπηλάτης, βάρκα, κωπηλασία
🚣🏻‍♂	άντρας, άντρας κωπηλάτης, άντρας κωπηλάτης: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, βάρκα, κωπηλασία
🚣🏼‍♂	άντρας, άντρας κωπηλάτης, άντρας κωπηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, βάρκα, κωπηλασία, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🚣🏽‍♂	άντρας, άντρας κωπηλάτης, άντρας κωπηλάτης: μεσαίος τόνος δέρματος, βάρκα, κωπηλασία, μεσαίος τόνος δέρματος
🚣🏾‍♂	άντρας, άντρας κωπηλάτης, άντρας κωπηλάτης: μεσαίος-σκούρος τόνος δέρματος, βάρκα, κωπηλασία, μεσαίος-σκούρος τόνος δέρματος
🚣🏿‍♂	άντρας, άντρας κωπηλάτης, άντρας κωπηλάτης: σκούρος τόνος δέρματος, βάρκα, κωπηλασία, σκούρος τόνος δέρματος
🚣‍♀	βάρκα, γυναίκα, γυναίκα κωπηλάτης, κωπηλασία
🚣🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, βάρκα, γυναίκα, γυναίκα κωπηλάτης, γυναίκα κωπηλάτης: ανοιχτόχρωμος τόνος δέρματος, κωπηλασία
🚣🏼‍♀	βάρκα, γυναίκα, γυναίκα κωπηλάτης, γυναίκα κωπηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κωπηλασία, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🚣🏽‍♀	βάρκα, γυναίκα, γυναίκα κωπηλάτης, γυναίκα κωπηλάτης: μεσαίος τόνος δέρματος, κωπηλασία, μεσαίος τόνος δέρματος
🚣🏾‍♀	βάρκα, γυναίκα, γυναίκα κωπηλάτης, γυναίκα κωπηλάτης: μεσαίος-σκούρος τόνος δέρματος, κωπηλασία, μεσαίος-σκούρος τόνος δέρματος
🚣🏿‍♀	βάρκα, γυναίκα, γυναίκα κωπηλάτης, γυναίκα κωπηλάτης: σκούρος τόνος δέρματος, κωπηλασία, σκούρος τόνος δέρματος
🏊️	κολυμβητής, κολύμπι
🏊🏻	ανοιχτόχρωμος τόνος δέρματος, κολυμβητής, κολυμβητής: ανοιχτόχρωμος τόνος δέρματος, κολύμπι
🏊🏼	κολυμβητής, κολυμβητής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κολύμπι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏊🏽	κολυμβητής, κολυμβητής: μεσαίος τόνος δέρματος, κολύμπι, μεσαίος τόνος δέρματος
🏊🏾	κολυμβητής, κολυμβητής: μεσαίος-σκούρος τόνος δέρματος, κολύμπι, μεσαίος-σκούρος τόνος δέρματος
🏊🏿	κολυμβητής, κολυμβητής: σκούρος τόνος δέρματος, κολύμπι, σκούρος τόνος δέρματος
🏊‍♂	άντρας, άντρας κολυμβητής, κολύμβηση
🏊🏻‍♂	άντρας, άντρας κολυμβητής, άντρας κολυμβητής: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, κολύμβηση
🏊🏼‍♂	άντρας, άντρας κολυμβητής, άντρας κολυμβητής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κολύμβηση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏊🏽‍♂	άντρας, άντρας κολυμβητής, άντρας κολυμβητής: μεσαίος τόνος δέρματος, κολύμβηση, μεσαίος τόνος δέρματος
🏊🏾‍♂	άντρας, άντρας κολυμβητής, άντρας κολυμβητής: μεσαίος-σκούρος τόνος δέρματος, κολύμβηση, μεσαίος-σκούρος τόνος δέρματος
🏊🏿‍♂	άντρας, άντρας κολυμβητής, άντρας κολυμβητής: σκούρος τόνος δέρματος, κολύμβηση, σκούρος τόνος δέρματος
🏊‍♀	γυναίκα, κολυμβήτρια, κολύμβηση
🏊🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, κολυμβήτρια, κολυμβήτρια: ανοιχτόχρωμος τόνος δέρματος, κολύμβηση
🏊🏼‍♀	γυναίκα, κολυμβήτρια, κολυμβήτρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κολύμβηση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏊🏽‍♀	γυναίκα, κολυμβήτρια, κολυμβήτρια: μεσαίος τόνος δέρματος, κολύμβηση, μεσαίος τόνος δέρματος
🏊🏾‍♀	γυναίκα, κολυμβήτρια, κολυμβήτρια: μεσαίος-σκούρος τόνος δέρματος, κολύμβηση, μεσαίος-σκούρος τόνος δέρματος
🏊🏿‍♀	γυναίκα, κολυμβήτρια, κολυμβήτρια: σκούρος τόνος δέρματος, κολύμβηση, σκούρος τόνος δέρματος
⛹️	άτομο παίζει μπάσκετ, μπάλα
⛹🏻	άτομο παίζει μπάσκετ, άτομο παίζει μπάσκετ: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, μπάλα
⛹🏼	άτομο παίζει μπάσκετ, άτομο παίζει μπάσκετ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπάλα
⛹🏽	άτομο παίζει μπάσκετ, άτομο παίζει μπάσκετ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μπάλα
⛹🏾	άτομο παίζει μπάσκετ, άτομο παίζει μπάσκετ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μπάλα
⛹🏿	άτομο παίζει μπάσκετ, άτομο παίζει μπάσκετ: σκούρος τόνος δέρματος, μπάλα, σκούρος τόνος δέρματος
⛹‍♂	άντρας, άντρας παίζει μπάσκετ, μπάλα, μπάσκετ
⛹🏻‍♂	άντρας, άντρας παίζει μπάσκετ, άντρας παίζει μπάσκετ: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏼‍♂	άντρας, άντρας παίζει μπάσκετ, άντρας παίζει μπάσκετ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏽‍♂	άντρας, άντρας παίζει μπάσκετ, άντρας παίζει μπάσκετ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏾‍♂	άντρας, άντρας παίζει μπάσκετ, άντρας παίζει μπάσκετ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏿‍♂	άντρας, άντρας παίζει μπάσκετ, άντρας παίζει μπάσκετ: σκούρος τόνος δέρματος, μπάλα, μπάσκετ, σκούρος τόνος δέρματος
⛹‍♀	γυναίκα, γυναίκα παίζει μπάσκετ, μπάλα, μπάσκετ
⛹🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα παίζει μπάσκετ, γυναίκα παίζει μπάσκετ: ανοιχτόχρωμος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏼‍♀	γυναίκα, γυναίκα παίζει μπάσκετ, γυναίκα παίζει μπάσκετ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏽‍♀	γυναίκα, γυναίκα παίζει μπάσκετ, γυναίκα παίζει μπάσκετ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏾‍♀	γυναίκα, γυναίκα παίζει μπάσκετ, γυναίκα παίζει μπάσκετ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μπάλα, μπάσκετ
⛹🏿‍♀	γυναίκα, γυναίκα παίζει μπάσκετ, γυναίκα παίζει μπάσκετ: σκούρος τόνος δέρματος, μπάλα, μπάσκετ, σκούρος τόνος δέρματος
🏋️	αρσιβαρίστας, βάρος
🏋🏻	ανοιχτόχρωμος τόνος δέρματος, αρσιβαρίστας, αρσιβαρίστας: ανοιχτόχρωμος τόνος δέρματος, βάρος
🏋🏼	αρσιβαρίστας, αρσιβαρίστας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, βάρος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏋🏽	αρσιβαρίστας, αρσιβαρίστας: μεσαίος τόνος δέρματος, βάρος, μεσαίος τόνος δέρματος
🏋🏾	αρσιβαρίστας, αρσιβαρίστας: μεσαίος-σκούρος τόνος δέρματος, βάρος, μεσαίος-σκούρος τόνος δέρματος
🏋🏿	αρσιβαρίστας, αρσιβαρίστας: σκούρος τόνος δέρματος, βάρος, σκούρος τόνος δέρματος
🏋‍♂	άντρας, άντρας αρσιβαρίστας, άρση, βάρη
🏋🏻‍♂	άντρας, άντρας αρσιβαρίστας, άντρας αρσιβαρίστας: ανοιχτόχρωμος τόνος δέρματος, άρση, ανοιχτόχρωμος τόνος δέρματος, βάρη
🏋🏼‍♂	άντρας, άντρας αρσιβαρίστας, άντρας αρσιβαρίστας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άρση, βάρη, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏋🏽‍♂	άντρας, άντρας αρσιβαρίστας, άντρας αρσιβαρίστας: μεσαίος τόνος δέρματος, άρση, βάρη, μεσαίος τόνος δέρματος
🏋🏾‍♂	άντρας, άντρας αρσιβαρίστας, άντρας αρσιβαρίστας: μεσαίος-σκούρος τόνος δέρματος, άρση, βάρη, μεσαίος-σκούρος τόνος δέρματος
🏋🏿‍♂	άντρας, άντρας αρσιβαρίστας, άντρας αρσιβαρίστας: σκούρος τόνος δέρματος, άρση, βάρη, σκούρος τόνος δέρματος
🏋‍♀	άρση, αρσιβαρίστρια, βάρη, γυναίκα
🏋🏻‍♀	άρση, ανοιχτόχρωμος τόνος δέρματος, αρσιβαρίστρια, αρσιβαρίστρια: ανοιχτόχρωμος τόνος δέρματος, βάρη, γυναίκα
🏋🏼‍♀	άρση, αρσιβαρίστρια, αρσιβαρίστρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, βάρη, γυναίκα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🏋🏽‍♀	άρση, αρσιβαρίστρια, αρσιβαρίστρια: μεσαίος τόνος δέρματος, βάρη, γυναίκα, μεσαίος τόνος δέρματος
🏋🏾‍♀	άρση, αρσιβαρίστρια, αρσιβαρίστρια: μεσαίος-σκούρος τόνος δέρματος, βάρη, γυναίκα, μεσαίος-σκούρος τόνος δέρματος
🏋🏿‍♀	άρση, αρσιβαρίστρια, αρσιβαρίστρια: σκούρος τόνος δέρματος, βάρη, γυναίκα, σκούρος τόνος δέρματος
🚴	ποδήλατο, ποδηλάτης
🚴🏻	ανοιχτόχρωμος τόνος δέρματος, ποδήλατο, ποδηλάτης, ποδηλάτης: ανοιχτόχρωμος τόνος δέρματος
🚴🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδήλατο, ποδηλάτης, ποδηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🚴🏽	μεσαίος τόνος δέρματος, ποδήλατο, ποδηλάτης, ποδηλάτης: μεσαίος τόνος δέρματος
🚴🏾	μεσαίος-σκούρος τόνος δέρματος, ποδήλατο, ποδηλάτης, ποδηλάτης: μεσαίος-σκούρος τόνος δέρματος
🚴🏿	ποδήλατο, ποδηλάτης, ποδηλάτης: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🚴‍♂	άντρας, άντρας ποδηλάτης, ποδηλασία
🚴🏻‍♂	άντρας, άντρας ποδηλάτης, άντρας ποδηλάτης: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚴🏼‍♂	άντρας, άντρας ποδηλάτης, άντρας ποδηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚴🏽‍♂	άντρας, άντρας ποδηλάτης, άντρας ποδηλάτης: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ποδηλασία
🚴🏾‍♂	άντρας, άντρας ποδηλάτης, άντρας ποδηλάτης: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ποδηλασία
🚴🏿‍♂	άντρας, άντρας ποδηλάτης, άντρας ποδηλάτης: σκούρος τόνος δέρματος, ποδηλασία, σκούρος τόνος δέρματος
🚴‍♀	γυναίκα, ποδηλάτισσα, ποδηλασία
