😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
💓	καρδιά, καρδιά που χτυπά, καρδιοχτύπι, πάλλεται, χτυπά
💞	καρδιά, καρδιές που γυρίζουν, περιστρεφόμενη
💕	αγάπη, δύο καρδιές, καρδιά
💟	καρδιά, καρδιά σε πλαίσιο
❣️	θαυμαστικό, καρδιά, καρδιά θαυμαστικό, σημείο, στίξη
💔	καρδιά, ραγισμένη καρδιά, σπάω, σπασμένος
❤️	καρδιά, κόκκινη καρδιά
🧡	πορτοκαλί καρδιά, ποστοκάλι
💛	κίτρινη, κίτρινη καρδιά, καρδιά
💚	καρδιά, πράσινη, πράσινη καρδιά
💙	καρδιά, μπλε, μπλε καρδιά
💜	μοβ, μοβ καρδιά
🤎	καρδιά, καφέ, καφέ καρδιά
🖤	κακός, καρδιά, μαγεμένος, μαύρη καρδιά, μαύρο
🤍	καρδιά, λευκή καρδιά, λευκό
💯	100, βαθμολογία, εκατό, εκατό πόντοι, πλήρες
💢	θυμωμένος, κόμικ, οργισμένος, σύμβολο θυμού
💥	κόμικ, σύγκρουση
💫	αστέρι, αστεράκια, ζαλάδα, κόμικ
💦	ιδρώτας, κόμικ, πιτσιλιές, σταγόνες ιδρώτα
💨	κόμικ, ορμή, τρέξιμο
🕳️	μαύρη, τρύπα
💣️	βόμβα, κόμικ
💬	διάλογος, κόμικ, μπαλόνι, ομιλία, συννεφάκι, συννεφάκι ομιλίας
👁‍🗨	μάτι, μάτι σε συννεφάκι ομιλίας, συννεφάκι, συνομιλία
🗨️	αριστερό συννεφάκι ομιλίας, διάλογος, συνομιλία
🗯️	δεξί συννεφάκι θυμού, θυμωμένος, θυμός, μπαλόνι, συννεφάκι
💭	κόμικ, μπαλόνι, σκέψη, συννεφάκι, συννεφάκι σκέψης
💤	ζζζ, κόμικ, ύπνος
👋	νεύμα, σώμα, χέρι, χέρι που χαιρετά, χαιρετώ
👋🏻	ανοιχτόχρωμος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: ανοιχτόχρωμος τόνος δέρματος, χαιρετώ
👋🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χαιρετώ
👋🏽	μεσαίος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος τόνος δέρματος, χαιρετώ
👋🏾	μεσαίος-σκούρος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος-σκούρος τόνος δέρματος, χαιρετώ
👋🏿	νεύμα, σκούρος τόνος δέρματος, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: σκούρος τόνος δέρματος, χαιρετώ
🤚	ανάποδη χεριού, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα
🤚🏻	ανάποδη χεριού, ανοιχτόχρωμος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: ανοιχτόχρωμος τόνος δέρματος
🤚🏼	ανάποδη χεριού, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤚🏽	ανάποδη χεριού, μεσαίος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: μεσαίος τόνος δέρματος
🤚🏾	ανάποδη χεριού, μεσαίος-σκούρος τόνος δέρματος, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: μεσαίος-σκούρος τόνος δέρματος
🤚🏿	ανάποδη χεριού, σηκωμένη ανάποδη χεριού, σηκωμένο, σηκωμένο χέρι ανάποδα, σηκωμένο χέρι ανάποδα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🖐️	ανοιχτά δάχτυλα, δάχτυλο, μούντζα, φάσκελο, χέρι
🖐🏻	ανοιχτά δάχτυλα, ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, μούντζα, μούντζα: ανοιχτόχρωμος τόνος δέρματος, φάσκελο, χέρι
🖐🏼	ανοιχτά δάχτυλα, δάχτυλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούντζα, μούντζα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, φάσκελο, χέρι
🖐🏽	ανοιχτά δάχτυλα, δάχτυλο, μεσαίος τόνος δέρματος, μούντζα, μούντζα: μεσαίος τόνος δέρματος, φάσκελο, χέρι
🖐🏾	ανοιχτά δάχτυλα, δάχτυλο, μεσαίος-σκούρος τόνος δέρματος, μούντζα, μούντζα: μεσαίος-σκούρος τόνος δέρματος, φάσκελο, χέρι
🖐🏿	ανοιχτά δάχτυλα, δάχτυλο, μούντζα, μούντζα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, φάσκελο, χέρι
✋	σηκωμένο χέρι, σώμα, χέρι
✋🏻	ανοιχτόχρωμος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✋🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✋🏽	μεσαίος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος τόνος δέρματος, σώμα, χέρι
✋🏾	μεσαίος-σκούρος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
✋🏿	σηκωμένο χέρι, σηκωμένο χέρι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
🖖	vulcan, δάχτυλο, σποκ, σώμα, χέρι, χαιρετισμός σποκ
🖖🏻	vulcan, ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: ανοιχτόχρωμος τόνος δέρματος
🖖🏼	vulcan, δάχτυλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🖖🏽	vulcan, δάχτυλο, μεσαίος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος τόνος δέρματος
🖖🏾	vulcan, δάχτυλο, μεσαίος-σκούρος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος-σκούρος τόνος δέρματος
🖖🏿	vulcan, δάχτυλο, σκούρος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: σκούρος τόνος δέρματος
👌	OK, σώμα, χέρι, χειρονομία οκ
👌🏻	OK, ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: ανοιχτόχρωμος τόνος δέρματος
👌🏼	OK, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👌🏽	OK, μεσαίος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος τόνος δέρματος
👌🏾	OK, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος-σκούρος τόνος δέρματος
👌🏿	OK, σκούρος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: σκούρος τόνος δέρματος
🤌	ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, κίνηση χεριών, κλειστά, σαρκαστικό
🤌🏻	ανάκριση, ανοιχτόχρωμος τόνος δέρματος, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: ανοιχτόχρωμος τόνος δέρματος, κίνηση χεριών, κλειστά, σαρκαστικό
🤌🏼	ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κίνηση χεριών, κλειστά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σαρκαστικό
🤌🏽	ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: μεσαίος τόνος δέρματος, κίνηση χεριών, κλειστά, μεσαίος τόνος δέρματος, σαρκαστικό
🤌🏾	ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: μεσαίος-σκούρος τόνος δέρματος, κίνηση χεριών, κλειστά, μεσαίος-σκούρος τόνος δέρματος, σαρκαστικό
🤌🏿	ανάκριση, δάχτυλα, δάχτυλα που κλείνουν, δάχτυλα που κλείνουν: σκούρος τόνος δέρματος, κίνηση χεριών, κλειστά, σαρκαστικό, σκούρος τόνος δέρματος
🤏	μικρή ποσότητα, χέρι που τσιμπάει
🤏🏻	ανοιχτόχρωμος τόνος δέρματος, μικρή ποσότητα, χέρι που τσιμπάει, χέρι που τσιμπάει: ανοιχτόχρωμος τόνος δέρματος
🤏🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μικρή ποσότητα, χέρι που τσιμπάει, χέρι που τσιμπάει: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤏🏽	μεσαίος τόνος δέρματος, μικρή ποσότητα, χέρι που τσιμπάει, χέρι που τσιμπάει: μεσαίος τόνος δέρματος
🤏🏾	μεσαίος-σκούρος τόνος δέρματος, μικρή ποσότητα, χέρι που τσιμπάει, χέρι που τσιμπάει: μεσαίος-σκούρος τόνος δέρματος
🤏🏿	μικρή ποσότητα, σκούρος τόνος δέρματος, χέρι που τσιμπάει, χέρι που τσιμπάει: σκούρος τόνος δέρματος
✌️	v, νίκη, σήμα της νίκης, σώμα, χέρι
✌🏻	v, ανοιχτόχρωμος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✌🏼	v, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✌🏽	v, μεσαίος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος τόνος δέρματος, σώμα, χέρι
✌🏾	v, μεσαίος-σκούρος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
✌🏿	v, νίκη, σήμα της νίκης, σήμα της νίκης: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
