😀	bahagia, gembira, muka, senang, wajah, wajah gembira
🤏	sejumlah kecil, tangan menjepit
🤏🏻	sejumlah kecil, tangan menjepit, tangan menjepit: warna kulit cerah, warna kulit cerah
🤏🏼	sejumlah kecil, tangan menjepit, tangan menjepit: warna kulit cerah-sedang, warna kulit cerah-sedang
🤏🏽	sejumlah kecil, tangan menjepit, tangan menjepit: warna kulit sedang, warna kulit sedang
🤏🏾	sejumlah kecil, tangan menjepit, tangan menjepit: warna kulit gelap-sedang, warna kulit gelap-sedang
🤏🏿	sejumlah kecil, tangan menjepit, tangan menjepit: warna kulit gelap, warna kulit gelap
✌️	badan, isyarat kemenangan, jari, menang, tangan, tubuh
✌🏻	badan, isyarat kemenangan, isyarat kemenangan: warna kulit cerah, jari, menang, tangan, tubuh, warna kulit cerah
✌🏼	badan, isyarat kemenangan, isyarat kemenangan: warna kulit cerah-sedang, jari, menang, tangan, tubuh, warna kulit cerah-sedang
✌🏽	badan, isyarat kemenangan, isyarat kemenangan: warna kulit sedang, jari, menang, tangan, tubuh, warna kulit sedang
✌🏾	badan, isyarat kemenangan, isyarat kemenangan: warna kulit gelap-sedang, jari, menang, tangan, tubuh, warna kulit gelap-sedang
✌🏿	badan, isyarat kemenangan, isyarat kemenangan: warna kulit gelap, jari, menang, tangan, tubuh, warna kulit gelap
🤞	beruntung, jari, jari menyilang, semoga beruntung, semoga hoki, silang jari
🤞🏻	beruntung, jari, jari menyilang, jari menyilang: warna kulit cerah, semoga beruntung, semoga hoki, silang jari, warna kulit cerah
🤞🏼	beruntung, jari, jari menyilang, jari menyilang: warna kulit cerah-sedang, semoga beruntung, semoga hoki, silang jari, warna kulit cerah-sedang
🤞🏽	beruntung, jari, jari menyilang, jari menyilang: warna kulit sedang, semoga beruntung, semoga hoki, silang jari, warna kulit sedang
🤞🏾	beruntung, jari, jari menyilang, jari menyilang: warna kulit gelap-sedang, semoga beruntung, semoga hoki, silang jari, warna kulit gelap-sedang
🤞🏿	beruntung, jari, jari menyilang, jari menyilang: warna kulit gelap, semoga beruntung, semoga hoki, silang jari, warna kulit gelap
🤟	ILU, ILY, gerakan sayang kamu, tangan
🤟🏻	ILU, ILY, gerakan sayang kamu, gerakan sayang kamu: warna kulit cerah, tangan, warna kulit cerah
🤟🏼	ILU, ILY, gerakan sayang kamu, gerakan sayang kamu: warna kulit cerah-sedang, tangan, warna kulit cerah-sedang
🤟🏽	ILU, ILY, gerakan sayang kamu, gerakan sayang kamu: warna kulit sedang, tangan, warna kulit sedang
🤟🏾	ILU, ILY, gerakan sayang kamu, gerakan sayang kamu: warna kulit gelap-sedang, tangan, warna kulit gelap-sedang
🤟🏿	ILU, ILY, gerakan sayang kamu, gerakan sayang kamu: warna kulit gelap, tangan, warna kulit gelap
🤘	badan, jari, lambang tanduk, tanduk, tangan, tubuh
🤘🏻	badan, jari, lambang tanduk, lambang tanduk: warna kulit cerah, tanduk, tangan, tubuh, warna kulit cerah
🤘🏼	badan, jari, lambang tanduk, lambang tanduk: warna kulit cerah-sedang, tanduk, tangan, tubuh, warna kulit cerah-sedang
🤘🏽	badan, jari, lambang tanduk, lambang tanduk: warna kulit sedang, tanduk, tangan, tubuh, warna kulit sedang
🤘🏾	badan, jari, lambang tanduk, lambang tanduk: warna kulit gelap-sedang, tanduk, tangan, tubuh, warna kulit gelap-sedang
🤘🏿	badan, jari, lambang tanduk, lambang tanduk: warna kulit gelap, tanduk, tangan, tubuh, warna kulit gelap
🤙	panggil saya, telepon, telepon aku, telepon saya
🤙🏻	panggil saya, panggil saya: warna kulit cerah, telepon, telepon aku, telepon saya, warna kulit cerah
🤙🏼	panggil saya, panggil saya: warna kulit cerah-sedang, telepon, telepon aku, telepon saya, warna kulit cerah-sedang
🤙🏽	panggil saya, panggil saya: warna kulit sedang, telepon, telepon aku, telepon saya, warna kulit sedang
🤙🏾	panggil saya, panggil saya: warna kulit gelap-sedang, telepon, telepon aku, telepon saya, warna kulit gelap-sedang
🤙🏿	panggil saya, panggil saya: warna kulit gelap, telepon, telepon aku, telepon saya, warna kulit gelap
👈️	badan, jari, kiri, menunjuk ke arah kiri, tangan, telunjuk, tubuh, tunjuk
👈🏻	badan, jari, kiri, menunjuk ke arah kiri, menunjuk ke arah kiri: warna kulit cerah, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah
👈🏼	badan, jari, kiri, menunjuk ke arah kiri, menunjuk ke arah kiri: warna kulit cerah-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah-sedang
👈🏽	badan, jari, kiri, menunjuk ke arah kiri, menunjuk ke arah kiri: warna kulit sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit sedang
👈🏾	badan, jari, kiri, menunjuk ke arah kiri, menunjuk ke arah kiri: warna kulit gelap-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap-sedang
👈🏿	badan, jari, kiri, menunjuk ke arah kiri, menunjuk ke arah kiri: warna kulit gelap, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap
👉️	badan, jari, kanan, menunjuk ke arah kanan, tangan, telunjuk, tubuh, tunjuk
👉🏻	badan, jari, kanan, menunjuk ke arah kanan, menunjuk ke arah kanan: warna kulit cerah, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah
👉🏼	badan, jari, kanan, menunjuk ke arah kanan, menunjuk ke arah kanan: warna kulit cerah-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah-sedang
👉🏽	badan, jari, kanan, menunjuk ke arah kanan, menunjuk ke arah kanan: warna kulit sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit sedang
👉🏾	badan, jari, kanan, menunjuk ke arah kanan, menunjuk ke arah kanan: warna kulit gelap-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap-sedang
👉🏿	badan, jari, kanan, menunjuk ke arah kanan, menunjuk ke arah kanan: warna kulit gelap, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap
👆️	atas, badan, jari, menunjuk ke atas (dibalik), tangan, telunjuk, tubuh, tunjuk
👆🏻	atas, badan, jari, menunjuk ke atas (dibalik), menunjuk ke atas (dibalik): warna kulit cerah, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah
👆🏼	atas, badan, jari, menunjuk ke atas (dibalik), menunjuk ke atas (dibalik): warna kulit cerah-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah-sedang
👆🏽	atas, badan, jari, menunjuk ke atas (dibalik), menunjuk ke atas (dibalik): warna kulit sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit sedang
👆🏾	atas, badan, jari, menunjuk ke atas (dibalik), menunjuk ke atas (dibalik): warna kulit gelap-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap-sedang
👆🏿	atas, badan, jari, menunjuk ke atas (dibalik), menunjuk ke atas (dibalik): warna kulit gelap, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap
🖕	jari, jari tengah, tangan
