😀	gezicht, grijns, grijnzend gezicht
💇🏿	donkere huidskleur, kapper, kapsel, persoon die wordt geknipt, persoon die wordt geknipt: donkere huidskleur, salon, schoonheid
💇‍♂	kapsel, man, man die wordt geknipt
💇🏻‍♂	kapsel, lichte huidskleur, man, man die wordt geknipt, man die wordt geknipt: lichte huidskleur
💇🏼‍♂	kapsel, lichtgetinte huidskleur, man, man die wordt geknipt, man die wordt geknipt: lichtgetinte huidskleur
💇🏽‍♂	getinte huidskleur, kapsel, man, man die wordt geknipt, man die wordt geknipt: getinte huidskleur
💇🏾‍♂	donkergetinte huidskleur, kapsel, man, man die wordt geknipt, man die wordt geknipt: donkergetinte huidskleur
💇🏿‍♂	donkere huidskleur, kapsel, man, man die wordt geknipt, man die wordt geknipt: donkere huidskleur
💇‍♀	kapsel, vrouw, vrouw die wordt geknipt
💇🏻‍♀	kapsel, lichte huidskleur, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: lichte huidskleur
💇🏼‍♀	kapsel, lichtgetinte huidskleur, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: lichtgetinte huidskleur
💇🏽‍♀	getinte huidskleur, kapsel, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: getinte huidskleur
💇🏾‍♀	donkergetinte huidskleur, kapsel, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: donkergetinte huidskleur
💇🏿‍♀	donkere huidskleur, kapsel, vrouw, vrouw die wordt geknipt, vrouw die wordt geknipt: donkere huidskleur
🚶	lopen, voetganger, wandelaar, wandelen
🚶🏻	lichte huidskleur, lopen, voetganger, voetganger: lichte huidskleur, wandelaar, wandelen
🚶🏼	lichtgetinte huidskleur, lopen, voetganger, voetganger: lichtgetinte huidskleur, wandelaar, wandelen
🚶🏽	getinte huidskleur, lopen, voetganger, voetganger: getinte huidskleur, wandelaar, wandelen
🚶🏾	donkergetinte huidskleur, lopen, voetganger, voetganger: donkergetinte huidskleur, wandelaar, wandelen
🚶🏿	donkere huidskleur, lopen, voetganger, voetganger: donkere huidskleur, wandelaar, wandelen
🚶‍♂	lopen, man, wandelen, wandelende man
🚶🏻‍♂	lichte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: lichte huidskleur
🚶🏼‍♂	lichtgetinte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: lichtgetinte huidskleur
🚶🏽‍♂	getinte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: getinte huidskleur
🚶🏾‍♂	donkergetinte huidskleur, lopen, man, wandelen, wandelende man, wandelende man: donkergetinte huidskleur
🚶🏿‍♂	donkere huidskleur, lopen, man, wandelen, wandelende man, wandelende man: donkere huidskleur
🚶‍♀	lopen, vrouw, wandelen, wandelende vrouw
🚶🏻‍♀	lichte huidskleur, lopen, vrouw, wandelen, wandelende vrouw, wandelende vrouw: lichte huidskleur
🚶🏼‍♀	lichtgetinte huidskleur, lopen, vrouw, wandelen, wandelende vrouw, wandelende vrouw: lichtgetinte huidskleur
🚶🏽‍♀	getinte huidskleur, lopen, vrouw, wandelen, wandelende vrouw, wandelende vrouw: getinte huidskleur
🚶🏾‍♀	donkergetinte huidskleur, lopen, vrouw, wandelen, wandelende vrouw, wandelende vrouw: donkergetinte huidskleur
🚶🏿‍♀	donkere huidskleur, lopen, vrouw, wandelen, wandelende vrouw, wandelende vrouw: donkere huidskleur
🧍	sta, staan, staande persoon
🧍🏻	lichte huidskleur, sta, staan, staande persoon, staande persoon: lichte huidskleur
🧍🏼	lichtgetinte huidskleur, sta, staan, staande persoon, staande persoon: lichtgetinte huidskleur
🧍🏽	getinte huidskleur, sta, staan, staande persoon, staande persoon: getinte huidskleur
🧍🏾	donkergetinte huidskleur, sta, staan, staande persoon, staande persoon: donkergetinte huidskleur
🧍🏿	donkere huidskleur, sta, staan, staande persoon, staande persoon: donkere huidskleur
🧍‍♂	man, staand, staande man
🧍🏻‍♂	lichte huidskleur, man, staand, staande man, staande man: lichte huidskleur
🧍🏼‍♂	lichtgetinte huidskleur, man, staand, staande man, staande man: lichtgetinte huidskleur
🧍🏽‍♂	getinte huidskleur, man, staand, staande man, staande man: getinte huidskleur
🧍🏾‍♂	donkergetinte huidskleur, man, staand, staande man, staande man: donkergetinte huidskleur
🧍🏿‍♂	donkere huidskleur, man, staand, staande man, staande man: donkere huidskleur
🧍‍♀	staand, staande vrouw, vrouw
🧍🏻‍♀	lichte huidskleur, staand, staande vrouw, staande vrouw: lichte huidskleur, vrouw
🧍🏼‍♀	lichtgetinte huidskleur, staand, staande vrouw, staande vrouw: lichtgetinte huidskleur, vrouw
🧍🏽‍♀	getinte huidskleur, staand, staande vrouw, staande vrouw: getinte huidskleur, vrouw
🧍🏾‍♀	donkergetinte huidskleur, staand, staande vrouw, staande vrouw: donkergetinte huidskleur, vrouw
🧍🏿‍♀	donkere huidskleur, staand, staande vrouw, staande vrouw: donkere huidskleur, vrouw
🧎	kniel, knielen, knielende persoon
🧎🏻	kniel, knielen, knielende persoon, knielende persoon: lichte huidskleur, lichte huidskleur
🧎🏼	kniel, knielen, knielende persoon, knielende persoon: lichtgetinte huidskleur, lichtgetinte huidskleur
🧎🏽	getinte huidskleur, kniel, knielen, knielende persoon, knielende persoon: getinte huidskleur
🧎🏾	donkergetinte huidskleur, kniel, knielen, knielende persoon, knielende persoon: donkergetinte huidskleur
🧎🏿	donkere huidskleur, kniel, knielen, knielende persoon, knielende persoon: donkere huidskleur
🧎‍♂	knielend, knielende man, man
🧎🏻‍♂	knielend, knielende man, knielende man: lichte huidskleur, lichte huidskleur, man
🧎🏼‍♂	knielend, knielende man, knielende man: lichtgetinte huidskleur, lichtgetinte huidskleur, man
🧎🏽‍♂	getinte huidskleur, knielend, knielende man, knielende man: getinte huidskleur, man
🧎🏾‍♂	donkergetinte huidskleur, knielend, knielende man, knielende man: donkergetinte huidskleur, man
🧎🏿‍♂	donkere huidskleur, knielend, knielende man, knielende man: donkere huidskleur, man
🧎‍♀	knielend, knielende vrouw, vrouw
🧎🏻‍♀	knielend, knielende vrouw, knielende vrouw: lichte huidskleur, lichte huidskleur, vrouw
🧎🏼‍♀	knielend, knielende vrouw, knielende vrouw: lichtgetinte huidskleur, lichtgetinte huidskleur, vrouw
🧎🏽‍♀	getinte huidskleur, knielend, knielende vrouw, knielende vrouw: getinte huidskleur, vrouw
🧎🏾‍♀	donkergetinte huidskleur, knielend, knielende vrouw, knielende vrouw: donkergetinte huidskleur, vrouw
🧎🏿‍♀	donkere huidskleur, knielend, knielende vrouw, knielende vrouw: donkere huidskleur, vrouw
👨‍🦯	blind, man, man met taststok, toegankelijkheid
👨🏻‍🦯	blind, lichte huidskleur, man, man met taststok, man met taststok: lichte huidskleur, toegankelijkheid
👨🏼‍🦯	blind, lichtgetinte huidskleur, man, man met taststok, man met taststok: lichtgetinte huidskleur, toegankelijkheid
👨🏽‍🦯	blind, getinte huidskleur, man, man met taststok, man met taststok: getinte huidskleur, toegankelijkheid
👨🏾‍🦯	blind, donkergetinte huidskleur, man, man met taststok, man met taststok: donkergetinte huidskleur, toegankelijkheid
👨🏿‍🦯	blind, donkere huidskleur, man, man met taststok, man met taststok: donkere huidskleur, toegankelijkheid
👩‍🦯	blind, toegankelijkheid, vrouw, vrouw met taststok
👩🏻‍🦯	blind, lichte huidskleur, toegankelijkheid, vrouw, vrouw met taststok, vrouw met taststok: lichte huidskleur
👩🏼‍🦯	blind, lichtgetinte huidskleur, toegankelijkheid, vrouw, vrouw met taststok, vrouw met taststok: lichtgetinte huidskleur
👩🏽‍🦯	blind, getinte huidskleur, toegankelijkheid, vrouw, vrouw met taststok, vrouw met taststok: getinte huidskleur
👩🏾‍🦯	blind, donkergetinte huidskleur, toegankelijkheid, vrouw, vrouw met taststok, vrouw met taststok: donkergetinte huidskleur
👩🏿‍🦯	blind, donkere huidskleur, toegankelijkheid, vrouw, vrouw met taststok, vrouw met taststok: donkere huidskleur
👨‍🦼	man, man in elektrische rolstoel, rolstoel, toegankelijkheid
👨🏻‍🦼	lichte huidskleur, man, man in elektrische rolstoel, man in elektrische rolstoel: lichte huidskleur, rolstoel, toegankelijkheid
👨🏼‍🦼	lichtgetinte huidskleur, man, man in elektrische rolstoel, man in elektrische rolstoel: lichtgetinte huidskleur, rolstoel, toegankelijkheid
👨🏽‍🦼	getinte huidskleur, man, man in elektrische rolstoel, man in elektrische rolstoel: getinte huidskleur, rolstoel, toegankelijkheid
👨🏾‍🦼	donkergetinte huidskleur, man, man in elektrische rolstoel, man in elektrische rolstoel: donkergetinte huidskleur, rolstoel, toegankelijkheid
👨🏿‍🦼	donkere huidskleur, man, man in elektrische rolstoel, man in elektrische rolstoel: donkere huidskleur, rolstoel, toegankelijkheid
👩‍🦼	rolstoel, toegankelijkheid, vrouw, vrouw in elektrische rolstoel
👩🏻‍🦼	lichte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in elektrische rolstoel, vrouw in elektrische rolstoel: lichte huidskleur
👩🏼‍🦼	lichtgetinte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in elektrische rolstoel, vrouw in elektrische rolstoel: lichtgetinte huidskleur
👩🏽‍🦼	getinte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in elektrische rolstoel, vrouw in elektrische rolstoel: getinte huidskleur
👩🏾‍🦼	donkergetinte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in elektrische rolstoel, vrouw in elektrische rolstoel: donkergetinte huidskleur
👩🏿‍🦼	donkere huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in elektrische rolstoel, vrouw in elektrische rolstoel: donkere huidskleur
👨‍🦽	man, man in rolstoel, rolstoel, toegankelijkheid
👨🏻‍🦽	lichte huidskleur, man, man in rolstoel, man in rolstoel: lichte huidskleur, rolstoel, toegankelijkheid
👨🏼‍🦽	lichtgetinte huidskleur, man, man in rolstoel, man in rolstoel: lichtgetinte huidskleur, rolstoel, toegankelijkheid
👨🏽‍🦽	getinte huidskleur, man, man in rolstoel, man in rolstoel: getinte huidskleur, rolstoel, toegankelijkheid
👨🏾‍🦽	donkergetinte huidskleur, man, man in rolstoel, man in rolstoel: donkergetinte huidskleur, rolstoel, toegankelijkheid
👨🏿‍🦽	donkere huidskleur, man, man in rolstoel, man in rolstoel: donkere huidskleur, rolstoel, toegankelijkheid
👩‍🦽	rolstoel, toegankelijkheid, vrouw, vrouw in rolstoel
👩🏻‍🦽	lichte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in rolstoel, vrouw in rolstoel: lichte huidskleur
👩🏼‍🦽	lichtgetinte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in rolstoel, vrouw in rolstoel: lichtgetinte huidskleur
👩🏽‍🦽	getinte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in rolstoel, vrouw in rolstoel: getinte huidskleur
👩🏾‍🦽	donkergetinte huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in rolstoel, vrouw in rolstoel: donkergetinte huidskleur
👩🏿‍🦽	donkere huidskleur, rolstoel, toegankelijkheid, vrouw, vrouw in rolstoel, vrouw in rolstoel: donkere huidskleur
🏃	hardlopen, hardloper, marathon, sport
🏃🏻	hardlopen, hardloper, hardloper: lichte huidskleur, lichte huidskleur, marathon, sport
🏃🏼	hardlopen, hardloper, hardloper: lichtgetinte huidskleur, lichtgetinte huidskleur, marathon, sport
🏃🏽	getinte huidskleur, hardlopen, hardloper, hardloper: getinte huidskleur, marathon, sport
🏃🏾	donkergetinte huidskleur, hardlopen, hardloper, hardloper: donkergetinte huidskleur, marathon, sport
🏃🏿	donkere huidskleur, hardlopen, hardloper, hardloper: donkere huidskleur, marathon, sport
🏃‍♂	hardlopen, man, marathon, rennen, rennende man
🏃🏻‍♂	hardlopen, lichte huidskleur, man, marathon, rennen, rennende man, rennende man: lichte huidskleur
🏃🏼‍♂	hardlopen, lichtgetinte huidskleur, man, marathon, rennen, rennende man, rennende man: lichtgetinte huidskleur
🏃🏽‍♂	getinte huidskleur, hardlopen, man, marathon, rennen, rennende man, rennende man: getinte huidskleur
🏃🏾‍♂	donkergetinte huidskleur, hardlopen, man, marathon, rennen, rennende man, rennende man: donkergetinte huidskleur
🏃🏿‍♂	donkere huidskleur, hardlopen, man, marathon, rennen, rennende man, rennende man: donkere huidskleur
🏃‍♀	hardlopen, marathon, rennen, rennende vrouw, vrouw
🏃🏻‍♀	hardlopen, lichte huidskleur, marathon, rennen, rennende vrouw, rennende vrouw: lichte huidskleur, vrouw
🏃🏼‍♀	hardlopen, lichtgetinte huidskleur, marathon, rennen, rennende vrouw, rennende vrouw: lichtgetinte huidskleur, vrouw
🏃🏽‍♀	getinte huidskleur, hardlopen, marathon, rennen, rennende vrouw, rennende vrouw: getinte huidskleur, vrouw
🏃🏾‍♀	donkergetinte huidskleur, hardlopen, marathon, rennen, rennende vrouw, rennende vrouw: donkergetinte huidskleur, vrouw
🏃🏿‍♀	donkere huidskleur, hardlopen, marathon, rennen, rennende vrouw, rennende vrouw: donkere huidskleur, vrouw
💃	dansen, dansende vrouw, vrouw
💃🏻	dansen, dansende vrouw, dansende vrouw: lichte huidskleur, lichte huidskleur, vrouw
💃🏼	dansen, dansende vrouw, dansende vrouw: lichtgetinte huidskleur, lichtgetinte huidskleur, vrouw
💃🏽	dansen, dansende vrouw, dansende vrouw: getinte huidskleur, getinte huidskleur, vrouw
💃🏾	dansen, dansende vrouw, dansende vrouw: donkergetinte huidskleur, donkergetinte huidskleur, vrouw
💃🏿	dansen, dansende vrouw, dansende vrouw: donkere huidskleur, donkere huidskleur, vrouw
🕺	dansen, dansende man, man
🕺🏻	dansen, dansende man, dansende man: lichte huidskleur, lichte huidskleur, man
🕺🏼	dansen, dansende man, dansende man: lichtgetinte huidskleur, lichtgetinte huidskleur, man
🕺🏽	dansen, dansende man, dansende man: getinte huidskleur, getinte huidskleur, man
🕺🏾	dansen, dansende man, dansende man: donkergetinte huidskleur, donkergetinte huidskleur, man
🕺🏿	dansen, dansende man, dansende man: donkere huidskleur, donkere huidskleur, man
🕴️	man, pak, zaken, zwevende man in pak
🕴🏻	lichte huidskleur, man, pak, zaken, zwevende man in pak, zwevende man in pak: lichte huidskleur
🕴🏼	lichtgetinte huidskleur, man, pak, zaken, zwevende man in pak, zwevende man in pak: lichtgetinte huidskleur
🕴🏽	getinte huidskleur, man, pak, zaken, zwevende man in pak, zwevende man in pak: getinte huidskleur
🕴🏾	donkergetinte huidskleur, man, pak, zaken, zwevende man in pak, zwevende man in pak: donkergetinte huidskleur
🕴🏿	donkere huidskleur, man, pak, zaken, zwevende man in pak, zwevende man in pak: donkere huidskleur
👯	danser, feesten, konijnenoor, mensen met konijnenoren
👯‍♂	dansen, feesten, konijnenoor, mannen, mannen met konijnenoren
👯‍♀	danser, feesten, konijnenoor, vrouwen, vrouwen met konijnenoren
🧖	persoon in ruimte vol stoom, sauna, stoomruimte
🧖🏻	lichte huidskleur, persoon in ruimte vol stoom, persoon in ruimte vol stoom: lichte huidskleur, sauna, stoomruimte
🧖🏼	lichtgetinte huidskleur, persoon in ruimte vol stoom, persoon in ruimte vol stoom: lichtgetinte huidskleur, sauna, stoomruimte
🧖🏽	getinte huidskleur, persoon in ruimte vol stoom, persoon in ruimte vol stoom: getinte huidskleur, sauna, stoomruimte
🧖🏾	donkergetinte huidskleur, persoon in ruimte vol stoom, persoon in ruimte vol stoom: donkergetinte huidskleur, sauna, stoomruimte
🧖🏿	donkere huidskleur, persoon in ruimte vol stoom, persoon in ruimte vol stoom: donkere huidskleur, sauna, stoomruimte
🧖‍♂	man in ruimte vol stoom, sauna, stoomruimte
🧖🏻‍♂	lichte huidskleur, man in ruimte vol stoom, man in ruimte vol stoom: lichte huidskleur, sauna, stoomruimte
🧖🏼‍♂	lichtgetinte huidskleur, man in ruimte vol stoom, man in ruimte vol stoom: lichtgetinte huidskleur, sauna, stoomruimte
🧖🏽‍♂	getinte huidskleur, man in ruimte vol stoom, man in ruimte vol stoom: getinte huidskleur, sauna, stoomruimte
🧖🏾‍♂	donkergetinte huidskleur, man in ruimte vol stoom, man in ruimte vol stoom: donkergetinte huidskleur, sauna, stoomruimte
🧖🏿‍♂	donkere huidskleur, man in ruimte vol stoom, man in ruimte vol stoom: donkere huidskleur, sauna, stoomruimte
🧖‍♀	sauna, stoomruimte, vrouw in ruimte vol stoom
🧖🏻‍♀	lichte huidskleur, sauna, stoomruimte, vrouw in ruimte vol stoom, vrouw in ruimte vol stoom: lichte huidskleur
🧖🏼‍♀	lichtgetinte huidskleur, sauna, stoomruimte, vrouw in ruimte vol stoom, vrouw in ruimte vol stoom: lichtgetinte huidskleur
🧖🏽‍♀	getinte huidskleur, sauna, stoomruimte, vrouw in ruimte vol stoom, vrouw in ruimte vol stoom: getinte huidskleur
🧖🏾‍♀	donkergetinte huidskleur, sauna, stoomruimte, vrouw in ruimte vol stoom, vrouw in ruimte vol stoom: donkergetinte huidskleur
🧖🏿‍♀	donkere huidskleur, sauna, stoomruimte, vrouw in ruimte vol stoom, vrouw in ruimte vol stoom: donkere huidskleur
🧗	klimmende persoon, klimmer
🧗🏻	klimmende persoon, klimmende persoon: lichte huidskleur, klimmer, lichte huidskleur
🧗🏼	klimmende persoon, klimmende persoon: lichtgetinte huidskleur, klimmer, lichtgetinte huidskleur
🧗🏽	getinte huidskleur, klimmende persoon, klimmende persoon: getinte huidskleur, klimmer
🧗🏾	donkergetinte huidskleur, klimmende persoon, klimmende persoon: donkergetinte huidskleur, klimmer
🧗🏿	donkere huidskleur, klimmende persoon, klimmende persoon: donkere huidskleur, klimmer
🧗‍♂	klimmende man, klimmer
🧗🏻‍♂	klimmende man, klimmende man: lichte huidskleur, klimmer, lichte huidskleur
🧗🏼‍♂	klimmende man, klimmende man: lichtgetinte huidskleur, klimmer, lichtgetinte huidskleur
🧗🏽‍♂	getinte huidskleur, klimmende man, klimmende man: getinte huidskleur, klimmer
🧗🏾‍♂	donkergetinte huidskleur, klimmende man, klimmende man: donkergetinte huidskleur, klimmer
🧗🏿‍♂	donkere huidskleur, klimmende man, klimmende man: donkere huidskleur, klimmer
🧗‍♀	klimmende vrouw, klimmer
🧗🏻‍♀	klimmende vrouw, klimmende vrouw: lichte huidskleur, klimmer, lichte huidskleur
🧗🏼‍♀	klimmende vrouw, klimmende vrouw: lichtgetinte huidskleur, klimmer, lichtgetinte huidskleur
🧗🏽‍♀	getinte huidskleur, klimmende vrouw, klimmende vrouw: getinte huidskleur, klimmer
🧗🏾‍♀	donkergetinte huidskleur, klimmende vrouw, klimmende vrouw: donkergetinte huidskleur, klimmer
🧗🏿‍♀	donkere huidskleur, klimmende vrouw, klimmende vrouw: donkere huidskleur, klimmer
🤺	degen, floret, persoon, sabel, schermen, schermer, schermsport, sport
🏇	jockey, jockey op renpaard, paard, racen, renpaard
🏇🏻	jockey, jockey op renpaard, jockey op renpaard: lichte huidskleur, lichte huidskleur, paard, racen, renpaard
🏇🏼	jockey, jockey op renpaard, jockey op renpaard: lichtgetinte huidskleur, lichtgetinte huidskleur, paard, racen, renpaard
🏇🏽	getinte huidskleur, jockey, jockey op renpaard, jockey op renpaard: getinte huidskleur, paard, racen, renpaard
🏇🏾	donkergetinte huidskleur, jockey, jockey op renpaard, jockey op renpaard: donkergetinte huidskleur, paard, racen, renpaard
🏇🏿	donkere huidskleur, jockey, jockey op renpaard, jockey op renpaard: donkere huidskleur, paard, racen, renpaard
⛷️	ski, skiër, sneeuw
🏂️	ski, sneeuw, snowboard, snowboarder
🏂🏻	lichte huidskleur, ski, sneeuw, snowboard, snowboarder, snowboarder: lichte huidskleur
🏂🏼	lichtgetinte huidskleur, ski, sneeuw, snowboard, snowboarder, snowboarder: lichtgetinte huidskleur
🏂🏽	getinte huidskleur, ski, sneeuw, snowboard, snowboarder, snowboarder: getinte huidskleur
🏂🏾	donkergetinte huidskleur, ski, sneeuw, snowboard, snowboarder, snowboarder: donkergetinte huidskleur
🏂🏿	donkere huidskleur, ski, sneeuw, snowboard, snowboarder, snowboarder: donkere huidskleur
🏌️	bal, golf, golfer
🏌🏻	bal, golf, golfer, golfer: lichte huidskleur, lichte huidskleur
🏌🏼	bal, golf, golfer, golfer: lichtgetinte huidskleur, lichtgetinte huidskleur
🏌🏽	bal, getinte huidskleur, golf, golfer, golfer: getinte huidskleur
🏌🏾	bal, donkergetinte huidskleur, golf, golfer, golfer: donkergetinte huidskleur
🏌🏿	bal, donkere huidskleur, golf, golfer, golfer: donkere huidskleur
🏌‍♂	golfen, golfende man, man
🏌🏻‍♂	golfen, golfende man, golfende man: lichte huidskleur, lichte huidskleur, man
🏌🏼‍♂	golfen, golfende man, golfende man: lichtgetinte huidskleur, lichtgetinte huidskleur, man
🏌🏽‍♂	getinte huidskleur, golfen, golfende man, golfende man: getinte huidskleur, man
🏌🏾‍♂	donkergetinte huidskleur, golfen, golfende man, golfende man: donkergetinte huidskleur, man
🏌🏿‍♂	donkere huidskleur, golfen, golfende man, golfende man: donkere huidskleur, man
🏌‍♀	golfen, golfende vrouw, vrouw
🏌🏻‍♀	golfen, golfende vrouw, golfende vrouw: lichte huidskleur, lichte huidskleur, vrouw
🏌🏼‍♀	golfen, golfende vrouw, golfende vrouw: lichtgetinte huidskleur, lichtgetinte huidskleur, vrouw
🏌🏽‍♀	getinte huidskleur, golfen, golfende vrouw, golfende vrouw: getinte huidskleur, vrouw
🏌🏾‍♀	donkergetinte huidskleur, golfen, golfende vrouw, golfende vrouw: donkergetinte huidskleur, vrouw
🏌🏿‍♀	donkere huidskleur, golfen, golfende vrouw, golfende vrouw: donkere huidskleur, vrouw
🏄️	surfen, surfer
🏄🏻	lichte huidskleur, surfen, surfer, surfer: lichte huidskleur
🏄🏼	lichtgetinte huidskleur, surfen, surfer, surfer: lichtgetinte huidskleur
🏄🏽	getinte huidskleur, surfen, surfer, surfer: getinte huidskleur
🏄🏾	donkergetinte huidskleur, surfen, surfer, surfer: donkergetinte huidskleur
🏄🏿	donkere huidskleur, surfen, surfer, surfer: donkere huidskleur
🏄‍♂	man, mannelijke surfer, surfen
🏄🏻‍♂	lichte huidskleur, man, mannelijke surfer, mannelijke surfer: lichte huidskleur, surfen
🏄🏼‍♂	lichtgetinte huidskleur, man, mannelijke surfer, mannelijke surfer: lichtgetinte huidskleur, surfen
🏄🏽‍♂	getinte huidskleur, man, mannelijke surfer, mannelijke surfer: getinte huidskleur, surfen
🏄🏾‍♂	donkergetinte huidskleur, man, mannelijke surfer, mannelijke surfer: donkergetinte huidskleur, surfen
🏄🏿‍♂	donkere huidskleur, man, mannelijke surfer, mannelijke surfer: donkere huidskleur, surfen
🏄‍♀	surfen, vrouw, vrouwelijke surfer
🏄🏻‍♀	lichte huidskleur, surfen, vrouw, vrouwelijke surfer, vrouwelijke surfer: lichte huidskleur
🏄🏼‍♀	lichtgetinte huidskleur, surfen, vrouw, vrouwelijke surfer, vrouwelijke surfer: lichtgetinte huidskleur
🏄🏽‍♀	getinte huidskleur, surfen, vrouw, vrouwelijke surfer, vrouwelijke surfer: getinte huidskleur
🏄🏾‍♀	donkergetinte huidskleur, surfen, vrouw, vrouwelijke surfer, vrouwelijke surfer: donkergetinte huidskleur
🏄🏿‍♀	donkere huidskleur, surfen, vrouw, vrouwelijke surfer, vrouwelijke surfer: donkere huidskleur
🚣	boot, persoon in roeiboot, roeiboot
🚣🏻	boot, lichte huidskleur, persoon in roeiboot, persoon in roeiboot: lichte huidskleur, roeiboot
🚣🏼	boot, lichtgetinte huidskleur, persoon in roeiboot, persoon in roeiboot: lichtgetinte huidskleur, roeiboot
🚣🏽	boot, getinte huidskleur, persoon in roeiboot, persoon in roeiboot: getinte huidskleur, roeiboot
🚣🏾	boot, donkergetinte huidskleur, persoon in roeiboot, persoon in roeiboot: donkergetinte huidskleur, roeiboot
🚣🏿	boot, donkere huidskleur, persoon in roeiboot, persoon in roeiboot: donkere huidskleur, roeiboot
🚣‍♂	boot, man, man in roeiboot, roeiboot
🚣🏻‍♂	boot, lichte huidskleur, man, man in roeiboot, man in roeiboot: lichte huidskleur, roeiboot
🚣🏼‍♂	boot, lichtgetinte huidskleur, man, man in roeiboot, man in roeiboot: lichtgetinte huidskleur, roeiboot
🚣🏽‍♂	boot, getinte huidskleur, man, man in roeiboot, man in roeiboot: getinte huidskleur, roeiboot
🚣🏾‍♂	boot, donkergetinte huidskleur, man, man in roeiboot, man in roeiboot: donkergetinte huidskleur, roeiboot
🚣🏿‍♂	boot, donkere huidskleur, man, man in roeiboot, man in roeiboot: donkere huidskleur, roeiboot
🚣‍♀	boot, roeiboot, vrouw, vrouw in roeiboot
🚣🏻‍♀	boot, lichte huidskleur, roeiboot, vrouw, vrouw in roeiboot, vrouw in roeiboot: lichte huidskleur
🚣🏼‍♀	boot, lichtgetinte huidskleur, roeiboot, vrouw, vrouw in roeiboot, vrouw in roeiboot: lichtgetinte huidskleur
🚣🏽‍♀	boot, getinte huidskleur, roeiboot, vrouw, vrouw in roeiboot, vrouw in roeiboot: getinte huidskleur
🚣🏾‍♀	boot, donkergetinte huidskleur, roeiboot, vrouw, vrouw in roeiboot, vrouw in roeiboot: donkergetinte huidskleur
🚣🏿‍♀	boot, donkere huidskleur, roeiboot, vrouw, vrouw in roeiboot, vrouw in roeiboot: donkere huidskleur
🏊️	zwemmen, zwemmende persoon
🏊🏻	lichte huidskleur, zwemmen, zwemmende persoon, zwemmende persoon: lichte huidskleur
🏊🏼	lichtgetinte huidskleur, zwemmen, zwemmende persoon, zwemmende persoon: lichtgetinte huidskleur
🏊🏽	getinte huidskleur, zwemmen, zwemmende persoon, zwemmende persoon: getinte huidskleur
🏊🏾	donkergetinte huidskleur, zwemmen, zwemmende persoon, zwemmende persoon: donkergetinte huidskleur
🏊🏿	donkere huidskleur, zwemmen, zwemmende persoon, zwemmende persoon: donkere huidskleur
🏊‍♂	man, zwemmen, zwemmende man
🏊🏻‍♂	lichte huidskleur, man, zwemmen, zwemmende man, zwemmende man: lichte huidskleur
🏊🏼‍♂	lichtgetinte huidskleur, man, zwemmen, zwemmende man, zwemmende man: lichtgetinte huidskleur
🏊🏽‍♂	getinte huidskleur, man, zwemmen, zwemmende man, zwemmende man: getinte huidskleur
🏊🏾‍♂	donkergetinte huidskleur, man, zwemmen, zwemmende man, zwemmende man: donkergetinte huidskleur
🏊🏿‍♂	donkere huidskleur, man, zwemmen, zwemmende man, zwemmende man: donkere huidskleur
🏊‍♀	vrouw, zwemmen, zwemmende vrouw
🏊🏻‍♀	lichte huidskleur, vrouw, zwemmen, zwemmende vrouw, zwemmende vrouw: lichte huidskleur
🏊🏼‍♀	lichtgetinte huidskleur, vrouw, zwemmen, zwemmende vrouw, zwemmende vrouw: lichtgetinte huidskleur
🏊🏽‍♀	getinte huidskleur, vrouw, zwemmen, zwemmende vrouw, zwemmende vrouw: getinte huidskleur
🏊🏾‍♀	donkergetinte huidskleur, vrouw, zwemmen, zwemmende vrouw, zwemmende vrouw: donkergetinte huidskleur
🏊🏿‍♀	donkere huidskleur, vrouw, zwemmen, zwemmende vrouw, zwemmende vrouw: donkere huidskleur
⛹️	bal, basketbalspeler
⛹🏻	bal, basketbalspeler, basketbalspeler: lichte huidskleur, lichte huidskleur
⛹🏼	bal, basketbalspeler, basketbalspeler: lichtgetinte huidskleur, lichtgetinte huidskleur
⛹🏽	bal, basketbalspeler, basketbalspeler: getinte huidskleur, getinte huidskleur
⛹🏾	bal, basketbalspeler, basketbalspeler: donkergetinte huidskleur, donkergetinte huidskleur
⛹🏿	bal, basketbalspeler, basketbalspeler: donkere huidskleur, donkere huidskleur
⛹‍♂	bal, basketballer, man
⛹🏻‍♂	bal, basketballer, basketballer: lichte huidskleur, lichte huidskleur, man
