😀	gezicht, grijns, grijnzend gezicht
👋🏾	donkergetinte huidskleur, hand, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: donkergetinte huidskleur
👋🏿	donkere huidskleur, hand, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: donkere huidskleur
🤚	achterkant van opgeheven hand, hand, handrug, opgestoken
🤚🏻	achterkant van opgeheven hand, achterkant van opgeheven hand: lichte huidskleur, hand, handrug, lichte huidskleur, opgestoken
🤚🏼	achterkant van opgeheven hand, achterkant van opgeheven hand: lichtgetinte huidskleur, hand, handrug, lichtgetinte huidskleur, opgestoken
🤚🏽	achterkant van opgeheven hand, achterkant van opgeheven hand: getinte huidskleur, getinte huidskleur, hand, handrug, opgestoken
🤚🏾	achterkant van opgeheven hand, achterkant van opgeheven hand: donkergetinte huidskleur, donkergetinte huidskleur, hand, handrug, opgestoken
🤚🏿	achterkant van opgeheven hand, achterkant van opgeheven hand: donkere huidskleur, donkere huidskleur, hand, handrug, opgestoken
🖐️	gespreid, hand, opgeheven hand met uitgestoken vingers, vinger
🖐🏻	gespreid, hand, lichte huidskleur, opgeheven hand met uitgestoken vingers, opgeheven hand met uitgestoken vingers: lichte huidskleur, vinger
🖐🏼	gespreid, hand, lichtgetinte huidskleur, opgeheven hand met uitgestoken vingers, opgeheven hand met uitgestoken vingers: lichtgetinte huidskleur, vinger
🖐🏽	gespreid, getinte huidskleur, hand, opgeheven hand met uitgestoken vingers, opgeheven hand met uitgestoken vingers: getinte huidskleur, vinger
🖐🏾	donkergetinte huidskleur, gespreid, hand, opgeheven hand met uitgestoken vingers, opgeheven hand met uitgestoken vingers: donkergetinte huidskleur, vinger
🖐🏿	donkere huidskleur, gespreid, hand, opgeheven hand met uitgestoken vingers, opgeheven hand met uitgestoken vingers: donkere huidskleur, vinger
✋	hand, opgeheven hand
✋🏻	hand, lichte huidskleur, opgeheven hand, opgeheven hand: lichte huidskleur
✋🏼	hand, lichtgetinte huidskleur, opgeheven hand, opgeheven hand: lichtgetinte huidskleur
✋🏽	getinte huidskleur, hand, opgeheven hand, opgeheven hand: getinte huidskleur
✋🏾	donkergetinte huidskleur, hand, opgeheven hand, opgeheven hand: donkergetinte huidskleur
✋🏿	donkere huidskleur, hand, opgeheven hand, opgeheven hand: donkere huidskleur
🖖	Vulcaanse groet, hand, lichaam, spock, vinger, vulcan
🖖🏻	Vulcaanse groet, Vulcaanse groet: lichte huidskleur, hand, lichaam, lichte huidskleur, spock, vinger, vulcan
🖖🏼	Vulcaanse groet, Vulcaanse groet: lichtgetinte huidskleur, hand, lichaam, lichtgetinte huidskleur, spock, vinger, vulcan
🖖🏽	Vulcaanse groet, Vulcaanse groet: getinte huidskleur, getinte huidskleur, hand, lichaam, spock, vinger, vulcan
🖖🏾	Vulcaanse groet, Vulcaanse groet: donkergetinte huidskleur, donkergetinte huidskleur, hand, lichaam, spock, vinger, vulcan
🖖🏿	Vulcaanse groet, Vulcaanse groet: donkere huidskleur, donkere huidskleur, hand, lichaam, spock, vinger, vulcan
👌	OK, OK-handgebaar, hand
👌🏻	OK, OK-handgebaar, OK-handgebaar: lichte huidskleur, hand, lichte huidskleur
👌🏼	OK, OK-handgebaar, OK-handgebaar: lichtgetinte huidskleur, hand, lichtgetinte huidskleur
👌🏽	OK, OK-handgebaar, OK-handgebaar: getinte huidskleur, getinte huidskleur, hand
👌🏾	OK, OK-handgebaar, OK-handgebaar: donkergetinte huidskleur, donkergetinte huidskleur, hand
👌🏿	OK, OK-handgebaar, OK-handgebaar: donkere huidskleur, donkere huidskleur, hand
🤏	gebaar voor kleine hoeveelheid, hand met samengeknepen vingers
