😀	lledwenu, wyneb, wyneb yn gwenu â cheg agored
🖖🏽	arlliw croen canolog, bys, corff, llaw, saliwt fulcanaidd, saliwt fulcanaidd: arlliw croen canolog, spock
🖖🏾	arlliw croen canolig-tywyll, bys, corff, llaw, saliwt fulcanaidd, saliwt fulcanaidd: arlliw croen canolig-tywyll, spock
🖖🏿	arlliw croen tywyll, bys, corff, llaw, saliwt fulcanaidd, saliwt fulcanaidd: arlliw croen tywyll, spock
👌	corff, llaw, llaw ocê, ok
👌🏻	arlliw croen golau, corff, llaw, llaw ocê, llaw ocê: arlliw croen golau, ok
👌🏼	arlliw croen canolig-golau, corff, llaw, llaw ocê, llaw ocê: arlliw croen canolig-golau, ok
👌🏽	arlliw croen canolog, corff, llaw, llaw ocê, llaw ocê: arlliw croen canolog, ok
👌🏾	arlliw croen canolig-tywyll, corff, llaw, llaw ocê, llaw ocê: arlliw croen canolig-tywyll, ok
👌🏿	arlliw croen tywyll, corff, llaw, llaw ocê, llaw ocê: arlliw croen tywyll, ok
🤏	bach iawn, bysedd yn pinshio
🤏🏻	arlliw croen golau, bach iawn, bysedd yn pinshio, bysedd yn pinshio: arlliw croen golau
🤏🏼	arlliw croen canolig-golau, bach iawn, bysedd yn pinshio, bysedd yn pinshio: arlliw croen canolig-golau
🤏🏽	arlliw croen canolog, bach iawn, bysedd yn pinshio, bysedd yn pinshio: arlliw croen canolog
🤏🏾	arlliw croen canolig-tywyll, bach iawn, bysedd yn pinshio, bysedd yn pinshio: arlliw croen canolig-tywyll
🤏🏿	arlliw croen tywyll, bach iawn, bysedd yn pinshio, bysedd yn pinshio: arlliw croen tywyll
✌️	buddugoliaeth, corff, llaw, llaw fuddugol, v
✌🏻	arlliw croen golau, buddugoliaeth, corff, llaw, llaw fuddugol, llaw fuddugol: arlliw croen golau, v
✌🏼	arlliw croen canolig-golau, buddugoliaeth, corff, llaw, llaw fuddugol, llaw fuddugol: arlliw croen canolig-golau, v
✌🏽	arlliw croen canolog, buddugoliaeth, corff, llaw, llaw fuddugol, llaw fuddugol: arlliw croen canolog, v
✌🏾	arlliw croen canolig-tywyll, buddugoliaeth, corff, llaw, llaw fuddugol, llaw fuddugol: arlliw croen canolig-tywyll, v
✌🏿	arlliw croen tywyll, buddugoliaeth, corff, llaw, llaw fuddugol, llaw fuddugol: arlliw croen tywyll, v
🤞	bys, bysedd wedi’u croesi, croesi, llaw, lwc
🤞🏻	arlliw croen golau, bys, bysedd wedi’u croesi, bysedd wedi’u croesi: arlliw croen golau, croesi, llaw, lwc
🤞🏼	arlliw croen canolig-golau, bys, bysedd wedi’u croesi, bysedd wedi’u croesi: arlliw croen canolig-golau, croesi, llaw, lwc
🤞🏽	arlliw croen canolog, bys, bysedd wedi’u croesi, bysedd wedi’u croesi: arlliw croen canolog, croesi, llaw, lwc
🤞🏾	arlliw croen canolig-tywyll, bys, bysedd wedi’u croesi, bysedd wedi’u croesi: arlliw croen canolig-tywyll, croesi, llaw, lwc
🤞🏿	arlliw croen tywyll, bys, bysedd wedi’u croesi, bysedd wedi’u croesi: arlliw croen tywyll, croesi, llaw, lwc
🤟	arwydd caru ti, caru ti, llaw
🤟🏻	arlliw croen golau, arwydd caru ti, arwydd caru ti: arlliw croen golau, caru ti, llaw
🤟🏼	arlliw croen canolig-golau, arwydd caru ti, arwydd caru ti: arlliw croen canolig-golau, caru ti, llaw
🤟🏽	arlliw croen canolog, arwydd caru ti, arwydd caru ti: arlliw croen canolog, caru ti, llaw
🤟🏾	arlliw croen canolig-tywyll, arwydd caru ti, arwydd caru ti: arlliw croen canolig-tywyll, caru ti, llaw
🤟🏿	arlliw croen tywyll, arwydd caru ti, arwydd caru ti: arlliw croen tywyll, caru ti, llaw
🤘	arwydd y cyrn, bys, corff, cyrn, llaw
🤘🏻	arlliw croen golau, arwydd y cyrn, arwydd y cyrn: arlliw croen golau, bys, corff, cyrn, llaw
🤘🏼	arlliw croen canolig-golau, arwydd y cyrn, arwydd y cyrn: arlliw croen canolig-golau, bys, corff, cyrn, llaw
