😀	lol, rindo, risada, rosto, rosto risonho
👉🏾	costas da mão, dedo, dedo apontado para direita, dedo indicador, dorso da mão com dedo indicador apontando para a direita, dorso da mão com dedo indicador apontando para a direita: pele morena escura, pele morena escura
👉🏿	costas da mão, dedo, dedo apontado para direita, dedo indicador, dorso da mão com dedo indicador apontando para a direita, dorso da mão com dedo indicador apontando para a direita: pele escura, pele escura
👆️	costas da mão, dedo, dedo apontado para cima, dedo indicador, dorso da mão com dedo indicador apontando para cima
👆🏻	costas da mão, dedo, dedo apontado para cima, dedo indicador, dorso da mão com dedo indicador apontando para cima, dorso da mão com dedo indicador apontando para cima: pele clara, pele clara
👆🏼	costas da mão, dedo, dedo apontado para cima, dedo indicador, dorso da mão com dedo indicador apontando para cima, dorso da mão com dedo indicador apontando para cima: pele morena clara, pele morena clara
👆🏽	costas da mão, dedo, dedo apontado para cima, dedo indicador, dorso da mão com dedo indicador apontando para cima, dorso da mão com dedo indicador apontando para cima: pele morena, pele morena
👆🏾	costas da mão, dedo, dedo apontado para cima, dedo indicador, dorso da mão com dedo indicador apontando para cima, dorso da mão com dedo indicador apontando para cima: pele morena escura, pele morena escura
👆🏿	costas da mão, dedo, dedo apontado para cima, dedo indicador, dorso da mão com dedo indicador apontando para cima, dorso da mão com dedo indicador apontando para cima: pele escura, pele escura
🖕	dedo, dedo do meio, gesto ofensivo, mão
🖕🏻	dedo, dedo do meio, dedo do meio: pele clara, gesto ofensivo, mão, pele clara
🖕🏼	dedo, dedo do meio, dedo do meio: pele morena clara, gesto ofensivo, mão, pele morena clara
🖕🏽	dedo, dedo do meio, dedo do meio: pele morena, gesto ofensivo, mão, pele morena
🖕🏾	dedo, dedo do meio, dedo do meio: pele morena escura, gesto ofensivo, mão, pele morena escura
🖕🏿	dedo, dedo do meio, dedo do meio: pele escura, gesto ofensivo, mão, pele escura
👇️	costas da mão, dedo, dedo apontado para baixo, dedo indicador, dorso da mão com dedo indicador apontando para baixo
👇🏻	costas da mão, dedo, dedo apontado para baixo, dedo indicador, dorso da mão com dedo indicador apontando para baixo, dorso da mão com dedo indicador apontando para baixo: pele clara, pele clara
👇🏼	costas da mão, dedo, dedo apontado para baixo, dedo indicador, dorso da mão com dedo indicador apontando para baixo, dorso da mão com dedo indicador apontando para baixo: pele morena clara, pele morena clara
👇🏽	costas da mão, dedo, dedo apontado para baixo, dedo indicador, dorso da mão com dedo indicador apontando para baixo, dorso da mão com dedo indicador apontando para baixo: pele morena, pele morena
👇🏾	costas da mão, dedo, dedo apontado para baixo, dedo indicador, dorso da mão com dedo indicador apontando para baixo, dorso da mão com dedo indicador apontando para baixo: pele morena escura, pele morena escura
👇🏿	costas da mão, dedo, dedo apontado para baixo, dedo indicador, dorso da mão com dedo indicador apontando para baixo, dorso da mão com dedo indicador apontando para baixo: pele escura, pele escura
☝️	dedo, dedo apontando para cima, indicador, indicador apontando para cima, mão
☝🏻	dedo, dedo apontando para cima, indicador, indicador apontando para cima, indicador apontando para cima: pele clara, mão, pele clara
☝🏼	dedo, dedo apontando para cima, indicador, indicador apontando para cima, indicador apontando para cima: pele morena clara, mão, pele morena clara
☝🏽	dedo, dedo apontando para cima, indicador, indicador apontando para cima, indicador apontando para cima: pele morena, mão, pele morena
☝🏾	dedo, dedo apontando para cima, indicador, indicador apontando para cima, indicador apontando para cima: pele morena escura, mão, pele morena escura
☝🏿	dedo, dedo apontando para cima, indicador, indicador apontando para cima, indicador apontando para cima: pele escura, mão, pele escura
👍️	dedão, mão, para cima, polegar para cima, sinal
👍🏻	dedão, mão, para cima, pele clara, polegar para cima, polegar para cima: pele clara, sinal
👍🏼	dedão, mão, para cima, pele morena clara, polegar para cima, polegar para cima: pele morena clara, sinal
👍🏽	dedão, mão, para cima, pele morena, polegar para cima, polegar para cima: pele morena, sinal
👍🏾	dedão, mão, para cima, pele morena escura, polegar para cima, polegar para cima: pele morena escura, sinal
👍🏿	dedão, mão, para cima, pele escura, polegar para cima, polegar para cima: pele escura, sinal
👎️	dedão, mão, para baixo, polegar para baixo, sinal
👎🏻	dedão, mão, para baixo, pele clara, polegar para baixo, polegar para baixo: pele clara, sinal
👎🏼	dedão, mão, para baixo, pele morena clara, polegar para baixo, polegar para baixo: pele morena clara, sinal
👎🏽	dedão, mão, para baixo, pele morena, polegar para baixo, polegar para baixo: pele morena, sinal
👎🏾	dedão, mão, para baixo, pele morena escura, polegar para baixo, polegar para baixo: pele morena escura, sinal
👎🏿	dedão, mão, para baixo, pele escura, polegar para baixo, polegar para baixo: pele escura, sinal
✊	punho erguido, punho levantado
✊🏻	pele clara, punho erguido, punho levantado, punho levantado: pele clara
✊🏼	pele morena clara, punho erguido, punho levantado, punho levantado: pele morena clara
✊🏽	pele morena, punho erguido, punho levantado, punho levantado: pele morena
✊🏾	pele morena escura, punho erguido, punho levantado, punho levantado: pele morena escura
