😀	бет, ырсай, ырсайган бет
💥	комикс, сүзүш, сүзүшүү
💫	башы айланган, жылдыз, комикс
💦	комикс, тер, тер тамчылары, чачыраган
💨	комикс, куюндай, чурка
🕳️	тешик
💣️	бомба, комикс
💬	диалог, кеп, кеп көбүгү, кеп шарчасы, комикс, көбүк
👁‍🗨	кеп көбүгү, кеп көбүгүндөгү көз, күбө, көз
🗨️	диалог, кеп, сол тараптагы кеп көбүгү
🗯️	ачуулуу, көбүк, оң тараптагы ачуулу кеп көбүгү, шарча
💭	комикс, көбүк, ой, ойлонуу көбүгү, шарча
💤	комикс, уйку, шшш
👋	булгалоо, дене, кол, кол булгалоо
👋🏻	акжуумал, булгалоо, дене, кол, кол булгалоо: акжуумал
👋🏼	булгалоо, буудай жүздүү, дене, кол, кол булгалоо: буудай жүздүү
👋🏽	булгалоо, дене, кол, кол булгалоо: орточо, орточо
👋🏾	булгалоо, дене, кара тору, кол, кол булгалоо: кара тору
👋🏿	булгалоо, дене, кара, кол, кол булгалоо: кара
🤚	алакан, көтөрүлгөн, көтөрүлгөн алакан
🤚🏻	акжуумал, алакан, көтөрүлгөн, көтөрүлгөн алакан: акжуумал
🤚🏼	алакан, буудай жүздүү, көтөрүлгөн, көтөрүлгөн алакан: буудай жүздүү
🤚🏽	алакан, көтөрүлгөн, көтөрүлгөн алакан: орточо, орточо
🤚🏾	алакан, кара тору, көтөрүлгөн, көтөрүлгөн алакан: кара тору
🤚🏿	алакан, кара, көтөрүлгөн, көтөрүлгөн алакан: кара
🖐️	ачык, бармак, беш, беш манжа, дене, манжа
🖐🏻	акжуумал, ачык, бармак, беш, беш манжа: акжуумал, дене, манжа
🖐🏼	ачык, бармак, беш, беш манжа: буудай жүздүү, буудай жүздүү, дене, манжа
🖐🏽	ачык, бармак, беш, беш манжа: орточо, дене, манжа, орточо
🖐🏾	ачык, бармак, беш, беш манжа: кара тору, дене, кара тору, манжа
🖐🏿	ачык, бармак, беш, беш манжа: кара, дене, кара, манжа
✋	дене, кол, кол көтөрүү
✋🏻	акжуумал, дене, кол, кол көтөрүү, кол көтөрүү: акжуумал
✋🏼	буудай жүздүү, дене, кол, кол көтөрүү, кол көтөрүү: буудай жүздүү
✋🏽	дене, кол, кол көтөрүү, кол көтөрүү: орточо, орточо
✋🏾	дене, кара тору, кол, кол көтөрүү, кол көтөрүү: кара тору
✋🏿	дене, кара, кол, кол көтөрүү, кол көтөрүү: кара
🖖	вулкан, вулкандыктарча салам, дене, кол, манжа
🖖🏻	акжуумал, вулкан, вулкандыктарча салам, вулкандыктарча салам: акжуумал, дене, кол, манжа
