😀	бет, ырсай, ырсайган бет
🧙🏿‍♂	кара, сыйкырчы, эркек сыйкырчы, эркек сыйкырчы: кара
🧙‍♀	аял сыйкырчы, мастан
🧙🏻‍♀	акжуумал, аял сыйкырчы, аял сыйкырчы: акжуумал, мастан
🧙🏼‍♀	аял сыйкырчы, аял сыйкырчы: буудай жүздүү, буудай жүздүү, мастан
🧙🏽‍♀	аял сыйкырчы, аял сыйкырчы: орточо, мастан, орточо
🧙🏾‍♀	аял сыйкырчы, аял сыйкырчы: кара тору, кара тору, мастан
🧙🏿‍♀	аял сыйкырчы, аял сыйкырчы: кара, кара, мастан
🧚	Оберон, Титания, гоблин, фея
🧚🏻	Оберон, Титания, акжуумал, гоблин, фея, фея: акжуумал
🧚🏼	Оберон, Титания, буудай жүздүү, гоблин, фея, фея: буудай жүздүү
🧚🏽	Оберон, Титания, гоблин, орточо, фея, фея: орточо
🧚🏾	Оберон, Титания, гоблин, кара тору, фея, фея: кара тору
🧚🏿	Оберон, Титания, гоблин, кара, фея, фея: кара
🧚‍♂	Оберон, гоблин, эркек фея
🧚🏻‍♂	Оберон, акжуумал, гоблин, эркек фея, эркек фея: акжуумал
🧚🏼‍♂	Оберон, буудай жүздүү, гоблин, эркек фея, эркек фея: буудай жүздүү
🧚🏽‍♂	Оберон, гоблин, орточо, эркек фея, эркек фея: орточо
🧚🏾‍♂	Оберон, гоблин, кара тору, эркек фея, эркек фея: кара тору
🧚🏿‍♂	Оберон, гоблин, кара, эркек фея, эркек фея: кара
🧚‍♀	Титания, аял фея
🧚🏻‍♀	Титания, акжуумал, аял фея, аял фея: акжуумал
🧚🏼‍♀	Титания, аял фея, аял фея: буудай жүздүү, буудай жүздүү
🧚🏽‍♀	Титания, аял фея, аял фея: орточо, орточо
🧚🏾‍♀	Титания, аял фея, аял фея: кара тору, кара тору
🧚🏿‍♀	Титания, аял фея, аял фея: кара, кара
🧛	Дракула, кан соргуч, өлбөс
🧛🏻	Дракула, акжуумал, кан соргуч, кан соргуч: акжуумал, өлбөс
🧛🏼	Дракула, буудай жүздүү, кан соргуч, кан соргуч: буудай жүздүү, өлбөс
🧛🏽	Дракула, кан соргуч, кан соргуч: орточо, орточо, өлбөс
🧛🏾	Дракула, кан соргуч, кан соргуч: кара тору, кара тору, өлбөс
🧛🏿	Дракула, кан соргуч, кан соргуч: кара, кара, өлбөс
🧛‍♂	Дракула, эркек кан соргуч, өлбөс
🧛🏻‍♂	Дракула, акжуумал, эркек кан соргуч, эркек кан соргуч: акжуумал, өлбөс
🧛🏼‍♂	Дракула, буудай жүздүү, эркек кан соргуч, эркек кан соргуч: буудай жүздүү, өлбөс
🧛🏽‍♂	Дракула, орточо, эркек кан соргуч, эркек кан соргуч: орточо, өлбөс
🧛🏾‍♂	Дракула, кара тору, эркек кан соргуч, эркек кан соргуч: кара тору, өлбөс
🧛🏿‍♂	Дракула, кара, эркек кан соргуч, эркек кан соргуч: кара, өлбөс
🧛‍♀	аял кан соргуч, өлбөс
🧛🏻‍♀	акжуумал, аял кан соргуч, аял кан соргуч: акжуумал, өлбөс
🧛🏼‍♀	аял кан соргуч, аял кан соргуч: буудай жүздүү, буудай жүздүү, өлбөс
🧛🏽‍♀	аял кан соргуч, аял кан соргуч: орточо, орточо, өлбөс
🧛🏾‍♀	аял кан соргуч, аял кан соргуч: кара тору, кара тору, өлбөс
🧛🏿‍♀	аял кан соргуч, аял кан соргуч: кара, кара, өлбөс
🧜	аял русалка, русалка, сууда жашаган жандык (русалка сымал), эркек русалка
🧜🏻	акжуумал, аял русалка, русалка, сууда жашаган жандык (русалка сымал), сууда жашаган жандык (русалка сымал): акжуумал, эркек русалка
🧜🏼	аял русалка, буудай жүздүү, русалка, сууда жашаган жандык (русалка сымал), сууда жашаган жандык (русалка сымал): буудай жүздүү, эркек русалка
🧜🏽	аял русалка, орточо, русалка, сууда жашаган жандык (русалка сымал), сууда жашаган жандык (русалка сымал): орточо, эркек русалка
🧜🏾	аял русалка, кара тору, русалка, сууда жашаган жандык (русалка сымал), сууда жашаган жандык (русалка сымал): кара тору, эркек русалка
🧜🏿	аял русалка, кара, русалка, сууда жашаган жандык (русалка сымал), сууда жашаган жандык (русалка сымал): кара, эркек русалка
🧜‍♂	Тритон, эркек русалка
🧜🏻‍♂	Тритон, акжуумал, эркек русалка, эркек русалка: акжуумал
🧜🏼‍♂	Тритон, буудай жүздүү, эркек русалка, эркек русалка: буудай жүздүү
🧜🏽‍♂	Тритон, орточо, эркек русалка, эркек русалка: орточо
🧜🏾‍♂	Тритон, кара тору, эркек русалка, эркек русалка: кара тору
🧜🏿‍♂	Тритон, кара, эркек русалка, эркек русалка: кара
🧜‍♀	аял русалка, русалка
🧜🏻‍♀	акжуумал, аял русалка, русалка, русалка: акжуумал
🧜🏼‍♀	аял русалка, буудай жүздүү, русалка, русалка: буудай жүздүү
🧜🏽‍♀	аял русалка, орточо, русалка, русалка: орточо
🧜🏾‍♀	аял русалка, кара тору, русалка, русалка: кара тору
🧜🏿‍♀	аял русалка, кара, русалка, русалка: кара
🧝	сыйкырдуу, эльф
🧝🏻	акжуумал, сыйкырдуу, эльф, эльф: акжуумал
🧝🏼	буудай жүздүү, сыйкырдуу, эльф, эльф: буудай жүздүү
🧝🏽	орточо, сыйкырдуу, эльф, эльф: орточо
🧝🏾	кара тору, сыйкырдуу, эльф, эльф: кара тору
🧝🏿	кара, сыйкырдуу, эльф, эльф: кара
🧝‍♂	сыйкырдуу, эркек эльф
🧝🏻‍♂	акжуумал, сыйкырдуу, эркек эльф, эркек эльф: акжуумал
🧝🏼‍♂	буудай жүздүү, сыйкырдуу, эркек эльф, эркек эльф: буудай жүздүү
🧝🏽‍♂	орточо, сыйкырдуу, эркек эльф, эркек эльф: орточо
🧝🏾‍♂	кара тору, сыйкырдуу, эркек эльф, эркек эльф: кара тору
🧝🏿‍♂	кара, сыйкырдуу, эркек эльф, эркек эльф: кара
🧝‍♀	аял эльф, кереметтүү
🧝🏻‍♀	акжуумал, аял эльф, аял эльф: акжуумал, кереметтүү
🧝🏼‍♀	аял эльф, аял эльф: буудай жүздүү, буудай жүздүү, кереметтүү
🧝🏽‍♀	аял эльф, аял эльф: орточо, кереметтүү, орточо
🧝🏾‍♀	аял эльф, аял эльф: кара тору, кара тору, кереметтүү
🧝🏿‍♀	аял эльф, аял эльф: кара, кара, кереметтүү
🧞	жин
🧞‍♂	жин, эркек жин
🧞‍♀	албарсты, жин
🧟	басып жүргөн өлүк, зомби, өлбөс
🧟‍♂	басып жүргөн өлүк, эркек зомби, өлбөс
🧟‍♀	аял зомби, басып жүргөн өлүк, өлбөс
💆	бетке массаж, массаж, салон
💆🏻	акжуумал, бетке массаж, бетке массаж: акжуумал, массаж, салон
💆🏼	бетке массаж, бетке массаж: буудай жүздүү, буудай жүздүү, массаж, салон
💆🏽	бетке массаж, бетке массаж: орточо, массаж, орточо, салон
💆🏾	бетке массаж, бетке массаж: кара тору, кара тору, массаж, салон
💆🏿	бетке массаж, бетке массаж: кара, кара, массаж, салон
💆‍♂	бет, бетине массаж алып жаткан эркек, укалоо, эркек
💆🏻‍♂	акжуумал, бет, бетине массаж алып жаткан эркек, бетине массаж алып жаткан эркек: акжуумал, укалоо, эркек
💆🏼‍♂	бет, бетине массаж алып жаткан эркек, бетине массаж алып жаткан эркек: буудай жүздүү, буудай жүздүү, укалоо, эркек
💆🏽‍♂	бет, бетине массаж алып жаткан эркек, бетине массаж алып жаткан эркек: орточо, орточо, укалоо, эркек
💆🏾‍♂	бет, бетине массаж алып жаткан эркек, бетине массаж алып жаткан эркек: кара тору, кара тору, укалоо, эркек
💆🏿‍♂	бет, бетине массаж алып жаткан эркек, бетине массаж алып жаткан эркек: кара, кара, укалоо, эркек
💆‍♀	аял, бет, бетине массаж алып жаткан аял, укалоо
💆🏻‍♀	акжуумал, аял, бет, бетине массаж алып жаткан аял, бетине массаж алып жаткан аял: акжуумал, укалоо
💆🏼‍♀	аял, бет, бетине массаж алып жаткан аял, бетине массаж алып жаткан аял: буудай жүздүү, буудай жүздүү, укалоо
💆🏽‍♀	аял, бет, бетине массаж алып жаткан аял, бетине массаж алып жаткан аял: орточо, орточо, укалоо
💆🏾‍♀	аял, бет, бетине массаж алып жаткан аял, бетине массаж алып жаткан аял: кара тору, кара тору, укалоо
💆🏿‍♀	аял, бет, бетине массаж алып жаткан аял, бетине массаж алып жаткан аял: кара, кара, укалоо
💇	сулуулук, чач жасалгасы, чач тарач
💇🏻	акжуумал, сулуулук, чач жасалгасы, чач жасалгасы: акжуумал, чач тарач
💇🏼	буудай жүздүү, сулуулук, чач жасалгасы, чач жасалгасы: буудай жүздүү, чач тарач
💇🏽	орточо, сулуулук, чач жасалгасы, чач жасалгасы: орточо, чач тарач
💇🏾	кара тору, сулуулук, чач жасалгасы, чач жасалгасы: кара тору, чач тарач
💇🏿	кара, сулуулук, чач жасалгасы, чач жасалгасы: кара, чач тарач
💇‍♂	чач тарач, чачын кырктырып жаткан эркек, эркек
💇🏻‍♂	акжуумал, чач тарач, чачын кырктырып жаткан эркек, чачын кырктырып жаткан эркек: акжуумал, эркек
💇🏼‍♂	буудай жүздүү, чач тарач, чачын кырктырып жаткан эркек, чачын кырктырып жаткан эркек: буудай жүздүү, эркек
💇🏽‍♂	орточо, чач тарач, чачын кырктырып жаткан эркек, чачын кырктырып жаткан эркек: орточо, эркек
💇🏾‍♂	кара тору, чач тарач, чачын кырктырып жаткан эркек, чачын кырктырып жаткан эркек: кара тору, эркек
💇🏿‍♂	кара, чач тарач, чачын кырктырып жаткан эркек, чачын кырктырып жаткан эркек: кара, эркек
💇‍♀	аял, чачтарач, чачын кырктырып жаткан аял
💇🏻‍♀	акжуумал, аял, чачтарач, чачын кырктырып жаткан аял, чачын кырктырып жаткан аял: акжуумал
💇🏼‍♀	аял, буудай жүздүү, чачтарач, чачын кырктырып жаткан аял, чачын кырктырып жаткан аял: буудай жүздүү
💇🏽‍♀	аял, орточо, чачтарач, чачын кырктырып жаткан аял, чачын кырктырып жаткан аял: орточо
💇🏾‍♀	аял, кара тору, чачтарач, чачын кырктырып жаткан аял, чачын кырктырып жаткан аял: кара тору
💇🏿‍♀	аял, кара, чачтарач, чачын кырктырып жаткан аял, чачын кырктырып жаткан аял: кара
🚶	жөө адам, жөө басуу, экскурсия
🚶🏻	акжуумал, жөө адам, жөө адам: акжуумал, жөө басуу, экскурсия
🚶🏼	буудай жүздүү, жөө адам, жөө адам: буудай жүздүү, жөө басуу, экскурсия
🚶🏽	жөө адам, жөө адам: орточо, жөө басуу, орточо, экскурсия
🚶🏾	жөө адам, жөө адам: кара тору, жөө басуу, кара тору, экскурсия
🚶🏿	жөө адам, жөө адам: кара, жөө басуу, кара, экскурсия
🚶‍♂	жөө басуу, жөө басып бара жаткан эркек, экскурсия, эркек
🚶🏻‍♂	акжуумал, жөө басуу, жөө басып бара жаткан эркек, жөө басып бара жаткан эркек: акжуумал, экскурсия, эркек
🚶🏼‍♂	буудай жүздүү, жөө басуу, жөө басып бара жаткан эркек, жөө басып бара жаткан эркек: буудай жүздүү, экскурсия, эркек
🚶🏽‍♂	жөө басуу, жөө басып бара жаткан эркек, жөө басып бара жаткан эркек: орточо, орточо, экскурсия, эркек
🚶🏾‍♂	жөө басуу, жөө басып бара жаткан эркек, жөө басып бара жаткан эркек: кара тору, кара тору, экскурсия, эркек
🚶🏿‍♂	жөө басуу, жөө басып бара жаткан эркек, жөө басып бара жаткан эркек: кара, кара, экскурсия, эркек
🚶‍♀	аял, жөө басуу, жөө басып бара жаткан аял, экскурсия
🚶🏻‍♀	акжуумал, аял, жөө басуу, жөө басып бара жаткан аял, жөө басып бара жаткан аял: акжуумал, экскурсия
🚶🏼‍♀	аял, буудай жүздүү, жөө басуу, жөө басып бара жаткан аял, жөө басып бара жаткан аял: буудай жүздүү, экскурсия
🚶🏽‍♀	аял, жөө басуу, жөө басып бара жаткан аял, жөө басып бара жаткан аял: орточо, орточо, экскурсия
🚶🏾‍♀	аял, жөө басуу, жөө басып бара жаткан аял, жөө басып бара жаткан аял: кара тору, кара тору, экскурсия
🚶🏿‍♀	аял, жөө басуу, жөө басып бара жаткан аял, жөө басып бара жаткан аял: кара, кара, экскурсия
🧍	адам турат, турат, туруу
🧍🏻	адам турат, адам турат: акжуумал, акжуумал, турат, туруу
🧍🏼	адам турат, адам турат: буудай жүздүү, буудай жүздүү, турат, туруу
🧍🏽	адам турат, адам турат: орточо, орточо, турат, туруу
🧍🏾	адам турат, адам турат: кара тору, кара тору, турат, туруу
🧍🏿	адам турат, адам турат: кара, кара, турат, туруу
🧍‍♂	киши, киши турат, турат
🧍🏻‍♂	акжуумал, киши, киши турат: акжуумал, турат
🧍🏼‍♂	буудай жүздүү, киши, киши турат: буудай жүздүү, турат
🧍🏽‍♂	киши, киши турат: орточо, орточо, турат
🧍🏾‍♂	кара тору, киши, киши турат: кара тору, турат
🧍🏿‍♂	кара, киши, киши турат: кара, турат
🧍‍♀	аял, аял турат, турат
🧍🏻‍♀	акжуумал, аял, аял турат: акжуумал, турат
🧍🏼‍♀	аял, аял турат: буудай жүздүү, буудай жүздүү, турат
🧍🏽‍♀	аял, аял турат: орточо, орточо, турат
🧍🏾‍♀	аял, аял турат: кара тору, кара тору, турат
🧍🏿‍♀	аял, аял турат: кара, кара, турат
🧎	тизелеген адам, тизелеп турат, тизелөө
🧎🏻	акжуумал, тизелеген адам, тизелеген адам: акжуумал, тизелеп турат, тизелөө
🧎🏼	буудай жүздүү, тизелеген адам, тизелеген адам: буудай жүздүү, тизелеп турат, тизелөө
🧎🏽	орточо, тизелеген адам, тизелеген адам: орточо, тизелеп турат, тизелөө
🧎🏾	кара тору, тизелеген адам, тизелеген адам: кара тору, тизелеп турат, тизелөө
🧎🏿	кара, тизелеген адам, тизелеген адам: кара, тизелеп турат, тизелөө
🧎‍♂	киши, тизелеген киши, тизелеп турат
🧎🏻‍♂	акжуумал, киши, тизелеген киши, тизелеген киши: акжуумал, тизелеп турат
🧎🏼‍♂	буудай жүздүү, киши, тизелеген киши, тизелеген киши: буудай жүздүү, тизелеп турат
🧎🏽‍♂	киши, орточо, тизелеген киши, тизелеген киши: орточо, тизелеп турат
🧎🏾‍♂	кара тору, киши, тизелеген киши, тизелеген киши: кара тору, тизелеп турат
🧎🏿‍♂	кара, киши, тизелеген киши, тизелеген киши: кара, тизелеп турат
🧎‍♀	аял, аял тизелөөдө, тизелеп турат
🧎🏻‍♀	акжуумал, аял, аял тизелөөдө, аял тизелөөдө: акжуумал, тизелеп турат
🧎🏼‍♀	аял, аял тизелөөдө, аял тизелөөдө: буудай жүздүү, буудай жүздүү, тизелеп турат
🧎🏽‍♀	аял, аял тизелөөдө, аял тизелөөдө: орточо, орточо, тизелеп турат
🧎🏾‍♀	аял, аял тизелөөдө, аял тизелөөдө: кара тору, кара тору, тизелеп турат
🧎🏿‍♀	аял, аял тизелөөдө, аял тизелөөдө: кара, кара, тизелеп турат
👨‍🦯	атайын мүмкүндүк, киши, сокур, таяк таянган киши
👨🏻‍🦯	акжуумал, атайын мүмкүндүк, киши, сокур, таяк таянган киши, таяк таянган киши: акжуумал
👨🏼‍🦯	атайын мүмкүндүк, буудай жүздүү, киши, сокур, таяк таянган киши, таяк таянган киши: буудай жүздүү
👨🏽‍🦯	атайын мүмкүндүк, киши, орточо, сокур, таяк таянган киши, таяк таянган киши: орточо
👨🏾‍🦯	атайын мүмкүндүк, кара тору, киши, сокур, таяк таянган киши, таяк таянган киши: кара тору
👨🏿‍🦯	атайын мүмкүндүк, кара, киши, сокур, таяк таянган киши, таяк таянган киши: кара
👩‍🦯	атайын мүмкүндүк, аял, сокур, таяк таянган аял
👩🏻‍🦯	акжуумал, атайын мүмкүндүк, аял, сокур, таяк таянган аял, таяк таянган аял: акжуумал
👩🏼‍🦯	атайын мүмкүндүк, аял, буудай жүздүү, сокур, таяк таянган аял, таяк таянган аял: буудай жүздүү
👩🏽‍🦯	атайын мүмкүндүк, аял, орточо, сокур, таяк таянган аял, таяк таянган аял: орточо
👩🏾‍🦯	атайын мүмкүндүк, аял, кара тору, сокур, таяк таянган аял, таяк таянган аял: кара тору
👩🏿‍🦯	атайын мүмкүндүк, аял, кара, сокур, таяк таянган аял, таяк таянган аял: кара
👨‍🦼	атайын мүмкүндүк, дөңгөлөктүү отургуч, киши, моторлуу дөңгөлөк отургучтагы киши
👨🏻‍🦼	акжуумал, атайын мүмкүндүк, дөңгөлөктүү отургуч, киши, моторлуу дөңгөлөк отургучтагы киши, моторлуу дөңгөлөк отургучтагы киши: акжуумал
👨🏼‍🦼	атайын мүмкүндүк, буудай жүздүү, дөңгөлөктүү отургуч, киши, моторлуу дөңгөлөк отургучтагы киши, моторлуу дөңгөлөк отургучтагы киши: буудай жүздүү
👨🏽‍🦼	атайын мүмкүндүк, дөңгөлөктүү отургуч, киши, моторлуу дөңгөлөк отургучтагы киши, моторлуу дөңгөлөк отургучтагы киши: орточо, орточо
👨🏾‍🦼	атайын мүмкүндүк, дөңгөлөктүү отургуч, кара тору, киши, моторлуу дөңгөлөк отургучтагы киши, моторлуу дөңгөлөк отургучтагы киши: кара тору
👨🏿‍🦼	атайын мүмкүндүк, дөңгөлөктүү отургуч, кара, киши, моторлуу дөңгөлөк отургучтагы киши, моторлуу дөңгөлөк отургучтагы киши: кара
👩‍🦼	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, мотору бар дөңгөлөктүү отургучтагы аял
👩🏻‍🦼	акжуумал, атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, мотору бар дөңгөлөктүү отургучтагы аял, мотору бар дөңгөлөктүү отургучтагы аял: акжуумал
👩🏼‍🦼	атайын мүмкүндүк, аял, буудай жүздүү, дөңгөлөктүү отургуч, мотору бар дөңгөлөктүү отургучтагы аял, мотору бар дөңгөлөктүү отургучтагы аял: буудай жүздүү
👩🏽‍🦼	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, мотору бар дөңгөлөктүү отургучтагы аял, мотору бар дөңгөлөктүү отургучтагы аял: орточо, орточо
👩🏾‍🦼	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, кара тору, мотору бар дөңгөлөктүү отургучтагы аял, мотору бар дөңгөлөктүү отургучтагы аял: кара тору
👩🏿‍🦼	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, кара, мотору бар дөңгөлөктүү отургучтагы аял, мотору бар дөңгөлөктүү отургучтагы аял: кара
👨‍🦽	атайын мүмкүндүк, дөңгөлөктүү отургуч, киши, кол менен дөңгөлөктүү отургучтагы киши
👨🏻‍🦽	акжуумал, атайын мүмкүндүк, дөңгөлөктүү отургуч, киши, кол менен дөңгөлөктүү отургучтагы киши, кол менен дөңгөлөктүү отургучтагы киши: акжуумал
👨🏼‍🦽	атайын мүмкүндүк, буудай жүздүү, дөңгөлөктүү отургуч, киши, кол менен дөңгөлөктүү отургучтагы киши, кол менен дөңгөлөктүү отургучтагы киши: буудай жүздүү
👨🏽‍🦽	атайын мүмкүндүк, дөңгөлөктүү отургуч, киши, кол менен дөңгөлөктүү отургучтагы киши, кол менен дөңгөлөктүү отургучтагы киши: орточо, орточо
👨🏾‍🦽	атайын мүмкүндүк, дөңгөлөктүү отургуч, кара тору, киши, кол менен дөңгөлөктүү отургучтагы киши, кол менен дөңгөлөктүү отургучтагы киши: кара тору
👨🏿‍🦽	атайын мүмкүндүк, дөңгөлөктүү отургуч, кара, киши, кол менен дөңгөлөктүү отургучтагы киши, кол менен дөңгөлөктүү отургучтагы киши: кара
👩‍🦽	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, кол менен дөңгөлөктүү отургучтагы аял
👩🏻‍🦽	акжуумал, атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, кол менен дөңгөлөктүү отургучтагы аял, кол менен дөңгөлөктүү отургучтагы аял: акжуумал
👩🏼‍🦽	атайын мүмкүндүк, аял, буудай жүздүү, дөңгөлөктүү отургуч, кол менен дөңгөлөктүү отургучтагы аял, кол менен дөңгөлөктүү отургучтагы аял: буудай жүздүү
👩🏽‍🦽	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, кол менен дөңгөлөктүү отургучтагы аял, кол менен дөңгөлөктүү отургучтагы аял: орточо, орточо
👩🏾‍🦽	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, кара тору, кол менен дөңгөлөктүү отургучтагы аял, кол менен дөңгөлөктүү отургучтагы аял: кара тору
👩🏿‍🦽	атайын мүмкүндүк, аял, дөңгөлөктүү отургуч, кара, кол менен дөңгөлөктүү отургучтагы аял, кол менен дөңгөлөктүү отургучтагы аял: кара
🏃	марафон, чуркап бара жаткан адам, чуркоо
🏃🏻	акжуумал, марафон, чуркап бара жаткан адам, чуркап бара жаткан адам: акжуумал, чуркоо
🏃🏼	буудай жүздүү, марафон, чуркап бара жаткан адам, чуркап бара жаткан адам: буудай жүздүү, чуркоо
🏃🏽	марафон, орточо, чуркап бара жаткан адам, чуркап бара жаткан адам: орточо, чуркоо
🏃🏾	кара тору, марафон, чуркап бара жаткан адам, чуркап бара жаткан адам: кара тору, чуркоо
🏃🏿	кара, марафон, чуркап бара жаткан адам, чуркап бара жаткан адам: кара, чуркоо
🏃‍♂	жарыш, марафон, чуркап бара жаткан эркек, чуркоо, эркек
🏃🏻‍♂	акжуумал, жарыш, марафон, чуркап бара жаткан эркек, чуркап бара жаткан эркек: акжуумал, чуркоо, эркек
🏃🏼‍♂	буудай жүздүү, жарыш, марафон, чуркап бара жаткан эркек, чуркап бара жаткан эркек: буудай жүздүү, чуркоо, эркек
🏃🏽‍♂	жарыш, марафон, орточо, чуркап бара жаткан эркек, чуркап бара жаткан эркек: орточо, чуркоо, эркек
🏃🏾‍♂	жарыш, кара тору, марафон, чуркап бара жаткан эркек, чуркап бара жаткан эркек: кара тору, чуркоо, эркек
🏃🏿‍♂	жарыш, кара, марафон, чуркап бара жаткан эркек, чуркап бара жаткан эркек: кара, чуркоо, эркек
🏃‍♀	аял, жарыш, марафон, чуркап бара жаткан аял, чуркоо
🏃🏻‍♀	акжуумал, аял, жарыш, марафон, чуркап бара жаткан аял, чуркап бара жаткан аял: акжуумал, чуркоо
🏃🏼‍♀	аял, буудай жүздүү, жарыш, марафон, чуркап бара жаткан аял, чуркап бара жаткан аял: буудай жүздүү, чуркоо
🏃🏽‍♀	аял, жарыш, марафон, орточо, чуркап бара жаткан аял, чуркап бара жаткан аял: орточо, чуркоо
🏃🏾‍♀	аял, жарыш, кара тору, марафон, чуркап бара жаткан аял, чуркап бара жаткан аял: кара тору, чуркоо
🏃🏿‍♀	аял, жарыш, кара, марафон, чуркап бара жаткан аял, чуркап бара жаткан аял: кара, чуркоо
💃	аял, бий, бийлеп жаткан аял
💃🏻	акжуумал, аял, бий, бийлеп жаткан аял, бийлеп жаткан аял: акжуумал
💃🏼	аял, бий, бийлеп жаткан аял, бийлеп жаткан аял: буудай жүздүү, буудай жүздүү
💃🏽	аял, бий, бийлеп жаткан аял, бийлеп жаткан аял: орточо, орточо
💃🏾	аял, бий, бийлеп жаткан аял, бийлеп жаткан аял: кара тору, кара тору
💃🏿	аял, бий, бийлеп жаткан аял, бийлеп жаткан аял: кара, кара
🕺	бий, бийлеп жаткан мырза, мырза
🕺🏻	акжуумал, бий, бийлеп жаткан мырза, бийлеп жаткан мырза: акжуумал, мырза
🕺🏼	бий, бийлеп жаткан мырза, бийлеп жаткан мырза: буудай жүздүү, буудай жүздүү, мырза
🕺🏽	бий, бийлеп жаткан мырза, бийлеп жаткан мырза: орточо, мырза, орточо
🕺🏾	бий, бийлеп жаткан мырза, бийлеп жаткан мырза: кара тору, кара тору, мырза
🕺🏿	бий, бийлеп жаткан мырза, бийлеп жаткан мырза: кара, кара, мырза
🕴️	киши, костюм-шым, костюм-шымчан киши
🕴🏻	акжуумал, киши, костюм-шым, костюм-шымчан киши, костюм-шымчан киши: акжуумал
🕴🏼	буудай жүздүү, киши, костюм-шым, костюм-шымчан киши, костюм-шымчан киши: буудай жүздүү
🕴🏽	киши, костюм-шым, костюм-шымчан киши, костюм-шымчан киши: орточо, орточо
🕴🏾	кара тору, киши, костюм-шым, костюм-шымчан киши, костюм-шымчан киши: кара тору
🕴🏿	кара, киши, костюм-шым, костюм-шымчан киши, костюм-шымчан киши: кара
👯	бийчи, коёнек, кулак, кыз, кыз-келиндер кечеси
👯‍♂	бий, кече, коен кулактарын тагынган эркектер, коён кулактары, эркектер
👯‍♀	бий, кече, коен кулактарын тагынган кыздар, коён кулактары, кыздар
🧖	бууланган бөлмө, бууланган бөлмөдө отурган адам, сауна
🧖🏻	акжуумал, бууланган бөлмө, бууланган бөлмөдө отурган адам, бууланган бөлмөдө отурган адам: акжуумал, сауна
🧖🏼	буудай жүздүү, бууланган бөлмө, бууланган бөлмөдө отурган адам, бууланган бөлмөдө отурган адам: буудай жүздүү, сауна
🧖🏽	бууланган бөлмө, бууланган бөлмөдө отурган адам, бууланган бөлмөдө отурган адам: орточо, орточо, сауна
🧖🏾	бууланган бөлмө, бууланган бөлмөдө отурган адам, бууланган бөлмөдө отурган адам: кара тору, кара тору, сауна
🧖🏿	бууланган бөлмө, бууланган бөлмөдө отурган адам, бууланган бөлмөдө отурган адам: кара, кара, сауна
🧖‍♂	бууланган бөлмө, бууланган бөлмөдө отурган эркек, сауна
🧖🏻‍♂	акжуумал, бууланган бөлмө, бууланган бөлмөдө отурган эркек, бууланган бөлмөдө отурган эркек: акжуумал, сауна
🧖🏼‍♂	буудай жүздүү, бууланган бөлмө, бууланган бөлмөдө отурган эркек, бууланган бөлмөдө отурган эркек: буудай жүздүү, сауна
🧖🏽‍♂	бууланган бөлмө, бууланган бөлмөдө отурган эркек, бууланган бөлмөдө отурган эркек: орточо, орточо, сауна
🧖🏾‍♂	бууланган бөлмө, бууланган бөлмөдө отурган эркек, бууланган бөлмөдө отурган эркек: кара тору, кара тору, сауна
🧖🏿‍♂	бууланган бөлмө, бууланган бөлмөдө отурган эркек, бууланган бөлмөдө отурган эркек: кара, кара, сауна
🧖‍♀	бууланган бөлмө, бууланган бөлмөдө отурган аял, сауна
🧖🏻‍♀	акжуумал, бууланган бөлмө, бууланган бөлмөдө отурган аял, бууланган бөлмөдө отурган аял: акжуумал, сауна
🧖🏼‍♀	буудай жүздүү, бууланган бөлмө, бууланган бөлмөдө отурган аял, бууланган бөлмөдө отурган аял: буудай жүздүү, сауна
🧖🏽‍♀	бууланган бөлмө, бууланган бөлмөдө отурган аял, бууланган бөлмөдө отурган аял: орточо, орточо, сауна
🧖🏾‍♀	бууланган бөлмө, бууланган бөлмөдө отурган аял, бууланган бөлмөдө отурган аял: кара тору, кара тору, сауна
🧖🏿‍♀	бууланган бөлмө, бууланган бөлмөдө отурган аял, бууланган бөлмөдө отурган аял: кара, кара, сауна
🧗	альпинист, тоого чыгып жаткан адам
🧗🏻	акжуумал, альпинист, тоого чыгып жаткан адам, тоого чыгып жаткан адам: акжуумал
🧗🏼	альпинист, буудай жүздүү, тоого чыгып жаткан адам, тоого чыгып жаткан адам: буудай жүздүү
🧗🏽	альпинист, орточо, тоого чыгып жаткан адам, тоого чыгып жаткан адам: орточо
🧗🏾	альпинист, кара тору, тоого чыгып жаткан адам, тоого чыгып жаткан адам: кара тору
🧗🏿	альпинист, кара, тоого чыгып жаткан адам, тоого чыгып жаткан адам: кара
🧗‍♂	альпинист, тоого чыгып жаткан эркек
🧗🏻‍♂	акжуумал, альпинист, тоого чыгып жаткан эркек, тоого чыгып жаткан эркек: акжуумал
🧗🏼‍♂	альпинист, буудай жүздүү, тоого чыгып жаткан эркек, тоого чыгып жаткан эркек: буудай жүздүү
