😀	මුහුණ, සිනහ මුහුණ, සිනහව
👋🏼	අත, අත වනමින්, අත වැනීම, අත වැනීම: සමෙහි වර්ගය-3, ශරීරය, සමෙහි වර්ගය-3
👋🏽	අත, අත වනමින්, අත වැනීම, අත වැනීම: සමෙහි වර්ගය-4, ශරීරය, සමෙහි වර්ගය-4
👋🏾	අත, අත වනමින්, අත වැනීම, අත වැනීම: සමෙහි වර්ගය-5, ශරීරය, සමෙහි වර්ගය-5
👋🏿	අත, අත වනමින්, අත වැනීම, අත වැනීම: සමෙහි වර්ගය-6, ශරීරය, සමෙහි වර්ගය-6
🤚	ඔසවිම, පිටි අත, පිටි අත ඔසවන ලදි
🤚🏻	ඔසවිම, පිටි අත, පිටි අත ඔසවන ලදි, පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🤚🏼	ඔසවිම, පිටි අත, පිටි අත ඔසවන ලදි, පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🤚🏽	ඔසවිම, පිටි අත, පිටි අත ඔසවන ලදි, පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🤚🏾	ඔසවිම, පිටි අත, පිටි අත ඔසවන ලදි, පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🤚🏿	ඔසවිම, පිටි අත, පිටි අත ඔසවන ලදි, පිටි අත ඔසවන ලදි: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🖐️	අත, ඇඟිල්ල, පළල් කළ, විදහන ලද ඇඟිලි සහිත එසවූ අත, ශරීරය
🖐🏻	අත, ඇඟිල්ල, පළල් කළ, විදහන ලද ඇඟිලි සහිත එසවූ අත, විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-1-2, ශරීරය, සමෙහි වර්ගය-1-2
🖐🏼	අත, ඇඟිල්ල, පළල් කළ, විදහන ලද ඇඟිලි සහිත එසවූ අත, විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-3, ශරීරය, සමෙහි වර්ගය-3
🖐🏽	අත, ඇඟිල්ල, පළල් කළ, විදහන ලද ඇඟිලි සහිත එසවූ අත, විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-4, ශරීරය, සමෙහි වර්ගය-4
🖐🏾	අත, ඇඟිල්ල, පළල් කළ, විදහන ලද ඇඟිලි සහිත එසවූ අත, විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-5, ශරීරය, සමෙහි වර්ගය-5
🖐🏿	අත, ඇඟිල්ල, පළල් කළ, විදහන ලද ඇඟිලි සහිත එසවූ අත, විදහන ලද ඇඟිලි සහිත එසවූ අත: සමෙහි වර්ගය-6, ශරීරය, සමෙහි වර්ගය-6
✋	අත, එසවූූ අත, ශරීරය
✋🏻	අත, එසවූූ අත, එසවූූ අත: සමෙහි වර්ගය-1-2, ශරීරය, සමෙහි වර්ගය-1-2
✋🏼	අත, එසවූූ අත, එසවූූ අත: සමෙහි වර්ගය-3, ශරීරය, සමෙහි වර්ගය-3
✋🏽	අත, එසවූූ අත, එසවූූ අත: සමෙහි වර්ගය-4, ශරීරය, සමෙහි වර්ගය-4
✋🏾	අත, එසවූූ අත, එසවූූ අත: සමෙහි වර්ගය-5, ශරීරය, සමෙහි වර්ගය-5
✋🏿	අත, එසවූූ අත, එසවූූ අත: සමෙහි වර්ගය-6, ශරීරය, සමෙහි වර්ගය-6
🖖	අත, ඇඟිල්ල, වල්කන්, වල්කන් සැලියුට්, ස්පොක්
🖖🏻	අත, ඇඟිල්ල, වල්කන්, වල්කන් සැලියුට්, වල්කන් සැලියුට්: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2, ස්පොක්
🖖🏼	අත, ඇඟිල්ල, වල්කන්, වල්කන් සැලියුට්, වල්කන් සැලියුට්: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3, ස්පොක්
🖖🏽	අත, ඇඟිල්ල, වල්කන්, වල්කන් සැලියුට්, වල්කන් සැලියුට්: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4, ස්පොක්
🖖🏾	අත, ඇඟිල්ල, වල්කන්, වල්කන් සැලියුට්, වල්කන් සැලියුට්: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5, ස්පොක්
🖖🏿	අත, ඇඟිල්ල, වල්කන්, වල්කන් සැලියුට්, වල්කන් සැලියුට්: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6, ස්පොක්
👌	අත, ශරීරය, හරි, හරිි යන්න දක්වන අත
👌🏻	අත, ශරීරය, සමෙහි වර්ගය-1-2, හරි, හරිි යන්න දක්වන අත, හරිි යන්න දක්වන අත: සමෙහි වර්ගය-1-2
👌🏼	අත, ශරීරය, සමෙහි වර්ගය-3, හරි, හරිි යන්න දක්වන අත, හරිි යන්න දක්වන අත: සමෙහි වර්ගය-3
👌🏽	අත, ශරීරය, සමෙහි වර්ගය-4, හරි, හරිි යන්න දක්වන අත, හරිි යන්න දක්වන අත: සමෙහි වර්ගය-4
👌🏾	අත, ශරීරය, සමෙහි වර්ගය-5, හරි, හරිි යන්න දක්වන අත, හරිි යන්න දක්වන අත: සමෙහි වර්ගය-5
👌🏿	අත, ශරීරය, සමෙහි වර්ගය-6, හරි, හරිි යන්න දක්වන අත, හරිි යන්න දක්වන අත: සමෙහි වර්ගය-6
🤏	අත මිරිකීම, කුඩා ප්‍රමාණයක්
🤏🏻	අත මිරිකීම, අත මිරිකීම: සමෙහි වර්ගය-1-2, කුඩා ප්‍රමාණයක්, සමෙහි වර්ගය-1-2
🤏🏼	අත මිරිකීම, අත මිරිකීම: සමෙහි වර්ගය-3, කුඩා ප්‍රමාණයක්, සමෙහි වර්ගය-3
🤏🏽	අත මිරිකීම, අත මිරිකීම: සමෙහි වර්ගය-4, කුඩා ප්‍රමාණයක්, සමෙහි වර්ගය-4
🤏🏾	අත මිරිකීම, අත මිරිකීම: සමෙහි වර්ගය-5, කුඩා ප්‍රමාණයක්, සමෙහි වර්ගය-5
🤏🏿	අත මිරිකීම, අත මිරිකීම: සමෙහි වර්ගය-6, කුඩා ප්‍රමාණයක්, සමෙහි වර්ගය-6
✌️	අත, ජ, ජයග්‍රහණය, ජයග්‍රහණය දක්වන අත, ශරීරය
✌🏻	අත, ජ, ජයග්‍රහණය, ජයග්‍රහණය දක්වන අත, ජයග්‍රහණය දක්වන අත: සමෙහි වර්ගය-1-2, ශරීරය, සමෙහි වර්ගය-1-2
✌🏼	අත, ජ, ජයග්‍රහණය, ජයග්‍රහණය දක්වන අත, ජයග්‍රහණය දක්වන අත: සමෙහි වර්ගය-3, ශරීරය, සමෙහි වර්ගය-3
✌🏽	අත, ජ, ජයග්‍රහණය, ජයග්‍රහණය දක්වන අත, ජයග්‍රහණය දක්වන අත: සමෙහි වර්ගය-4, ශරීරය, සමෙහි වර්ගය-4
✌🏾	අත, ජ, ජයග්‍රහණය, ජයග්‍රහණය දක්වන අත, ජයග්‍රහණය දක්වන අත: සමෙහි වර්ගය-5, ශරීරය, සමෙහි වර්ගය-5
✌🏿	අත, ජ, ජයග්‍රහණය, ජයග්‍රහණය දක්වන අත, ජයග්‍රහණය දක්වන අත: සමෙහි වර්ගය-6, ශරීරය, සමෙහි වර්ගය-6
🤞	අත, ඇඟිල්ල, වාසනාව, හරස්, හරස් කළ ඇඟිලි
🤞🏻	අත, ඇඟිල්ල, වාසනාව, සමෙහි වර්ගය-1-2, හරස්, හරස් කළ ඇඟිලි, හරස් කළ ඇඟිලි: සමෙහි වර්ගය-1-2
🤞🏼	අත, ඇඟිල්ල, වාසනාව, සමෙහි වර්ගය-3, හරස්, හරස් කළ ඇඟිලි, හරස් කළ ඇඟිලි: සමෙහි වර්ගය-3
🤞🏽	අත, ඇඟිල්ල, වාසනාව, සමෙහි වර්ගය-4, හරස්, හරස් කළ ඇඟිලි, හරස් කළ ඇඟිලි: සමෙහි වර්ගය-4
🤞🏾	අත, ඇඟිල්ල, වාසනාව, සමෙහි වර්ගය-5, හරස්, හරස් කළ ඇඟිලි, හරස් කළ ඇඟිලි: සමෙහි වර්ගය-5
🤞🏿	අත, ඇඟිල්ල, වාසනාව, සමෙහි වර්ගය-6, හරස්, හරස් කළ ඇඟිලි, හරස් කළ ඇඟිලි: සමෙහි වර්ගය-6
🤟	අත, ඔආඉ, ඔබට ආදරෙයි ඉඟිය
🤟🏻	අත, ඔආඉ, ඔබට ආදරෙයි ඉඟිය, ඔබට ආදරෙයි ඉඟිය: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🤟🏼	අත, ඔආඉ, ඔබට ආදරෙයි ඉඟිය, ඔබට ආදරෙයි ඉඟිය: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🤟🏽	අත, ඔආඉ, ඔබට ආදරෙයි ඉඟිය, ඔබට ආදරෙයි ඉඟිය: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🤟🏾	අත, ඔආඉ, ඔබට ආදරෙයි ඉඟිය, ඔබට ආදරෙයි ඉඟිය: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🤟🏿	අත, ඔආඉ, ඔබට ආදරෙයි ඉඟිය, ඔබට ආදරෙයි ඉඟිය: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🤘	අං, අත, ඇඟිල්ල, රොක් ඔන්, හෝන්ස් ලකුණ
🤘🏻	අං, අත, ඇඟිල්ල, රොක් ඔන්, සමෙහි වර්ගය-1-2, හෝන්ස් ලකුණ, හෝන්ස් ලකුණ: සමෙහි වර්ගය-1-2
🤘🏼	අං, අත, ඇඟිල්ල, රොක් ඔන්, සමෙහි වර්ගය-3, හෝන්ස් ලකුණ, හෝන්ස් ලකුණ: සමෙහි වර්ගය-3
🤘🏽	අං, අත, ඇඟිල්ල, රොක් ඔන්, සමෙහි වර්ගය-4, හෝන්ස් ලකුණ, හෝන්ස් ලකුණ: සමෙහි වර්ගය-4
🤘🏾	අං, අත, ඇඟිල්ල, රොක් ඔන්, සමෙහි වර්ගය-5, හෝන්ස් ලකුණ, හෝන්ස් ලකුණ: සමෙහි වර්ගය-5
🤘🏿	අං, අත, ඇඟිල්ල, රොක් ඔන්, සමෙහි වර්ගය-6, හෝන්ස් ලකුණ, හෝන්ස් ලකුණ: සමෙහි වර්ගය-6
🤙	අත, ඇමතුම, මට ඇමතුමක් දෙන්න ඇගවීම
🤙🏻	අත, ඇමතුම, මට ඇමතුමක් දෙන්න ඇගවීම, මට ඇමතුමක් දෙන්න ඇගවීම: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🤙🏼	අත, ඇමතුම, මට ඇමතුමක් දෙන්න ඇගවීම, මට ඇමතුමක් දෙන්න ඇගවීම: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🤙🏽	අත, ඇමතුම, මට ඇමතුමක් දෙන්න ඇගවීම, මට ඇමතුමක් දෙන්න ඇගවීම: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🤙🏾	අත, ඇමතුම, මට ඇමතුමක් දෙන්න ඇගවීම, මට ඇමතුමක් දෙන්න ඇගවීම: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🤙🏿	අත, ඇමතුම, මට ඇමතුමක් දෙන්න ඇගවීම, මට ඇමතුමක් දෙන්න ඇගවීම: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
👈️	අත, ඇඟිල්ල, පිටි අත් පහර, ලක්ෂ්‍ය, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල
👈🏻	අත, ඇඟිල්ල, පිටි අත් පහර, ලක්ෂ්‍ය, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
👈🏼	අත, ඇඟිල්ල, පිටි අත් පහර, ලක්ෂ්‍ය, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
👈🏽	අත, ඇඟිල්ල, පිටි අත් පහර, ලක්ෂ්‍ය, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
👈🏾	අත, ඇඟිල්ල, පිටි අත් පහර, ලක්ෂ්‍ය, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
👈🏿	අත, ඇඟිල්ල, පිටි අත් පහර, ලක්ෂ්‍ය, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල, වමට යොමු වූ අත පිටුපස දබරැඟිල්ල: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
