😀	fjes, glis, glisefjes
🤙🏻	hudtype 1–2, hånd, ring meg-hånd, ring meg-hånd: hudtype 1–2, ringe
🤙🏼	hudtype 3, hånd, ring meg-hånd, ring meg-hånd: hudtype 3, ringe
🤙🏽	hudtype 4, hånd, ring meg-hånd, ring meg-hånd: hudtype 4, ringe
🤙🏾	hudtype 5, hånd, ring meg-hånd, ring meg-hånd: hudtype 5, ringe
🤙🏿	hudtype 6, hånd, ring meg-hånd, ring meg-hånd: hudtype 6, ringe
👈️	finger, hånd, pekende finger, peker mot venstre – bakhånd, peker venstre
👈🏻	finger, hudtype 1–2, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 1–2, peker venstre
👈🏼	finger, hudtype 3, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 3, peker venstre
👈🏽	finger, hudtype 4, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 4, peker venstre
👈🏾	finger, hudtype 5, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 5, peker venstre
👈🏿	finger, hudtype 6, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 6, peker venstre
👉️	finger, hånd, pekende finger, peker mot høyre – bakhånd, peker opp
👉🏻	finger, hudtype 1–2, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 1–2, peker opp
👉🏼	finger, hudtype 3, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 3, peker opp
👉🏽	finger, hudtype 4, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 4, peker opp
👉🏾	finger, hudtype 5, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 5, peker opp
👉🏿	finger, hudtype 6, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 6, peker opp
👆️	finger, hånd, pekende finger, peker opp, peker opp – bakhånd
👆🏻	finger, hudtype 1–2, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 1–2
👆🏼	finger, hudtype 3, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 3
