😀	fjes, glis, glisefjes
🦟	feber, insekt, malaria, mygg, sykdom, virus
🦠	amøbe, bakterie, mikrobe, virus
💐	blomst, blomster, bukett, romantikk
🌸	blomst, kirsebær, kirsebærblomst
💮	blomst, blomsterstempel, hvit blomst, stempel
🏵️	plante, rosett
🌹	blomst, rose
🥀	blomst, tørket, vissen, vissen blomst
🌺	blomst, hibiskus
🌻	blomst, sol, solsikke
🌼	blomst, plante
🌷	blomst, tulipan
🌱	plante, spire, ung
🌲	barnåler, bartre, eviggrønt tre, gran, juletre, tre
🌳	blader, løvtre, tre
🌴	palme, palmetre, tre
🌵	kaktus, plante
🌾	aks, plante, ris, risplante, siv, strå
🌿	plante, urt, urteblader
☘️	kløver, plante, trekløver
🍀	4, firkløver, flaks, hell, kløver, plante
🍁	blad, høstblad, lønn, lønneblad
🍂	blad, fallende, høstblad, løv
🍃	blader i vind, blåse, blåser, blåst, løv i vind, vind
🍇	drueklase, druer, frukt
🍈	frukt, honningmelon, melon
🍉	frukt, melon, vannmelon
🍊	appelsin, frukt, klementin, mandarin
🍋	frukt, sitron, sitrus
🍌	banan, frukt
🍍	ananas, frukt
🥭	frukt, mango, tropisk
🍎	eple, frukt, rødt eple
🍏	eple, frukt, grønt eple
🍐	frukt, pære
🍑	fersken, frukt
🍒	bær, kirsebær, moreller
🍓	bær, jordbær
🥝	frukt, kiwi, mat
🍅	frukt, grønnsak, tomat
🥥	kokosnøtt, palme, piña colada
🥑	avokado, frukt, mat
🍆	aubergine, grønnsak
🥔	grønnsak, mat, potet
🥕	grønnsak, gulrot, mat, rot
🌽	mais, maiskolbe
🌶️	chili, plante, rød chili, sterk
🥒	agurk, grønnsak, mat
🥬	bladgrønnsaker, bladsalat, grønnkål, kinakål, kål, pak choy
🥦	brokkoli, grønnsak
🧄	hvitløk, smakstilsetning
🧅	løk, smakstilsetning
🍄	fluesopp, sopp
🥜	grønnsak, mat, nøtt, peanøtt, peanøtter
🌰	kastanje, kastanjenøtt, nøtt
🍞	brød, loff
🥐	brød, croissant, fransk, mat
🥖	bagett, baguette, brød, fransk, mat
🥨	saltkringle, saltstenger, snacks
🥯	bagel, bakst, påsmurt
🥞	crêpe, mat, pannekake, pannekaker
🧇	belgisk vaffel, jern, vaffel
🧀	ost, ostestykke
🍖	kjøtt med bein, kjøttbein, restaurant
🍗	fjærfe, fjærkre, kyllingklubbe, kyllinglår, restaurant
🥩	biff, kjøttstykke, lammekotelett, lammeskank, svinekotelett
🥓	bacon, kjøtt, mat
🍔	burger, hamburger, restaurant
🍟	chips, pommes frites, restaurant
🍕	pizza, pizzabit, pizzastykke, restaurant
🌭	hot dog, hotdog, pølse, pølse med brød
🥪	brød, brødskive, sandwich, smørbrød
🌮	meksikansk, taco
🌯	burrito, meksikansk, wrap
🥙	falafel, fylt pitabrød, gyro, kebab, mat, pita
🧆	falafel, kikerter, kjøttboller
🥚	egg, mat
🍳	egg, matlaging, steke, stekepanne
🥘	lav gryte med mat, mat, paella, stekepanne
🍲	gryte, gryterett, middag, middagsmat, panne
🥣	bolle med skje, congee, frokost, frokostblanding, grøt
🥗	grønn, grønn salat, mat, salat
🍿	kino, popcorn, popkorn
🧈	meieriprodukt, smør
🧂	bøsse, krydder, salt
🥫	boks, hermetikk
🍱	bento-boks, bentoboks, matboks
🍘	kjeks, ris, riskjeks
🍙	japansk, onigiri, restaurant, ris, risball
🍚	kokt, kokt ris, restaurant, ris
🍛	curry, karriris, restaurant, ris
🍜	matbolle som damper, nudelbolle, restaurant
🍝	pasta, restaurant, spagetti
🍠	bakt søtpotet, potet, restaurant, søtpotet
🍢	oden, restaurant, sjømat, sjømat på pinne, sjømatspyd
🍣	restaurant, sushi
🍤	fritert reke, grillet scampi, kongereke, restaurant, scampi, tempura
🍥	fisk, fiskekake med mønster, restaurant
🥮	festival, høst, månekake, yuebing
🍡	dango, japansk, restaurant, riskonfekt
🥟	dumpling, empanada, gyoza, jiaozi, pirog
🥠	fortune cookie, lykkekake, spådom
🥡	takeaway-boks, takeaway-eske
🦀	dyr, krabbe, krepsen, stjernebilde, stjernetegn
🦞	bisque, hummer, klør, sjømat, skalldyr
🦐	dyr, liten, mat, reke
🦑	akkar, blekk, blekksprut, bløtdyr, dyr, sprut
🦪	dykking, perle, østers
🍦	dessert, is, iskrem, restaurant, soft-is, softis
🍧	dessert, is, restaurant, shave-ice, slush-is
🍨	dessert, is, iskrem, restaurant
🍩	dessert, donut, restaurant, smultring
🍪	cookie, dessert, kjeks, restaurant
🎂	bursdag, bursdagskake, dessert, feiring, fødselsdag, kake
🍰	dessert, formkake, kake, kakestykke
🧁	bakst, cupcake, søt
🥧	butterdeig, fyll, pai
🍫	sjokoladeplate
🍬	godteri, karamell, smågodt, sukkertøy, søtsaker
🍭	kjærlighet på pinne, sukkertøy
🍮	dessert, karamellpudding, pudding
🍯	honningkrukke, krukke
🍼	babyflaske, drikke, melk, tåteflaske
🥛	drikke, glass, melk, melkeglass
☕️	drikke, kaffe, rykende, te, varm, varm drikke
🍵	drikke, suppe, te, tekopp
🍶	drikke, flaske, karaffel, mugge og kopp, sake
🍾	bar, drikke, flaske, flaske med sprettkork, kork, sprette
🍷	drikke, glass, rødvin, vin, vinglass
🍸️	bar, cocktaildrink, cocktailglass, drink
🍹	bar, drink, juice, tropisk drink
🍺	bar, halvliter, pils, pilsner, ølglass, ølkrus
🍻	bar, halvliter, pils, pilsner, øl, ølglass, ølkrus, ølkrus som skåler
🥂	drink, feiring, glass, glass som skåler, skål
🥃	brennevin, glass, shot, sprit, whisky, whiskyglass
🥤	brus, juice, jus, kopp med sugerør
🧃	drikkekartong, juicekartong, juskartong
🧉	drikke, mate
🧊	isbit, isterning, kald
🥢	hashi, spisepinner
🍽️	gaffel, kniv, matlaging, tallerken, tallerken med kniv og gaffel
🍴	gaffel, kniv, kniv og gaffel, matlaging
🥄	bestikk, skje
🔪	kniv, kokkekniv, matlaging, verktøy, våpen
🏺	amfora, drikke, krukke, matlaging, stjernebilde, stjernetegn, vannmannen
🌍	Afrika, Europa, jorden, jordklode med Europa og Afrika
🌎️	Amerika, USA, jorden, jordklode med Amerika
🌏	Asia, Australia, jorden, jordklode med Asia og Australia
🌐	jorden, jordklode med meridianer, lengde- og breddegrader
🗺️	kart, verden, verdenskart
🗾	Japan, kart, kart over Japan
🧭	kompass, magnetisk, navigasjon, orientering
🏔️	fjell, kaldt, snø, snødekt fjell
⛰️	berg, fjell
🌋	utbrudd, vulkan, vulkanutbrudd
🗻	Fuji-fjellet, fjell, fuji
🏕️	camping, telttur
🏖️	parasoll, strand, strand med parasoll
🏜️	ørken
🏝️	øde, øde øy, øy
🏞️	nasjonalpark, park
🏟️	arena, stadion
🏛️	bygning, klassisk, klassisk bygning
🏗️	bygg, byggearbeid, bygging, bygning, bygning under konstruksjon
🧱	murstein, mørtel, sement, vegg
🏘️	boliger, bygning, hus
🏚️	bygning, falleferdig, falleferdig hus, forlatt, hus
🏠️	bygning, hjem, hus
🏡	bygning, hjem, hus, hus med hage
🏢	bygning, kontor, kontorbygg
🏣	bygning, japansk, japansk postkontor, post
🏤	bygning, europeisk, post, postkontor
🏥	lege, medisin, sykehus
🏦	bank, bygning
🏨	bygning, hotell
🏩	bygning, hotell, kjærlighetshotell
🏪	butikk, bygning, dagligvare, dagligvarebutikk, storkiosk
🏫	bygning, skole, skolebygning
🏬	butikk, kjøpesenter, varehus
🏭️	bygning, fabrikk
🏯	bygning, japansk, japansk slott, slott
🏰	borg, bygning, europeisk slott, festning, slott
💒	bryllup, kapell, romantikk
🗼	Tokyo, Tokyo-tårnet, tårn
🗽	Frihetsgudinnen, frihet, statue
⛪️	bygning, kirke, kors, kristen, religion
🕌	bygning, islam, moské, muslim, religion
🛕	hindu, hindutempel, tempel
🕍	bygning, jøde, jødisk, religion, synagoge, tempel
⛩️	Shinto-alter, alter, religion, shinto
🕋	Kaba, islam, muslim, religion
⛲️	fontene
⛺️	camping, telt, telttur
🌁	tåke, tåkete, vær
🌃	natt, stjernenatt, stjerner
🏙️	by, bylandskap
🌄	fjell, fjellsol, morgen, morgensol, sol, soloppgang over fjell
🌅	morgen, morgensol, sol, soloppgang
🌆	by, bygning, byhorisont, bylandskap i skumring, skumring, sol, solnedgang
🌇	bygning, skumring, sol, solnedgang, solnedgang over byhorisont
🌉	bro, bro om natten, natt
♨️	kilder, rykende, vame kilder, varm, varme kilder
🎠	fornøyelsespark, hest, karusell, karusellhest, tivoli
🎡	fornøyelsespark, pariserhjul, tivoli
🎢	berg-og-dal-bane, fornøyelsespark, tivoli
💈	barberer, barberersøyle, barberskilt, frisør, frisørsalong
🎪	sirkus, sirkustelt, telt, underholdning
🚂	fremkomstmiddel, lokmotiv, lokomotiv, tog
🚃	elektrisk, fremkomstmiddel, tog, togvogn, trikk
🚄	fremkomstmiddel, høyhastighetstog, lyntog, tog
🚅	fremkomstmiddel, høyhastighetstog med kulenese, lyntog, shinkansen, tog
🚆	fremkomstmiddel, jernbane, tog
🚇️	fremkomstmiddel, metro, t-bane, tunnelbane, undergrunnsbane
🚈	fremkomstmiddel, jernbane, lokaltog
🚉	jernbane, stasjon, tog, togstasjon
🚊	fremkomstmiddel, trikk
🚝	fremkomstmiddel, monorail
🚞	fjellbane, fremkomstmiddel
🚋	fremkomstmiddel, trikk, trikkevogn, vogn
🚌	buss, fremkomstmiddel
🚍️	fremkomstmiddel, motgående buss
🚎	buss, fremkomstmiddel, trolleybuss
🚐	buss, kjøretøy, minibuss, van
🚑️	ambulanse, bil, kjøretøy
🚒	bil, brannbil, kjøretøy
🚓	bil, kjøretøy, politibil
🚔️	bil, kjøretøy, motgående politibil
🚕	bil, kjøretøy, taxi
🚖	bil, kjøretøy, motgående taxi
🚗	bil, kjøretøy
🚘️	bil, kjøretøy, motgående bil
🚙	SUV, bil, kjøretøy
🚚	bil, kjøretøy, varebil
🚛	bil, kjøretøy, lastebil
🚜	kjøretøy, traktor
🏎️	bil, milløp, motorsport, racerbil
🏍️	motorsport, motorsykkel, motorsyklist
🛵	motor, motorsykkel, scooter
🦽	manuell rullestol, tilgjengelighet
🦼	motorisert rullestol, tilgjengelighet
🛺	autorickshaw, mototaxi, trehjuling, tuk-tuk
🚲️	kjøretøy, sykkel
🛴	spark, sparkesykkel, sykkel
🛹	brett, rullebrett, skateboard
🚏	buss, busstopp, holdeplass
🛣️	motorvei, vei
🛤️	jernbane, jernbanespor, tog
🛢️	fat, olje, oljefat, tønne
⛽️	bensin, bensinpumpe, bensinstasjon, diesel, stasjon
🚨	bil, kjøretøy, lys, politi, politilys, roterende, signal
🚥	horisontale lys, horisontale trafikklys, trafikk
🚦	trafikk, vertikale lys, vertikale trafiklys
🛑	skilt, stopp, stoppskilt, åttekantet
🚧	anleggsarbeid, byggeplass, byggeskilt, skilt
⚓️	anker, båt, skip, verktøy
⛵️	båt, seilbåt
🛶	båt, kano
🚤	båt, fartøy, speedbåt
🛳️	båt, fremkomstmiddel, passasjer, passasjerskip, skip
⛴️	båt, ferge
🛥️	båt, fremkomstmiddel, motorbåt
🚢	båt, fartøy, fremkomstmiddel, skip
✈️	fly, fremkomstmiddel
🛩️	fly, fremkomstmiddel, lite fly
🛫	avgang, avganger, fly, fly som tar av, fremkomstmiddel, innsjekk
🛬	ankomme, ankomst, ankomster, fly, fly som lander, fremkomstmiddel, lande, landing
🪂	fallskjerm, fallskjermhopp, hangglider, hengeglider, paragliding
💺	sete, stol
🚁	fremkomstmiddel, helikopter
🚟	fremkomstmiddel, svevebane
🚠	fremkomstmiddel, kabelbane
🚡	fremkomstmiddel, gondolbane, taubane
🛰️	satellitt, verdensrommet
🚀	fremkomstmiddel, rakett, verdensrommet
🛸	UFO, flygende tallerken
🛎️	hotell, klokke, pikkolo, resepsjonsklokke
🧳	bagasje, pakking, reise
⌛️	ferdig timeglass, sand, tidtaker
⏳️	sand, startet timeglass, tidtaker
⌚️	armbåndsur, ur
⏰	alarm, klokke, vekkerklokke
⏱️	klokke, stoppeklokke
⏲️	klokke, tidtaker
🕰️	klokke, peisur
🕛️	0:00, 12:00, 24:00, klokka, klokken tolv, tolv
🕧	0:30, 12:30, klokka, klokken halv ett
🕐️	13:00, 1:00, ett, klokka, klokken ett
🕜	13:30, 1:30, klokka, klokken halv to
🕑️	14:00, 2:00, klokka, klokken to, to
🕝	14:30, 2:30, klokka, klokken halv tre
🕒️	15:00, 3:00, klokka, klokken tre
🕞	15:30, 3:30, klokka, klokken halv fire
🕓️	16:00, 4:00, fire, klokka, klokken fire
🕟	16:30, 4:30, klokka, klokken halv fem
🕔️	17:00, 5:00, fem, klokka, klokken fem
🕠	17:30, 5:30, klokka, klokken halv seks
🕕️	18:00, 6:00, klokka, klokken seks, seks
🕡	18:30, 6:30, halv syv, klokka, klokken halv sju
🕖️	19:00, 7:00, klokka, klokken sju, syv
🕢	19:30, 7:30, klokka, klokken halv åtte
🕗️	20:00, 8:00, klokka, klokken åtte, åtte
🕣	20:30, 8:30, klokka, klokken halv ni
🕘️	21:00, 9:00, klokka, klokken ni, ni
🕤	09:30, 21:30, klokka, klokken halv ti
🕙️	10:00, 22:00, klokka, klokken ti, ti
🕥	10:30, 22:30, klokka, klokken halv elleve
🕚️	11:00, 23:00, elleve, klokka, klokken elleve
🕦	11:30, 23:30, klokka, klokken halv tolv
🌑	måne, mørk, nymåne
🌒	månefase, tiltakende måne, voksende nymåne
🌓	første kvarter, månefase, voksende halvmåne
🌔	månefase, tiltakende måne, voksende fullmåne
🌕️	full, fullmåne, hel måne, måne
🌖	avtakende fullmåne, avtakende måne, månefase
🌗	avtakende halvmåne, månefase, siste kvarter
🌘	avtakende måne, avtakende nemåne, månefase
🌙	måne, månesigd
🌚	ansikt, måne, nymåne, nymåne med ansikt, nymåneansikt
🌛	kvartmåne med ansikt, måneansikt, nymåne med ansikt
🌜️	kvartmåne med ansikt, måneansikt, nemåne med ansikt
🌡️	temperatur, termometer, vær
☀️	lys, lyst, sol, solfylt, stråler, verdensrommet, vær
🌝	ansikt, fullmåne, fullmåne med ansikt, fullmåneansikt, måne, måne med ansikt
🌞	ansikt, lys, sol, solansikt
🪐	planet med ringer, saturn
⭐️	hvit mellomstor stjerne, stjerne
🌟	glitrende, lysende stjerne, skinnende, stjerne
🌠	fallende stjerne, stjerne, stjerneskudd
🌌	galakse, melkeveien, verdensrommet
☁️	sky, vær
⛅️	sky, sol, sol bak sky, sol og sky
⛈️	regn, sky, sky med lyn og regn, torden, vær
🌤️	sky, sol, sol bak liten sky, vær
🌥️	sky, sol, sol bak stor sky, vær
🌦️	regn, sky, sol, sol bak sky med regn, vær
🌧️	regn, sky, sky med regn, vær
🌨️	kaldt, sky, sky med snø, snø, vær
🌩️	lyn, sky, sky med lyn, vær
🌪️	sky, tornado, vær
🌫️	sky, tåke, vær
🌬️	blåse, fjes, sky, vind, vindansikt, vær
🌀	svimmel, syklon, tornado
🌈	regn, regnbue, vær
🌂	lukket paraply, regn, regnvær
☂️	klær, paraply, regn, vær
☔️	dråpe, klær, paraply, paraply med regndråper, regn, vær
⛱️	paraply, parasoll på bakken, regn, sol, vær
⚡️	fare, høy, høyspenning, høyspent, lyn, spenning
❄️	kaldt, snø, snøfnugg, vær
☃️	kaldt, snø, snømann, vær
⛄️	snø, snømann uten snø
☄️	komet, verdensrommet
🔥	flamme, ild
💧	drypp, dråpe, tegneserie, vann
🌊	bølge, bølgesprut, hav
🎃	Halloween, gresskar, gresskarlykt, halloweenlykt
🎄	høytid, jul, julefeiring, juletre, tre
🎆	feiring, fyrverkeri, nyttår
🎇	feiring, fyrverkeri, nyttår, stjerneskudd på pinne
🧨	dynamitt, eksplosiver, fyrverkeri, kinaputt
✨	*, glitrende, skinnende, stjerner
🎈	ballong, feiring
🎉	feiring, fest, serpentin, smell-bon-bon
🎊	feiring, fest, konfettiball, konfettikule
🎋	feiring, papirremser, stjernefestival, tanabata, tanabatatre, tre
🎍	feiring, furudekorasjon, japansk høytid, nyttår
🎎	festival, japansk høytid, japanske dukker
🎏	feiring, japansk høytid, karpe, koinobori, papirfisk
🎐	bjelle, drømmefanger, feiring, vind, vindspill
🎑	feiring, høytid, måne, månebeskuelsesseremoni, månefeiring, måneseremoni
🧧	flaks, gave, hell og lykke, hong bao, lai see, penger, rød konvolutt
🎀	bånd, gavebånd, sløyfe
🎁	bursdag, feiring, gave, innpakket gave, julegave
🎗️	bånd, feiring, minne, minnesløyfe, påminnelse
🎟️	adgang, billett, inngang, inngangsbilletter
🎫	adgang, billett, inngang, underholdning
🎖️	feiring, medalje, militæret, militærmedalje
🏆️	premie, trofé
🏅	idrettsmedalje, medalje
🥇	førsteplass, gull, gullmedalje, medalje
🥈	andreplass, medalje, sølv, sølvmedalje
🥉	bronse, bronsemedalje, medalje, tredjeplass
⚽️	ball, fotball
⚾️	ball, baseball, sydd
🥎	ball, hanske, softball, underarm
🏀	ball, basketball, kurv, sport
🏐	ball, kamp, volleyball
🏈	amerikansk fotball, ball, sport
🏉	rugby, rugbyball, sport
🎾	ball, racket, sport, tenninsball, tennis
🥏	frisbee, ultimate
🎳	bowling, bowlingkule, kule, spill
🏏	ball, balltre, cricket, kamp
🏑	ball, hockey, kamp, kølle, land, landhockey
🏒	hockey, is, ishockey, kamp, kølle, puck
🥍	ball, kølle, lacrosse, mål
🏓	ball, balltre, bord, bordtennis, kamp, racket, tennis
🏸	badminton, birdie, fjærball, kamp, racket
🥊	bokse, boksehanske, boksing, hanske, sport
🥋	drakt, judo, kampkunst, kampsport, kampsportdrakt, karate, selvforsvar, taekwondo
🥅	mål, målnett, nett, sport
⛳️	golf, golfflagg, golfhull, hull
⛸️	is, skøyte, skøyter
🎣	fisk, fiskestang, fisking, fritid, natur
🤿	dykker, dykkermaske, dykking, froskemann, snorkling
🎽	singlet, sport, t-skjorte, treningstopp, treningstrøye
🎿	ski, ski og staver, snø, staver, vintersport
🛷	kjelke, slede
🥌	curlingstein, sport, stein
🎯	blink, dart, midt i blinken, mål, pilspill, treff
🪀	jojo, leke, opp og ned
🪁	fly, papirdrage, sveve
🎱	biljard, spill, åtterkule
🔮	krystallkule, spådom, spådommer
🧿	amulett, charm, nazar, ondt øye, talisman
🎮️	konsoll, kontroller, spill, spillkonsoll, spillkontroller, videospill
🕹️	joystick, spill, styrespak, styrespake, videospill
🎰	spill, spilleautomat
🎲	spill, terning, terningkast, terningspill
🧩	bit, brikke, del, pekepinn, puslespill, puslespillbrikke
🧸	bamse, leke, teddybjørn
♠️	farge, kort, spar, spill
♥️	farge, hjerter, kort, spill
♦️	diamant, farge, kort, ruter, spill
♣️	farge, kløver, kort, spill
♟️	bonde, brikke, sjakk
🃏	joker, jokerkort, kort, spillkort
🀄️	mahjong, mahjongbrikke med rød drage, rød, spill
🎴	kort, kortspill, spillkort
🎭️	kunst, scenekunst, teater, teatermasker, underholdning
🖼️	bilde, innrammet bilde, kunst, maleri, museum, ramme
🎨	kunst, malerpalett, maling
🧵	nål, snelle, sy, tråd, trådsnelle
🧶	ball, garn, nøste
👓️	briller, klær, lesebriller
🕶️	briller, mørkt, solbriller, øye
🥽	beskyttelsesbriller, sveising, svømming, øyevern
🥼	doktor, eksperiment, forsker, labfrakk, lege
🦺	nødssituasjon, refleks, refleksvest, sikkerhet, vest
👔	klær, slips
👕	klær, skjorte, t-skjorte
👖	bukser, jeans, klær
🧣	hals, klær, skjerf
🧤	hansker, hånd, klær
🧥	frakk, jakke, klær, kåpe
🧦	klær, labber, sokker, strømper
👗	kjole, klær
👘	kimono, kjole, klær
🥻	kjole, klær, sari
🩱	badedrakt, badetøy
🩲	badebukse, badetøy, bikinitruse, truse, undertøy
🩳	badeshorts, badetøy, bukse, shorts, underbukse, undertøy
👙	badedrakt, badetøy, bikini, klær
👚	dameklær, klær
👛	klær, portemoné, pung
👜	håndveske, klær, veske
👝	clutch-veske, klær, liten veske
🛍️	handleposer, hotell, pose, shopping
🎒	ransel, ryggsekk, skolesekk
👞	herresko, klær, sko
👟	fritidssko, joggesko, klær, sko, tennissko
🥾	fjelltur, gåtur, støvel, telttur, tur, turstøvel
🥿	flate sko, pumps, uten hæl
👠	høyhælt sko, klær, sko
👡	dame, damesandal, klær, sandal, sko
🩰	ballett, ballettsko, dans
👢	dame, damestøvlett, klær, sko, støvlett
👑	dronning, klær, konge, krone
👒	damehatt, hatt, klær
🎩	flosshatt, hatt, klær
🎓️	feiring, hatt, klær, studentlue, uteksaminering
🧢	caps, kaps, skyggelue
⛑️	fjes, hatt, hjelm, hjelm med hvitt kors, hjelp, kors
📿	bønn, bønnekrans, halssmykke, klær, perler, religion
💄	kosmetikk, leppestift, sminke
💍	diamant, ring, romantikk
💎	diamant, edelsten, romantikk, smykkestein
🔇	dempet, dempet høyttaler, høyttaler med strek over, ingen prating, stille
🔈️	høyttaler med lavt volum, lav, lyd, ropert
🔉	høyttaler med middels volum, lyd, middels, ropert
🔊	høy, høyttaler med høyt volum, lyd, ropert
📢	høy, høyttaler, kommunikasjon, megafon, ropert
📣	heiing, kommunikasjon, megafon
📯	horn, post, posthorn
🔔	bjelle, klokke, ringing
🔕	bjelle med strek over, ingen lyd, klokke, lydløs, overstreket bjelle, stille
🎼	g-nøkkel, musikk, notetegn
🎵	musikk, musikknote, note
🎶	musikk, musikknoter, noter
🎙️	mikrofon, musikk, studio, studiomikrofon
🎚️	glidebryter, musikk, nivå, skyveknapp
🎛️	knott, kontroll, kontrollbrytere, musikk
🎤	karaoke, mik, mikrofon, musikk, underholdning
🎧️	headset, hodetelefoner, underholdning, øretelefoner
📻️	radio, radiosignaler, teknologi
🎷	instrument, musikk, musikkinstrument, saksofon, sax
🎸	gitar, instrument, musikk, musikkinstrument
🎹	instrument, keyboard, musikk, musikkinstrument, piano, tangenter
🎺	instrument, musikk, musikkinstrument, trompet
🎻	fele, fiolin, instrument, musikk, musikkinstrument
🪕	banjo, musikk, strenginstrument
🥁	musikk, tromme, trommestikker
📱	mobil, mobiltelefon, telefon
📲	mobiltelefon, mobiltelefon med pil, ring, telefon
☎️	fasttelefon, ringe, telefon
📞	kommunikasjon, telefon, telefonrør
📟️	kommunikasjon, personsøker, telefon
📠	faksmaskin, kommunikasjon, telefon
🔋	batteri, energilagring, strøm
🔌	elektrisitet, elektrisk, plugg, støpsel
💻️	PC, bærbar datamaskin, datamaskin, maskin
🖥️	PC, datamaskin, stasjonær, stasjonær datamaskin
🖨️	datamaskin, printer, skriver
⌨️	datamaskin, tastatur
🖱️	datamaskin, datamus, knapp, mus
🖲️	datamaskin, styrekule
💽	MD, datadisk, disk, lagring, minidisk
💾	datamaskin, disk, diskett, lagring
💿️	CD, DVD, blu-ray, disk, lagring, optisk plate
📀	DVD, DVD-plate, disk, lagring, optisk, plate
🧮	abakus, kuleramme, regning
🎥	film, filmkamera, kamera, kino, underholdning
🎞️	film, filmruter, kino, ruter
📽️	film, filmframviser, kino, projektor, video
🎬️	action, film, filming, filmklapper, klapper, underholdning
📺️	TV, fjernsyn, video
📷️	foto, kamera, kamerateknikk, video
📸	blits, foto, kamera, kamera med blits, video
📹️	kamera, video, videokamera
📼	kassett, opptak, vhs, video, videokassett
🔍	forstørrelse, forstørrelsesglass mot venstre, glass, lupe, søk
🔎	forstørrelse, forstørrelsesglass mot høyre, glass, lupe, søk
🕯️	lys, stearinlys
💡	elektrisitet, idé, lys, lyspære, pære, tegneserie
🔦	elektrisk, lommelykt, lykt, lys
🏮	bar, izakaya, lampe, lanterne, lykt, rød, rød papirlykt
🪔	diya, lampe, olje, åpen oljelampe
📔	dekorert notatbok, notatbok, omslag
📕	bok, lukket bok
📖	bok, åpen bok
📗	bok, grønn bok
📘	blå bok, bok
📙	bok, oransje bok
📚️	bok, bøker
📓	kladdebok, kontorrekvisita, notatbok
📒	kontorrekvisita, notatbok, spiralblokk
📃	ark, opprullet, side, side med bøy
📜	papir, papirrull, papyrus, pergament, pergamentrull, rull
📄	ark, papir, side, side som vender opp
📰	avis, nyheter, publikasjon
🗞	avis, nyheter, opprullet, papir, sammenrullet avis
📑	bokmerke, bokmerkefane, faner, markør
🔖	bokmerke, merke
🏷️	etikett, merke
💰️	penger, pengesekk, sekk
💴	penger, seddel, yen, yenseddel
💵	dollar, dollarseddel, penger, seddel
💶	euro, euroseddel, penger, seddel
💷	penger, pund, pundseddel, seddel
💸	bank, flygende seddel, penger, penger med vinger, seddel
💳️	bankkort, betalingskort, kort, kreditt, kredittkort, visa
🧾	arkiv, bilag, dokumentasjon, kvittering, regnskap
💹	graf, marked, oppover, penger, stigende diagram med yen, stigende graf, trend, yen
💱	penger, valuta, valutaveksling, veksling
💲	dollar, dollartegn, penger, stort dollartegn
✉️	brev, e-post, konvolutt
📧	brev, e-post, kommunikasjon, post
📨	brev, e-post, epost, innkommende, innkommende konvolutt, konvolutt, motta
📩	brev, e-post, epost, konvolutt, konvolutt med pil, sende, sendt, utgående
📤️	brev, e-post, kommunikasjon, sendt, skuff, utboks
📥️	brev, e-post, innboks, kommunikasjon, mottatt, skuff
📦️	eske, levering, pakke
📫️	flagg, lukket postkasse med flagget oppe, post
📪️	flagg, lukket postkasse med flagget nede, post
📬️	flagg, post, åpen postkasse med flagget oppe
📭️	flagg, post, åpen postkasse med flagget nede
📮	post, postkasse
🗳️	boks, stemmeseddel, urne med stemmeseddel
✏️	blyant
✒️	penn, pennespiss, svart pennesplitt
🖋️	fyllepenn, penn
🖊️	kulepenn, penn
🖌️	maling, pensel
🖍️	fargestift, tegning
📝	blyant, bok, kommunikasjon, notat
💼	dokumentmappe, stresskoffert
📁	arkiv, arkivmappe, fil, mappe
📂	fil, mappe, åpen, åpen arkivmappe, åpen filmappe
🗂️	indeks, kort, skillekort, skillere
📅	dato, kalender
📆	kalender, riv-av-kalender, veggkalender
🗒️	blokk, notat, spiral, spiralhefte
🗓️	blokk, kalender, spiral, spiralkalender
📇	indeks, kartotek, register
📈	chart, diagram som peker oppover, graf, opp, positiv, stigende
📉	diagram som peker nedover, fallende, graf, ned, negativ, synkende
📊	diagram, histogram, stolpediagram, søylediagram
📋️	ordrebrett, skriveplate, tavle, utklippstavle
📌	kontorrekvisita, stift
📍	kontorrekvisita, markørnål, rund stift
📎	binders, kontorrekvisita
🖇️	binders, kjede, sammenlenkede binders
📏	linjal, rett
📐	linjal, trekant, trekantlinjal
✂️	saks, verktøy
🗃️	arkiv, boks, fil, kartotekboks, kort
🗄️	arkivskap, fil, kabinett, mapper
🗑️	papirkurv, søppelkasse, søppelkurv
🔒️	låst
🔓️	hengelås, lås, ulåst, åpen
🔏	låst med penn, penn, personvern
🔐	lås med nøkkel, låst med nøkkel, sikker
🔑	lås, nøkkel, passord
🗝️	gammel, gammeldags nøkkel, ledetråd, lås, nøkkel
🔨	hammer, verktøy
🪓	dele, hogge, hugge, kløyve, ved, øks
⛏️	gruvedrift, hakke, verktøy
⚒️	hakke, hammer, hammer og hakke, verktøy
🛠️	hammer, hammer og fastnøkkel, skiftenøkkel, verktøy
🗡️	dolk, kniv, våpen
⚔️	kryss, sverd, sverd i kryss, våpen
🔫	pistol, revolver, våpen
🏹	bue, bueskytter, pil, pil og bue, skytten, stjernebilde, stjernetegn, våpen
🛡️	skjold, våpen
🔧	fastnøkkel, skrunøkkel, verktøy
🔩	mutter, mutter og skrue, skrue, verktøy
⚙️	tannhjul, verktøy
🗜️	klemme, skruetvinge, skrustikke, skrutvinge, verktøy
⚖️	balanse, likearmet skålvekt, rettferdighet, stjernetegn, vekt, vekten, verktøy
🦯	blind, blindestokk, tilgjengelighet
🔗	lenke, link, to ringer
⛓️	kjede, kjetting
🧰	kasse, skrin, verktøy, verktøykasse
🧲	hestesko, magnet, magnetisk, tiltrekning
